# row	tp	sent_delta	recv_delta
1	95839ad0-b588-0b1d-8475-45fba6ae993c	675	4080563
1	b414796d-14fc-080e-9ce6-a7162e3e562b	5693	5942712
1	f88c92ad-5fbd-0ce6-8710-b241c6118c26	37	37
1	legs	49184:b414796d 49185:95839ad0 49187:f88c92ad	-
2	95839ad0-b588-0b1d-8475-45fba6ae993c	717	4080543
2	b414796d-14fc-080e-9ce6-a7162e3e562b	8533	5997084
2	f88c92ad-5fbd-0ce6-8710-b241c6118c26	69	69
2	legs	49184:b414796d 49185:95839ad0 49187:f88c92ad 49188:ac40965a	-
3	95839ad0-b588-0b1d-8475-45fba6ae993c	370	1979486
3	b414796d-14fc-080e-9ce6-a7162e3e562b	1251	8039602
3	f88c92ad-5fbd-0ce6-8710-b241c6118c26	5	37
3	legs	49184:b414796d 49185:95839ad0 49187:f88c92ad 49188:ac40965a	-
4	95839ad0-b588-0b1d-8475-45fba6ae993c	286	467393
4	b414796d-14fc-080e-9ce6-a7162e3e562b	10051247	420032
4	f88c92ad-5fbd-0ce6-8710-b241c6118c26	151	146
4	legs	49184:b414796d 49185:95839ad0 49187:f88c92ad 49188:ac40965a	-
5	95839ad0-b588-0b1d-8475-45fba6ae993c	10016376	878
5	b414796d-14fc-080e-9ce6-a7162e3e562b	59188	42406
5	f88c92ad-5fbd-0ce6-8710-b241c6118c26	69	69
5	legs	49184:b414796d 49185:95839ad0 49187:f88c92ad 49188:ac40965a	-
6	95839ad0-b588-0b1d-8475-45fba6ae993c	37	37
6	b414796d-14fc-080e-9ce6-a7162e3e562b	10033637	10798
6	f88c92ad-5fbd-0ce6-8710-b241c6118c26	69	69
6	legs	49184:b414796d 49185:95839ad0 49187:f88c92ad 49188:ac40965a	-
7	95839ad0-b588-0b1d-8475-45fba6ae993c	1346	8463003
7	b414796d-14fc-080e-9ce6-a7162e3e562b	117416	42970196
7	f88c92ad-5fbd-0ce6-8710-b241c6118c26	156	220
7	legs	49184:b414796d 49185:95839ad0 49187:f88c92ad 49188:ac40965a	-
8	95839ad0-b588-0b1d-8475-45fba6ae993c	0	0
8	b414796d-14fc-080e-9ce6-a7162e3e562b	40190	34170446
8	f88c92ad-5fbd-0ce6-8710-b241c6118c26	69	69
8	legs	49184:b414796d 49187:f88c92ad 49188:ac40965a 49190:f1012467 49191:7aeb822f	-
9	95839ad0-b588-0b1d-8475-45fba6ae993c	1387	2362
9	b414796d-14fc-080e-9ce6-a7162e3e562b	47664	24557734
9	f88c92ad-5fbd-0ce6-8710-b241c6118c26	74	74
9	legs	49184:b414796d 49187:f88c92ad 49188:ac40965a 49190:f1012467 49191:7aeb822f 49192:95839ad0 49193:50cdb857	-
10	95839ad0-b588-0b1d-8475-45fba6ae993c	106	106
10	b414796d-14fc-080e-9ce6-a7162e3e562b	50103048	15225
10	f88c92ad-5fbd-0ce6-8710-b241c6118c26	106	106
10	legs	49184:b414796d 49187:f88c92ad 49188:ac40965a 49190:f1012467 49191:7aeb822f 49192:95839ad0 49193:50cdb857 49194:2c4ae7a5	-
11	95839ad0-b588-0b1d-8475-45fba6ae993c	50082921	1116
11	b414796d-14fc-080e-9ce6-a7162e3e562b	6213	8440
11	f88c92ad-5fbd-0ce6-8710-b241c6118c26	69	74
11	legs	49184:b414796d 49187:f88c92ad 49188:ac40965a 49190:f1012467 49191:7aeb822f 49192:95839ad0 49193:50cdb857 49194:2c4ae7a5	-
12	95839ad0-b588-0b1d-8475-45fba6ae993c	37	37
12	b414796d-14fc-080e-9ce6-a7162e3e562b	50088203	7690
12	f88c92ad-5fbd-0ce6-8710-b241c6118c26	101	37
12	legs	49184:b414796d 49187:f88c92ad 49188:ac40965a 49190:f1012467 49191:7aeb822f 49192:95839ad0 49193:50cdb857 49194:2c4ae7a5	-
# rg dst_ports settled=49184,49185,49187,49188 after_cut=49184,49185,49187,49188 end=49184,49187,49188,49190,49191,49192,49193,49194
