# row	tp	sent_delta	recv_delta
1	b414796d-14fc-080e-9ce6-a7162e3e562b	6062	3964007
1	95839ad0-b588-0b1d-8475-45fba6ae993c	643	3959185
1	f1012467-de9d-09a9-8b49-62a43945c24b	37	37
1	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	530	2122680
1	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	0	0
1	ac40965a-bc99-01e4-a2c9-c26b76db013b	0	0
1	50cdb857-a262-0ae5-bf5b-5c93c8025b69	80	0
1	legs	49159:b414796d 49160:95839ad0 49161:f1012467 49162:fdab37dd 49163:2c4ae7a5 49164:ac40965a 49165:50cdb857 49166:4c04ca1d	-
2	b414796d-14fc-080e-9ce6-a7162e3e562b	695	3959142
2	95839ad0-b588-0b1d-8475-45fba6ae993c	685	3959014
2	f1012467-de9d-09a9-8b49-62a43945c24b	905	2140948
2	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	106	106
2	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	0	0
2	ac40965a-bc99-01e4-a2c9-c26b76db013b	0	0
2	50cdb857-a262-0ae5-bf5b-5c93c8025b69	0	0
2	4c04ca1d-9cdd-02c8-90b7-589997baa58b	74	74
2	legs	49159:b414796d 49160:95839ad0 49161:f1012467 49162:fdab37dd 49163:2c4ae7a5 49164:ac40965a 49165:50cdb857 49166:4c04ca1d	-
3	b414796d-14fc-080e-9ce6-a7162e3e562b	9495	270041
3	95839ad0-b588-0b1d-8475-45fba6ae993c	10016376	798
3	f1012467-de9d-09a9-8b49-62a43945c24b	74	74
3	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	74	74
3	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	0	0
3	ac40965a-bc99-01e4-a2c9-c26b76db013b	58	165
3	50cdb857-a262-0ae5-bf5b-5c93c8025b69	8	8
3	4c04ca1d-9cdd-02c8-90b7-589997baa58b	82	77
3	legs	49159:b414796d 49160:95839ad0 49161:f1012467 49162:fdab37dd 49164:ac40965a 49165:50cdb857 49166:4c04ca1d 49167:3c838c5d	-
4	b414796d-14fc-080e-9ce6-a7162e3e562b	10016484	3047
4	95839ad0-b588-0b1d-8475-45fba6ae993c	133	133
4	f1012467-de9d-09a9-8b49-62a43945c24b	106	106
4	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	106	106
4	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	8	128
4	ac40965a-bc99-01e4-a2c9-c26b76db013b	64	0
4	50cdb857-a262-0ae5-bf5b-5c93c8025b69	0	0
4	4c04ca1d-9cdd-02c8-90b7-589997baa58b	114	114
4	3c838c5d-7fe8-09f1-8c92-fdb2fef0973e	119	114
4	legs	49159:b414796d 49160:95839ad0 49161:f1012467 49162:fdab37dd 49164:ac40965a 49165:50cdb857 49166:4c04ca1d 49167:3c838c5d	-
5	b414796d-14fc-080e-9ce6-a7162e3e562b	35799	193491
5	95839ad0-b588-0b1d-8475-45fba6ae993c	10016923	475018
5	f1012467-de9d-09a9-8b49-62a43945c24b	69	69
5	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	69	85
5	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	0	0
5	ac40965a-bc99-01e4-a2c9-c26b76db013b	0	0
5	50cdb857-a262-0ae5-bf5b-5c93c8025b69	0	0
5	4c04ca1d-9cdd-02c8-90b7-589997baa58b	69	69
5	3c838c5d-7fe8-09f1-8c92-fdb2fef0973e	69	69
5	legs	49159:b414796d 49160:95839ad0 49161:f1012467 49162:fdab37dd 49164:ac40965a 49165:50cdb857 49166:4c04ca1d 49167:3c838c5d	-
6	b414796d-14fc-080e-9ce6-a7162e3e562b	42156	24023193
6	95839ad0-b588-0b1d-8475-45fba6ae993c	2310	26094312
6	f1012467-de9d-09a9-8b49-62a43945c24b	87	119
6	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	82	82
6	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	8	9
6	ac40965a-bc99-01e4-a2c9-c26b76db013b	0	0
6	50cdb857-a262-0ae5-bf5b-5c93c8025b69	17	0
6	4c04ca1d-9cdd-02c8-90b7-589997baa58b	146	146
6	3c838c5d-7fe8-09f1-8c92-fdb2fef0973e	106	106
6	legs	49159:b414796d 49160:95839ad0 49161:f1012467 49162:fdab37dd 49164:ac40965a 49166:4c04ca1d 49167:3c838c5d	-
7	b414796d-14fc-080e-9ce6-a7162e3e562b	47190	24022483
7	95839ad0-b588-0b1d-8475-45fba6ae993c	1938	23994094
7	f1012467-de9d-09a9-8b49-62a43945c24b	605	2101420
7	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	146	146
7	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	12369	8
7	ac40965a-bc99-01e4-a2c9-c26b76db013b	25	16
7	50cdb857-a262-0ae5-bf5b-5c93c8025b69	8	0
7	4c04ca1d-9cdd-02c8-90b7-589997baa58b	90	90
7	3c838c5d-7fe8-09f1-8c92-fdb2fef0973e	122	122
7	legs	49159:b414796d 49160:95839ad0 49161:f1012467 49162:fdab37dd 49164:ac40965a 49166:4c04ca1d 49167:3c838c5d	-
8	b414796d-14fc-080e-9ce6-a7162e3e562b	50148939	207014
8	95839ad0-b588-0b1d-8475-45fba6ae993c	74	74
8	f1012467-de9d-09a9-8b49-62a43945c24b	106	74
8	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	720	192
8	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	0	14821
8	ac40965a-bc99-01e4-a2c9-c26b76db013b	0	0
8	50cdb857-a262-0ae5-bf5b-5c93c8025b69	0	0
8	4c04ca1d-9cdd-02c8-90b7-589997baa58b	138	138
8	3c838c5d-7fe8-09f1-8c92-fdb2fef0973e	138	138
8	legs	49159:b414796d 49160:95839ad0 49161:f1012467 49162:fdab37dd 49166:4c04ca1d 49167:3c838c5d	-
9	b414796d-14fc-080e-9ce6-a7162e3e562b	50120484	59494
9	95839ad0-b588-0b1d-8475-45fba6ae993c	42	74
9	f1012467-de9d-09a9-8b49-62a43945c24b	140	147
9	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	204	69820
9	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	0	0
9	ac40965a-bc99-01e4-a2c9-c26b76db013b	7424	8
9	50cdb857-a262-0ae5-bf5b-5c93c8025b69	71	170515
9	4c04ca1d-9cdd-02c8-90b7-589997baa58b	106	106
9	3c838c5d-7fe8-09f1-8c92-fdb2fef0973e	106	106
9	legs	49159:b414796d 49160:95839ad0 49161:f1012467 49162:fdab37dd 49166:4c04ca1d 49167:3c838c5d 49168:5fb76255	-
10	b414796d-14fc-080e-9ce6-a7162e3e562b	50117979	296262
10	95839ad0-b588-0b1d-8475-45fba6ae993c	202	138
10	f1012467-de9d-09a9-8b49-62a43945c24b	242	77
10	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	156	146
10	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	622	94
10	ac40965a-bc99-01e4-a2c9-c26b76db013b	614	86
10	50cdb857-a262-0ae5-bf5b-5c93c8025b69	1236	2280
10	4c04ca1d-9cdd-02c8-90b7-589997baa58b	119	178
10	3c838c5d-7fe8-09f1-8c92-fdb2fef0973e	114	146
10	5fb76255-47a3-0807-906f-e3cfd98cbce7	82	114
10	legs	49159:b414796d 49160:95839ad0 49161:f1012467 49162:fdab37dd 49166:4c04ca1d 49167:3c838c5d 49168:5fb76255 49169:50cdb857	-
