# row	tp	sent_delta	recv_delta
1	95839ad0-b588-0b1d-8475-45fba6ae993c	862	5816094
1	b414796d-14fc-080e-9ce6-a7162e3e562b	552	4201619
1	legs	49157:b414796d 49158:95839ad0	-
2	95839ad0-b588-0b1d-8475-45fba6ae993c	570	4201634
2	b414796d-14fc-080e-9ce6-a7162e3e562b	13026	5825742
2	legs	49157:b414796d 49158:95839ad0	-
3	95839ad0-b588-0b1d-8475-45fba6ae993c	10016302	609
3	b414796d-14fc-080e-9ce6-a7162e3e562b	18410	13826
3	legs	49157:b414796d 49158:95839ad0	-
4	95839ad0-b588-0b1d-8475-45fba6ae993c	10017015	686
4	b414796d-14fc-080e-9ce6-a7162e3e562b	25819	103323
4	legs	49157:b414796d 49158:95839ad0	-
5	95839ad0-b588-0b1d-8475-45fba6ae993c	887	8403274
5	b414796d-14fc-080e-9ce6-a7162e3e562b	29756	41706542
5	legs	49157:b414796d 49158:95839ad0	-
6	95839ad0-b588-0b1d-8475-45fba6ae993c	1111	12604717
6	b414796d-14fc-080e-9ce6-a7162e3e562b	35885	37637679
6	legs	49157:b414796d 49158:95839ad0	-
7	95839ad0-b588-0b1d-8475-45fba6ae993c	50112785	1410
7	b414796d-14fc-080e-9ce6-a7162e3e562b	61606	42417
7	legs	49157:b414796d 49158:95839ad0	-
8	95839ad0-b588-0b1d-8475-45fba6ae993c	114	114
8	b414796d-14fc-080e-9ce6-a7162e3e562b	50087233	6486
8	legs	49157:b414796d 49158:95839ad0	-
