# row	tp	sent_delta	recv_delta
1	50cdb857-a262-0ae5-bf5b-5c93c8025b69	2469	2450801
1	b414796d-14fc-080e-9ce6-a7162e3e562b	72111	13573650
1	d33d56d2-8d9a-039e-a757-e6b6f4e58f6f	2317	2649478
1	legs	49163:b414796d 49164:d33d56d2 49165:50cdb857	-
2	50cdb857-a262-0ae5-bf5b-5c93c8025b69	532	1626268
2	b414796d-14fc-080e-9ce6-a7162e3e562b	786	8403176
2	d33d56d2-8d9a-039e-a757-e6b6f4e58f6f	100	98502
2	legs	49163:b414796d 49164:d33d56d2 49165:50cdb857	-
3	50cdb857-a262-0ae5-bf5b-5c93c8025b69	828	5816235
3	b414796d-14fc-080e-9ce6-a7162e3e562b	1781	4202823
3	d33d56d2-8d9a-039e-a757-e6b6f4e58f6f	89	131285
3	legs	49163:b414796d 49164:d33d56d2 49165:50cdb857	-
4	50cdb857-a262-0ae5-bf5b-5c93c8025b69	584	4201609
4	b414796d-14fc-080e-9ce6-a7162e3e562b	961	5816136
4	d33d56d2-8d9a-039e-a757-e6b6f4e58f6f	37	32793
4	legs	49163:b414796d 49164:d33d56d2 49165:50cdb857	-
5	50cdb857-a262-0ae5-bf5b-5c93c8025b69	574	1811278
5	b414796d-14fc-080e-9ce6-a7162e3e562b	6469	8711607
5	d33d56d2-8d9a-039e-a757-e6b6f4e58f6f	23	65648
5	legs	49163:b414796d 49164:d33d56d2 49165:50cdb857	-
6	50cdb857-a262-0ae5-bf5b-5c93c8025b69	165	101
6	b414796d-14fc-080e-9ce6-a7162e3e562b	10017569	2389
6	d33d56d2-8d9a-039e-a757-e6b6f4e58f6f	145	131325
6	legs	49163:b414796d 49164:d33d56d2 49165:50cdb857	-
7	50cdb857-a262-0ae5-bf5b-5c93c8025b69	5	37
7	b414796d-14fc-080e-9ce6-a7162e3e562b	10019000	1208649
7	d33d56d2-8d9a-039e-a757-e6b6f4e58f6f	5	32788
7	legs	49163:b414796d 49164:d33d56d2 49165:50cdb857	-
8	50cdb857-a262-0ae5-bf5b-5c93c8025b69	32	0
8	b414796d-14fc-080e-9ce6-a7162e3e562b	10016864	716
8	d33d56d2-8d9a-039e-a757-e6b6f4e58f6f	63	98444
