# row	tp	sent_delta	recv_delta
1	b414796d-14fc-080e-9ce6-a7162e3e562b	23589	4335525
1	f1012467-de9d-09a9-8b49-62a43945c24b	793	1614658
1	95839ad0-b588-0b1d-8475-45fba6ae993c	636	4201675
1	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	69	69
1	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	69	69
1	ac40965a-bc99-01e4-a2c9-c26b76db013b	69	69
1	50cdb857-a262-0ae5-bf5b-5c93c8025b69	69	101
1	6d045bb2-2c9e-02d8-a9f9-f83e8bfed770	37	37
1	legs	49163:b414796d 49164:f1012467 49165:95839ad0 49166:fdab37dd 49167:2c4ae7a5 49168:ac40965a 49169:50cdb857 49170:6d045bb2	-
2	b414796d-14fc-080e-9ce6-a7162e3e562b	27556	5835191
2	f1012467-de9d-09a9-8b49-62a43945c24b	656	4228118
2	95839ad0-b588-0b1d-8475-45fba6ae993c	133	101
2	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	37	37
2	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	64	64
2	ac40965a-bc99-01e4-a2c9-c26b76db013b	37	37
2	50cdb857-a262-0ae5-bf5b-5c93c8025b69	0	0
2	6d045bb2-2c9e-02d8-a9f9-f83e8bfed770	37	37
2	legs	49163:b414796d 49164:f1012467 49165:95839ad0 49166:fdab37dd 49167:2c4ae7a5 49168:ac40965a 49169:50cdb857 49170:6d045bb2	-
3	b414796d-14fc-080e-9ce6-a7162e3e562b	1645091	24276
3	f1012467-de9d-09a9-8b49-62a43945c24b	8393891	1400
3	95839ad0-b588-0b1d-8475-45fba6ae993c	106	106
3	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	77	77
3	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	69	69
3	ac40965a-bc99-01e4-a2c9-c26b76db013b	69	69
3	50cdb857-a262-0ae5-bf5b-5c93c8025b69	37	133
3	6d045bb2-2c9e-02d8-a9f9-f83e8bfed770	77	77
3	legs	49163:b414796d 49164:f1012467 49165:95839ad0 49166:fdab37dd 49167:2c4ae7a5 49168:ac40965a 49169:50cdb857 49170:6d045bb2	-
4	b414796d-14fc-080e-9ce6-a7162e3e562b	1695434	215901
4	f1012467-de9d-09a9-8b49-62a43945c24b	8393996	1158
4	95839ad0-b588-0b1d-8475-45fba6ae993c	251	477474
4	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	138	138
4	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	106	106
4	ac40965a-bc99-01e4-a2c9-c26b76db013b	106	106
4	50cdb857-a262-0ae5-bf5b-5c93c8025b69	82	114
4	6d045bb2-2c9e-02d8-a9f9-f83e8bfed770	106	138
4	legs	49163:b414796d 49164:f1012467 49165:95839ad0 49166:fdab37dd 49167:2c4ae7a5 49168:ac40965a 49169:50cdb857 49170:6d045bb2	-
5	b414796d-14fc-080e-9ce6-a7162e3e562b	5843277	25059
5	f1012467-de9d-09a9-8b49-62a43945c24b	4262400	622
5	95839ad0-b588-0b1d-8475-45fba6ae993c	214	264
5	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	37	37
5	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	37	37
5	ac40965a-bc99-01e4-a2c9-c26b76db013b	69	69
5	50cdb857-a262-0ae5-bf5b-5c93c8025b69	32	0
5	6d045bb2-2c9e-02d8-a9f9-f83e8bfed770	37	37
5	legs	49163:b414796d 49164:f1012467 49165:95839ad0 49166:fdab37dd 49167:2c4ae7a5 49168:ac40965a 49169:50cdb857 49170:6d045bb2	-
6	b414796d-14fc-080e-9ce6-a7162e3e562b	76817	16741330
6	f1012467-de9d-09a9-8b49-62a43945c24b	3250	33668806
6	95839ad0-b588-0b1d-8475-45fba6ae993c	437	477744
6	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	257	257
6	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	196	196
6	ac40965a-bc99-01e4-a2c9-c26b76db013b	151	151
6	50cdb857-a262-0ae5-bf5b-5c93c8025b69	151	151
6	6d045bb2-2c9e-02d8-a9f9-f83e8bfed770	191	191
6	legs	49163:b414796d 49164:f1012467 49165:95839ad0 49166:fdab37dd 49167:2c4ae7a5 49168:ac40965a 49169:50cdb857 49170:6d045bb2	-
7	b414796d-14fc-080e-9ce6-a7162e3e562b	59171	33628383
7	f1012467-de9d-09a9-8b49-62a43945c24b	1843	17244402
7	95839ad0-b588-0b1d-8475-45fba6ae993c	325	477879
7	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	251	159915
7	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	209	190106
7	ac40965a-bc99-01e4-a2c9-c26b76db013b	177	177678
7	50cdb857-a262-0ae5-bf5b-5c93c8025b69	185	162606
7	6d045bb2-2c9e-02d8-a9f9-f83e8bfed770	148	175
7	legs	49163:b414796d 49164:f1012467 49165:95839ad0 49166:fdab37dd 49167:2c4ae7a5 49168:ac40965a 49169:50cdb857 49170:6d045bb2	-
8	b414796d-14fc-080e-9ce6-a7162e3e562b	33690391	231123
8	f1012467-de9d-09a9-8b49-62a43945c24b	16521195	2560
8	95839ad0-b588-0b1d-8475-45fba6ae993c	389	434
8	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	143	143
8	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	106	106
8	ac40965a-bc99-01e4-a2c9-c26b76db013b	74	106
8	50cdb857-a262-0ae5-bf5b-5c93c8025b69	114	114
8	6d045bb2-2c9e-02d8-a9f9-f83e8bfed770	122	106
8	legs	49163:b414796d 49164:f1012467 49165:95839ad0 49166:fdab37dd 49167:2c4ae7a5 49168:ac40965a 49169:50cdb857 49170:6d045bb2	-
9	b414796d-14fc-080e-9ce6-a7162e3e562b	29439946	48456
9	f1012467-de9d-09a9-8b49-62a43945c24b	20652488	3105
9	95839ad0-b588-0b1d-8475-45fba6ae993c	180	180
9	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	114	114
9	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	106	106
9	ac40965a-bc99-01e4-a2c9-c26b76db013b	138	138
9	50cdb857-a262-0ae5-bf5b-5c93c8025b69	138	138
9	6d045bb2-2c9e-02d8-a9f9-f83e8bfed770	114	114
9	legs	49163:b414796d 49164:f1012467 49165:95839ad0 49166:fdab37dd 49167:2c4ae7a5 49168:ac40965a 49169:50cdb857 49170:6d045bb2	-
10	b414796d-14fc-080e-9ce6-a7162e3e562b	33359114	337546
10	f1012467-de9d-09a9-8b49-62a43945c24b	16852972	435314
10	95839ad0-b588-0b1d-8475-45fba6ae993c	244	244
10	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	207	207
10	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	138	138
10	ac40965a-bc99-01e4-a2c9-c26b76db013b	114	114
10	50cdb857-a262-0ae5-bf5b-5c93c8025b69	106	106
10	6d045bb2-2c9e-02d8-a9f9-f83e8bfed770	114	114
