# row	tp	sent_delta	recv_delta
1	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	185	4252
1	50cdb857-a262-0ae5-bf5b-5c93c8025b69	185	163944
1	95839ad0-b588-0b1d-8475-45fba6ae993c	498	2101760
1	ac40965a-bc99-01e4-a2c9-c26b76db013b	225	172283
1	b414796d-14fc-080e-9ce6-a7162e3e562b	29870	8852978
1	f1012467-de9d-09a9-8b49-62a43945c24b	185	443305
1	f92bb572-e2d4-0d53-b732-5342265bca62	143	223
1	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	254	161489
1	legs	49175:b414796d 49176:95839ad0 49177:f1012467 49179:fdab37dd 49180:ac40965a 49181:50cdb857 49182:2c4ae7a5 49183:f92bb572	-
2	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	101	101
2	50cdb857-a262-0ae5-bf5b-5c93c8025b69	101	101
2	95839ad0-b588-0b1d-8475-45fba6ae993c	498	4234394
2	ac40965a-bc99-01e4-a2c9-c26b76db013b	101	69
2	b414796d-14fc-080e-9ce6-a7162e3e562b	33241	5872629
2	f1012467-de9d-09a9-8b49-62a43945c24b	101	101
2	f92bb572-e2d4-0d53-b732-5342265bca62	69	69
2	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	133	69
2	legs	49175:b414796d 49176:95839ad0 49177:f1012467 49179:fdab37dd 49180:ac40965a 49181:50cdb857 49182:2c4ae7a5 49183:f92bb572	-
3	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	45	45
3	50cdb857-a262-0ae5-bf5b-5c93c8025b69	37	37
3	95839ad0-b588-0b1d-8475-45fba6ae993c	358	1614550
3	ac40965a-bc99-01e4-a2c9-c26b76db013b	37	37
3	b414796d-14fc-080e-9ce6-a7162e3e562b	710	8403171
3	f1012467-de9d-09a9-8b49-62a43945c24b	37	37
3	f92bb572-e2d4-0d53-b732-5342265bca62	133	69
3	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	106	106
3	legs	49175:b414796d 49176:95839ad0 49177:f1012467 49179:fdab37dd 49180:ac40965a 49181:50cdb857 49182:2c4ae7a5 49183:f92bb572	-
4	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	108	182345
4	50cdb857-a262-0ae5-bf5b-5c93c8025b69	140	164200
4	95839ad0-b588-0b1d-8475-45fba6ae993c	10016920	488157
4	ac40965a-bc99-01e4-a2c9-c26b76db013b	177	172235
4	b414796d-14fc-080e-9ce6-a7162e3e562b	2201	401479
4	f1012467-de9d-09a9-8b49-62a43945c24b	153	442922
4	f92bb572-e2d4-0d53-b732-5342265bca62	42	74
4	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	116	161844
4	legs	49175:b414796d 49176:95839ad0 49177:f1012467 49179:fdab37dd 49180:ac40965a 49181:50cdb857 49182:2c4ae7a5 49183:f92bb572	-
5	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	106	106
5	50cdb857-a262-0ae5-bf5b-5c93c8025b69	151	114
5	95839ad0-b588-0b1d-8475-45fba6ae993c	10016584	718
5	ac40965a-bc99-01e4-a2c9-c26b76db013b	42	74
5	b414796d-14fc-080e-9ce6-a7162e3e562b	2392	297853
5	f1012467-de9d-09a9-8b49-62a43945c24b	37	37
5	f92bb572-e2d4-0d53-b732-5342265bca62	165	69
5	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	106	106
5	legs	49175:b414796d 49176:95839ad0 49177:f1012467 49179:fdab37dd 49180:ac40965a 49181:50cdb857 49182:2c4ae7a5 49183:f92bb572	-
6	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	153	181711
6	50cdb857-a262-0ae5-bf5b-5c93c8025b69	145	164234
6	95839ad0-b588-0b1d-8475-45fba6ae993c	10016883	488790
6	ac40965a-bc99-01e4-a2c9-c26b76db013b	140	171192
6	b414796d-14fc-080e-9ce6-a7162e3e562b	3251	1024783
6	f1012467-de9d-09a9-8b49-62a43945c24b	37	443209
6	f92bb572-e2d4-0d53-b732-5342265bca62	165	101
6	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	106	25537
6	legs	49175:b414796d 49176:95839ad0 49177:f1012467 49179:fdab37dd 49180:ac40965a 49181:50cdb857 49182:2c4ae7a5 49183:f92bb572	-
7	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	508	183681
7	50cdb857-a262-0ae5-bf5b-5c93c8025b69	476	165031
7	95839ad0-b588-0b1d-8475-45fba6ae993c	2644	18623054
7	ac40965a-bc99-01e4-a2c9-c26b76db013b	468	171522
7	b414796d-14fc-080e-9ce6-a7162e3e562b	22060	34042007
7	f1012467-de9d-09a9-8b49-62a43945c24b	540	444454
7	f92bb572-e2d4-0d53-b732-5342265bca62	461	461
7	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	508	162976
7	legs	49175:b414796d 49177:f1012467 49179:fdab37dd 49180:ac40965a 49181:50cdb857 49182:2c4ae7a5 49183:f92bb572	-
8	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	291	184852
8	50cdb857-a262-0ae5-bf5b-5c93c8025b69	291	166159
8	95839ad0-b588-0b1d-8475-45fba6ae993c	1424	2447
8	ac40965a-bc99-01e4-a2c9-c26b76db013b	251	171662
8	b414796d-14fc-080e-9ce6-a7162e3e562b	9307	43066496
8	f1012467-de9d-09a9-8b49-62a43945c24b	1457	8889858
8	f92bb572-e2d4-0d53-b732-5342265bca62	193	215
8	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	143	158006
8	legs	49175:b414796d 49177:f1012467 49179:fdab37dd 49180:ac40965a 49181:50cdb857 49182:2c4ae7a5 49183:f92bb572 49184:95839ad0	-
9	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	214	185136
9	50cdb857-a262-0ae5-bf5b-5c93c8025b69	214	168828
9	95839ad0-b588-0b1d-8475-45fba6ae993c	175	175
9	ac40965a-bc99-01e4-a2c9-c26b76db013b	246	173097
9	b414796d-14fc-080e-9ce6-a7162e3e562b	5277	38239711
9	f1012467-de9d-09a9-8b49-62a43945c24b	1395	12735278
9	f92bb572-e2d4-0d53-b732-5342265bca62	207	143
9	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	323	162592
9	legs	49175:b414796d 49177:f1012467 49179:fdab37dd 49180:ac40965a 49181:50cdb857 49182:2c4ae7a5 49183:f92bb572 49184:95839ad0	-
10	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	106	106
10	50cdb857-a262-0ae5-bf5b-5c93c8025b69	82	82
10	95839ad0-b588-0b1d-8475-45fba6ae993c	74	74
10	ac40965a-bc99-01e4-a2c9-c26b76db013b	74	74
10	b414796d-14fc-080e-9ce6-a7162e3e562b	182	182
10	f1012467-de9d-09a9-8b49-62a43945c24b	50082416	1068
10	f92bb572-e2d4-0d53-b732-5342265bca62	106	106
10	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	37	37
10	legs	49175:b414796d 49177:f1012467 49179:fdab37dd 49180:ac40965a 49181:50cdb857 49182:2c4ae7a5 49183:f92bb572 49184:95839ad0	-
11	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	153	185082
11	50cdb857-a262-0ae5-bf5b-5c93c8025b69	153	169000
11	95839ad0-b588-0b1d-8475-45fba6ae993c	114	114
11	ac40965a-bc99-01e4-a2c9-c26b76db013b	185	176022
11	b414796d-14fc-080e-9ce6-a7162e3e562b	14280	1161522
11	f1012467-de9d-09a9-8b49-62a43945c24b	50079967	446537
11	f92bb572-e2d4-0d53-b732-5342265bca62	90	90
11	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	153	162412
11	legs	49175:b414796d 49177:f1012467 49179:fdab37dd 49180:ac40965a 49181:50cdb857 49182:2c4ae7a5 49183:f92bb572 49184:95839ad0	-
12	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	114	82
12	50cdb857-a262-0ae5-bf5b-5c93c8025b69	69	37
12	95839ad0-b588-0b1d-8475-45fba6ae993c	74	74
12	ac40965a-bc99-01e4-a2c9-c26b76db013b	74	74
12	b414796d-14fc-080e-9ce6-a7162e3e562b	50088518	1111
12	f1012467-de9d-09a9-8b49-62a43945c24b	106	106
12	f92bb572-e2d4-0d53-b732-5342265bca62	74	74
12	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	74	74
12	legs	49175:b414796d 49177:f1012467 49179:fdab37dd 49180:ac40965a 49181:50cdb857 49182:2c4ae7a5 49183:f92bb572 49184:95839ad0	-
# rg dst_ports settled=49175,49176,49177,49179,49180,49181,49182,49183 after_cut=49175,49176,49177,49179,49180,49181,49182,49183 end=49175,49177,49179,49180,49181,49182,49183,49184
