# row	tp	sent_delta	recv_delta
1	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	1428	8537548
1	95839ad0-b588-0b1d-8475-45fba6ae993c	110	2004059
1	legs	49170:fdab37dd,95839ad0	-
2	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	2524	11126516
2	95839ad0-b588-0b1d-8475-45fba6ae993c	202	0
2	legs	49170:fdab37dd,95839ad0	-
3	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	3507956	3199
3	95839ad0-b588-0b1d-8475-45fba6ae993c	6541480	3229582
3	legs	49170:fdab37dd,95839ad0	-
4	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	209	159221
4	95839ad0-b588-0b1d-8475-45fba6ae993c	1393	0
4	legs	49170:fdab37dd,95839ad0	-
5	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	10006496	1783
5	95839ad0-b588-0b1d-8475-45fba6ae993c	9985	46
5	legs	49170:fdab37dd,95839ad0	-
6	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	4316	45479795
6	95839ad0-b588-0b1d-8475-45fba6ae993c	300	5231826
6	legs	49170:fdab37dd,95839ad0	-
7	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	8146	35299274
7	95839ad0-b588-0b1d-8475-45fba6ae993c	70	15617098
7	legs	49170:fdab37dd,95839ad0	-
8	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	50047992	2175
8	95839ad0-b588-0b1d-8475-45fba6ae993c	31905	65
8	legs	49170:fdab37dd,95839ad0	-
9	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	24033209	4291
9	95839ad0-b588-0b1d-8475-45fba6ae993c	26079512	4146
9	legs	49170:fdab37dd,95839ad0	-
10	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	28382878	2907
10	95839ad0-b588-0b1d-8475-45fba6ae993c	21926532	83
10	legs	49170:fdab37dd,95839ad0	-
# rg src_port before=49170 after=49170 constant
