# assert	value	want	verdict
pool_size	8	> 2	PASS
pool_settled	quiet 20s	quiet	INFO
hashes_after_cut	3/3	3/3	PASS
cut_target	tp 95839ad0-b588-0b1d-8475-45fba6ae993c rg 49185 remote 0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13 (by tunnel_role=active)	an active tunnel's first hop	INFO
survivors_kept	7/7 (49184,49185,49186,49187,49188,49190,49191,49192 -> 49184,49186,49187,49188,49190,49191,49192)	all but rg 49185	PASS
rg_ports_lost	49185	at most rg 49185	PASS
rg_ports_gained	none	pool refill, not a rebuild	INFO
promote_event	tunnel_promoted x1	>=1 tunnel_promoted (or leg_promoted)	PASS
ttfb_after_cut_s	19.741	< 2	FAIL
local_reorder_wedge	0 events, wedges counter 0	0	PASS
exit_reorder_wedge	0	0	PASS
