# row	tp	sent_delta	recv_delta
1	0439767f-e3da-0a99-8255-5f1402d8a019	69	69
1	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	69	69
1	50cdb857-a262-0ae5-bf5b-5c93c8025b69	69	69
1	95839ad0-b588-0b1d-8475-45fba6ae993c	1192	6060091
1	ac40965a-bc99-01e4-a2c9-c26b76db013b	101	101
1	b414796d-14fc-080e-9ce6-a7162e3e562b	1054	3959066
1	f1012467-de9d-09a9-8b49-62a43945c24b	138	143
1	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	5	69
1	legs	49184:b414796d 49185:95839ad0 49186:f1012467 49187:fdab37dd 49188:2c4ae7a5 49190:50cdb857 49191:ac40965a 49192:0439767f	-
2	0439767f-e3da-0a99-8255-5f1402d8a019	69	69
2	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	140	183745
2	50cdb857-a262-0ae5-bf5b-5c93c8025b69	108	166356
2	95839ad0-b588-0b1d-8475-45fba6ae993c	973	6533937
2	ac40965a-bc99-01e4-a2c9-c26b76db013b	96	174742
2	b414796d-14fc-080e-9ce6-a7162e3e562b	805	3959075
2	f1012467-de9d-09a9-8b49-62a43945c24b	4164	5345
2	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	37	37
2	legs	49184:b414796d 49185:95839ad0 49186:f1012467 49187:fdab37dd 49188:2c4ae7a5 49190:50cdb857 49191:ac40965a 49192:0439767f	-
3	0439767f-e3da-0a99-8255-5f1402d8a019	77	77
3	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	37	37
3	50cdb857-a262-0ae5-bf5b-5c93c8025b69	37	37
3	95839ad0-b588-0b1d-8475-45fba6ae993c	1276	8039706
3	ac40965a-bc99-01e4-a2c9-c26b76db013b	0	0
3	b414796d-14fc-080e-9ce6-a7162e3e562b	20166	1995464
3	f1012467-de9d-09a9-8b49-62a43945c24b	48	16
3	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	69	69
3	legs	49184:b414796d 49185:95839ad0 49186:f1012467 49187:fdab37dd 49188:2c4ae7a5 49190:50cdb857 49191:ac40965a 49192:0439767f	-
4	0439767f-e3da-0a99-8255-5f1402d8a019	148	175
4	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	114	114
4	50cdb857-a262-0ae5-bf5b-5c93c8025b69	114	114
4	95839ad0-b588-0b1d-8475-45fba6ae993c	114	114
4	ac40965a-bc99-01e4-a2c9-c26b76db013b	184	4353
