# row	tp	sent_delta	recv_delta
1	b414796d-14fc-080e-9ce6-a7162e3e562b	20159	2157946
1	95839ad0-b588-0b1d-8475-45fba6ae993c	1295	5971365
1	f1012467-de9d-09a9-8b49-62a43945c24b	724	1999841
1	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	32	0
1	ac40965a-bc99-01e4-a2c9-c26b76db013b	32	32
1	legs	49160:b414796d 49161:95839ad0 49162:f1012467 49163:fdab37dd 49165:ac40965a	-
2	b414796d-14fc-080e-9ce6-a7162e3e562b	23536	2142932
2	95839ad0-b588-0b1d-8475-45fba6ae993c	1684	7950957
2	f1012467-de9d-09a9-8b49-62a43945c24b	5	69
2	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	0	0
2	ac40965a-bc99-01e4-a2c9-c26b76db013b	0	0
2	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	32	0
2	legs	49160:b414796d 49161:95839ad0 49162:f1012467 49163:fdab37dd 49165:ac40965a 49166:2c4ae7a5 49167:50cdb857	-
3	b414796d-14fc-080e-9ce6-a7162e3e562b	29585	2119172
3	95839ad0-b588-0b1d-8475-45fba6ae993c	1500	7918177
3	f1012467-de9d-09a9-8b49-62a43945c24b	13	45
3	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	40	40
3	ac40965a-bc99-01e4-a2c9-c26b76db013b	72	8
3	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	77	77
3	50cdb857-a262-0ae5-bf5b-5c93c8025b69	77	77
3	legs	49160:b414796d 49161:95839ad0 49162:f1012467 49163:fdab37dd 49165:ac40965a 49166:2c4ae7a5 49167:50cdb857	-
4	b414796d-14fc-080e-9ce6-a7162e3e562b	19719	30915
4	95839ad0-b588-0b1d-8475-45fba6ae993c	10007056	2449
4	f1012467-de9d-09a9-8b49-62a43945c24b	32	32
4	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	37	37
4	ac40965a-bc99-01e4-a2c9-c26b76db013b	45	45
4	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	69	53
4	50cdb857-a262-0ae5-bf5b-5c93c8025b69	69	37
4	legs	49160:b414796d 49161:95839ad0 49162:f1012467 49163:fdab37dd 49165:ac40965a 49166:2c4ae7a5 49167:50cdb857 49168:8378a54f	-
5	b414796d-14fc-080e-9ce6-a7162e3e562b	2509786	7277
5	95839ad0-b588-0b1d-8475-45fba6ae993c	7505416	1856
5	f1012467-de9d-09a9-8b49-62a43945c24b	37	37
5	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	37	37
5	ac40965a-bc99-01e4-a2c9-c26b76db013b	37	37
5	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	37	37
