# row	tp	sent_delta	recv_delta
1	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	101	37
1	50cdb857-a262-0ae5-bf5b-5c93c8025b69	106	106
1	95839ad0-b588-0b1d-8475-45fba6ae993c	324	10532931
1	ac40965a-bc99-01e4-a2c9-c26b76db013b	108	140
1	f1012467-de9d-09a9-8b49-62a43945c24b	2166	16029665
1	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	8431	25331618
1	legs	49158:fdab37dd,95839ad0 49159:f1012467,ac40965a 49160:f1012467 49161:fdab37dd 49163:2c4ae7a5 49164:ac40965a 49165:50cdb857	-
2	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	101	69
2	50cdb857-a262-0ae5-bf5b-5c93c8025b69	133	101
2	95839ad0-b588-0b1d-8475-45fba6ae993c	75	74
2	ac40965a-bc99-01e4-a2c9-c26b76db013b	133	163
2	f1012467-de9d-09a9-8b49-62a43945c24b	2220	23993427
2	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	3235	26156510
2	legs	49158:fdab37dd,95839ad0 49159:f1012467,ac40965a 49160:f1012467 49161:fdab37dd 49163:2c4ae7a5 49164:ac40965a 49165:50cdb857 49168:b414796d	-
3	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	151	151
3	50cdb857-a262-0ae5-bf5b-5c93c8025b69	207	175
3	95839ad0-b588-0b1d-8475-45fba6ae993c	271	268
3	ac40965a-bc99-01e4-a2c9-c26b76db013b	230	228
3	f1012467-de9d-09a9-8b49-62a43945c24b	4627	44984080
3	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	5383	53123854
3	legs	49158:fdab37dd,95839ad0 49159:f1012467,ac40965a 49160:f1012467 49161:fdab37dd 49163:2c4ae7a5 49164:ac40965a 49165:50cdb857 49168:b414796d	-
4	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	2281	2258
4	50cdb857-a262-0ae5-bf5b-5c93c8025b69	257	337
4	95839ad0-b588-0b1d-8475-45fba6ae993c	300	375
4	ac40965a-bc99-01e4-a2c9-c26b76db013b	11405	347
4	f1012467-de9d-09a9-8b49-62a43945c24b	6611	59312649
4	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	4619	40896301
4	legs	49158:fdab37dd,95839ad0 49159:f1012467,ac40965a 49160:f1012467 49161:fdab37dd 49163:2c4ae7a5 49164:ac40965a 49165:50cdb857 49168:b414796d	-
# rg dst_ports before=49158,49159 after=49158,49160 CHANGED
