# row	tp	sent_delta	recv_delta
1	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	3184	21206930
1	95839ad0-b588-0b1d-8475-45fba6ae993c	9	9
1	50cdb857-a262-0ae5-bf5b-5c93c8025b69	205	3778439
1	legs	49172:fdab37dd,95839ad0,50cdb857	-
2	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	3826	15578864
2	95839ad0-b588-0b1d-8475-45fba6ae993c	17	17
2	50cdb857-a262-0ae5-bf5b-5c93c8025b69	389	8122956
2	legs	49172:fdab37dd,95839ad0,50cdb857	-
3	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	3809	4550041
3	95839ad0-b588-0b1d-8475-45fba6ae993c	341	14283023
3	50cdb857-a262-0ae5-bf5b-5c93c8025b69	662	6331572
3	legs	49172:fdab37dd,95839ad0,50cdb857	-
4	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	4557	2527354
4	95839ad0-b588-0b1d-8475-45fba6ae993c	779	12396272
4	50cdb857-a262-0ae5-bf5b-5c93c8025b69	1062	3277250
4	legs	49172:fdab37dd,95839ad0,50cdb857	-
5	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	228	16
5	95839ad0-b588-0b1d-8475-45fba6ae993c	299	6075657
5	50cdb857-a262-0ae5-bf5b-5c93c8025b69	225	142
5	legs	49172:fdab37dd,95839ad0,50cdb857	-
6	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	4846380	7186
6	95839ad0-b588-0b1d-8475-45fba6ae993c	2619754	914
6	50cdb857-a262-0ae5-bf5b-5c93c8025b69	10186355	899
6	legs	49172:fdab37dd,95839ad0,50cdb857	-
7	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	3344500	7220
7	95839ad0-b588-0b1d-8475-45fba6ae993c	3314018	251
7	50cdb857-a262-0ae5-bf5b-5c93c8025b69	8802931	241
7	legs	49172:fdab37dd,95839ad0,50cdb857	-
8	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	3308616	4323
8	95839ad0-b588-0b1d-8475-45fba6ae993c	3380991	1015
8	50cdb857-a262-0ae5-bf5b-5c93c8025b69	9080047	445
8	legs	49172:fdab37dd,95839ad0,50cdb857	-
9	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	3344741	151488
9	95839ad0-b588-0b1d-8475-45fba6ae993c	3341194	526208
9	50cdb857-a262-0ae5-bf5b-5c93c8025b69	8874634	160363
9	legs	49172:fdab37dd,95839ad0,50cdb857	-
10	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	3314186	2928
10	95839ad0-b588-0b1d-8475-45fba6ae993c	3348034	1226
10	50cdb857-a262-0ae5-bf5b-5c93c8025b69	8734886	732
10	legs	49172:fdab37dd,95839ad0,50cdb857	-
11	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	19078	17641462
11	95839ad0-b588-0b1d-8475-45fba6ae993c	597	132590347
11	50cdb857-a262-0ae5-bf5b-5c93c8025b69	1499	14997555
11	legs	49172:fdab37dd,95839ad0,50cdb857	-
12	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	24270	77051220
12	95839ad0-b588-0b1d-8475-45fba6ae993c	558	91987024
12	50cdb857-a262-0ae5-bf5b-5c93c8025b69	1931	18778306
12	legs	49172:fdab37dd,95839ad0,50cdb857	-
13	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	21062	19508079
13	95839ad0-b588-0b1d-8475-45fba6ae993c	566	112991185
13	50cdb857-a262-0ae5-bf5b-5c93c8025b69	8170	16156089
13	legs	49172:fdab37dd,95839ad0,50cdb857	-
14	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	26599	153442510
14	95839ad0-b588-0b1d-8475-45fba6ae993c	2648	13852304
14	50cdb857-a262-0ae5-bf5b-5c93c8025b69	16309	24703514
14	legs	49172:fdab37dd,95839ad0,50cdb857	-
15	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	37010	131214545
15	95839ad0-b588-0b1d-8475-45fba6ae993c	2956	36973184
15	50cdb857-a262-0ae5-bf5b-5c93c8025b69	2098	26034070
15	legs	49172:fdab37dd,95839ad0,50cdb857	-
16	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	21536217	8289750
16	95839ad0-b588-0b1d-8475-45fba6ae993c	41184868	2047
16	50cdb857-a262-0ae5-bf5b-5c93c8025b69	14309250	1028
16	legs	49172:fdab37dd,95839ad0,50cdb857	-
17	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	16637523	15386
17	95839ad0-b588-0b1d-8475-45fba6ae993c	44515390	1607
17	50cdb857-a262-0ae5-bf5b-5c93c8025b69	16640954	4663
17	legs	49172:fdab37dd,95839ad0,50cdb857	-
18	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	16801193	14456
18	95839ad0-b588-0b1d-8475-45fba6ae993c	44257413	2014
18	50cdb857-a262-0ae5-bf5b-5c93c8025b69	16735946	1099
18	legs	49172:fdab37dd,95839ad0,50cdb857	-
19	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	16597306	16538
19	95839ad0-b588-0b1d-8475-45fba6ae993c	51611835	1884
19	50cdb857-a262-0ae5-bf5b-5c93c8025b69	16582356	450
19	legs	49172:fdab37dd,95839ad0,50cdb857	-
20	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	29174998	161292
20	95839ad0-b588-0b1d-8475-45fba6ae993c	36624657	534874
20	50cdb857-a262-0ae5-bf5b-5c93c8025b69	16744788	162133
20	legs	49172:fdab37dd,95839ad0,50cdb857	-
# rg src_port before=49172 after=49172 constant
