# row	tp	sent_delta	recv_delta
1	b414796d-14fc-080e-9ce6-a7162e3e562b	20373	24300006
1	f1012467-de9d-09a9-8b49-62a43945c24b	1538	12004276
1	95839ad0-b588-0b1d-8475-45fba6ae993c	658	2101247
1	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	1489	12015943
1	ac40965a-bc99-01e4-a2c9-c26b76db013b	138	138
1	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	138	138
1	50cdb857-a262-0ae5-bf5b-5c93c8025b69	106	106
1	legs	49185:b414796d 49186:f1012467 49187:95839ad0 49188:fdab37dd 49190:ac40965a 49191:2c4ae7a5 49192:50cdb857	-
2	b414796d-14fc-080e-9ce6-a7162e3e562b	13538	20420049
2	f1012467-de9d-09a9-8b49-62a43945c24b	1225	10528607
2	95839ad0-b588-0b1d-8475-45fba6ae993c	254	467776
2	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	1963	20191629
2	ac40965a-bc99-01e4-a2c9-c26b76db013b	259	186158
2	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	151	151
2	50cdb857-a262-0ae5-bf5b-5c93c8025b69	262	174722
2	legs	49185:b414796d 49186:f1012467 49187:95839ad0 49188:fdab37dd 49190:ac40965a 49191:2c4ae7a5 49192:50cdb857 49193:d33d56d2	-
3	b414796d-14fc-080e-9ce6-a7162e3e562b	20852603	8035
3	f1012467-de9d-09a9-8b49-62a43945c24b	12507867	2068
3	95839ad0-b588-0b1d-8475-45fba6ae993c	175	170
3	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	16676924	2297
3	ac40965a-bc99-01e4-a2c9-c26b76db013b	114	146
3	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	101	101
3	50cdb857-a262-0ae5-bf5b-5c93c8025b69	101	69
3	d33d56d2-8d9a-039e-a757-e6b6f4e58f6f	170	143
3	legs	49185:b414796d 49186:f1012467 49187:95839ad0 49188:fdab37dd 49190:ac40965a 49191:2c4ae7a5 49192:50cdb857 49193:d33d56d2	-
4	b414796d-14fc-080e-9ce6-a7162e3e562b	16688704	1727228
4	f1012467-de9d-09a9-8b49-62a43945c24b	12507938	431747
4	95839ad0-b588-0b1d-8475-45fba6ae993c	310	468851
4	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	20846216	163418
4	ac40965a-bc99-01e4-a2c9-c26b76db013b	177	187902
4	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	106	106
4	50cdb857-a262-0ae5-bf5b-5c93c8025b69	177	174732
4	d33d56d2-8d9a-039e-a757-e6b6f4e58f6f	106	138
4	legs	49185:b414796d 49186:f1012467 49187:95839ad0 49188:fdab37dd 49190:ac40965a 49191:2c4ae7a5 49192:50cdb857 49193:d33d56d2	-
5	b414796d-14fc-080e-9ce6-a7162e3e562b	16693204	12131
5	f1012467-de9d-09a9-8b49-62a43945c24b	12507742	1880
5	95839ad0-b588-0b1d-8475-45fba6ae993c	352	365
5	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	20846140	3086
5	ac40965a-bc99-01e4-a2c9-c26b76db013b	138	138
5	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	106	106
5	50cdb857-a262-0ae5-bf5b-5c93c8025b69	106	106
5	d33d56d2-8d9a-039e-a757-e6b6f4e58f6f	138	106
5	legs	49185:b414796d 49186:f1012467 49187:95839ad0 49188:fdab37dd 49190:ac40965a 49191:2c4ae7a5 49192:50cdb857 49193:d33d56d2	-
