# mux-standby-9 — per-row leg shares, forward = client->exit, reverse = exit->client
# note	the exit's per-leg record has no byte counter (only tp, standby, retransmits, dup_bytes, ack_delay_ms), so exit_bytes is the local recv_delta of the same leg — the bytes the exit sent that arrived there
# note	carrier.tsv counts a TRANSPORT, not a route group: a transport another group or app also rides counts that traffic here too
# note	latency_ms is the end-of-set legs.json snapshot, not the latency measured on the row
# note	shares and verdicts are computed over the legs of ACTIVE groups only; standby legs are listed with their bytes and a "-" share
# row	label	dir	size	leg	rg	role	scope	hops	carrier	latency_ms	remote_pk	fwd_bytes	rev_bytes	fwd_share	rev_share	exit_tp	exit_standby	exit_retx	exit_ack_ms
1	mux-standby-9-t1	down	10000000	b414796d	49175	active	in	b414796d>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	175.099394	022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	42700	5967010	98.0%	59.4%	b414796d	no	0	470.93
1	mux-standby-9-t1	down	10000000	f1012467	49176	active	in	f1012467>0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb;57c570d9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	173.481651	0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb	867	4080563	2.0%	40.6%	57c570d9	no	1	1025.87
1	mux-standby-9-t1	down	10000000	95839ad0	49177	standby	out	95839ad0>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13;dc5330cf>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	66.934211	0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13	106	101	-	-	dc5330cf	no	0	281.39
1	mux-standby-9-t1	down	10000000	fdab37dd	49178	standby	out	fdab37dd>03f57e7cf26c0764c5ab659a606add056ddf8bfad4f5bc7e8613cad05e5f228adf;7420f415>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	181.152316	03f57e7cf26c0764c5ab659a606add056ddf8bfad4f5bc7e8613cad05e5f228adf	37	37	-	-	7420f415	no	1	311.6
1	mux-standby-9-t1	down	10000000	ac40965a	49179	standby	out	ac40965a>02c483938539bd7820f72e48ed6056bab68e221e1108d23965a2903221495e4af7;3de424e0>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	282.903868	02c483938539bd7820f72e48ed6056bab68e221e1108d23965a2903221495e4af7	69	69	-	-	3de424e0	no	1	551.88
1	mux-standby-9-t1	down	10000000	2c4ae7a5	49180	standby	out	2c4ae7a5>02a2d4c346dabd165fd555dfdba4a7f4d18786fe7e055e562397cd5102bdd7f8dd;d0b47ec2>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	301.16552	02a2d4c346dabd165fd555dfdba4a7f4d18786fe7e055e562397cd5102bdd7f8dd	69	69	-	-	d0b47ec2	no	1	566.46
1	mux-standby-9-t1	down	10000000	50cdb857	49181	standby	out	50cdb857>0255117bf8d4687dacd5f7ac4c241f008060f1972911552a5b67b76f0e7922f5c7;38288b5a>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	248.833489	0255117bf8d4687dacd5f7ac4c241f008060f1972911552a5b67b76f0e7922f5c7	77	77	-	-	38288b5a	no	0	618.16
1	mux-standby-9-t1	down	10000000	d33d56d2	49182	standby	out	d33d56d2>023254178cd0249c59ff12525bb45e26b1ed3e571c18556dfe05ceeefacf07c62a;000864b9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	379.875147	023254178cd0249c59ff12525bb45e26b1ed3e571c18556dfe05ceeefacf07c62a	37	69	-	-	000864b9	no	2	1223.99
2	mux-standby-9-t2	down	10000000	b414796d	49175	active	in	b414796d>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	175.099394	022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	36553	5962781	98.1%	59.4%	b414796d	no	0	387.69
2	mux-standby-9-t2	down	10000000	f1012467	49176	active	in	f1012467>0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb;57c570d9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	173.481651	0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb	717	4080699	1.9%	40.6%	57c570d9	no	1	1086.16
