# row	tp	sent_delta	recv_delta
1	b414796d-14fc-080e-9ce6-a7162e3e562b	5896	4450375
1	f1012467-de9d-09a9-8b49-62a43945c24b	1181	3982689
1	95839ad0-b588-0b1d-8475-45fba6ae993c	642	2101236
1	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	42	74
1	ac40965a-bc99-01e4-a2c9-c26b76db013b	50	82
1	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	37	37
1	f92bb572-e2d4-0d53-b732-5342265bca62	37	37
1	50cdb857-a262-0ae5-bf5b-5c93c8025b69	37	69
1	legs	49351:b414796d 49352:f1012467 49353:95839ad0 49354:fdab37dd 49355:ac40965a 49357:2c4ae7a5 49358:f92bb572 49359:50cdb857	-
2	b414796d-14fc-080e-9ce6-a7162e3e562b	1320	2620449
2	f1012467-de9d-09a9-8b49-62a43945c24b	1629	8356746
2	95839ad0-b588-0b1d-8475-45fba6ae993c	246	466367
2	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	145	158453
2	ac40965a-bc99-01e4-a2c9-c26b76db013b	177	183742
2	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	113	195655
2	f92bb572-e2d4-0d53-b732-5342265bca62	74	106
2	50cdb857-a262-0ae5-bf5b-5c93c8025b69	140	168227
2	legs	49351:b414796d 49352:f1012467 49353:95839ad0 49354:fdab37dd 49355:ac40965a 49357:2c4ae7a5 49358:f92bb572 49359:50cdb857	-
3	b414796d-14fc-080e-9ce6-a7162e3e562b	18196	11211
3	f1012467-de9d-09a9-8b49-62a43945c24b	10007225	2746
3	95839ad0-b588-0b1d-8475-45fba6ae993c	111	106
3	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	37	37
3	ac40965a-bc99-01e4-a2c9-c26b76db013b	37	37
3	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	69	37
3	f92bb572-e2d4-0d53-b732-5342265bca62	42	37
3	50cdb857-a262-0ae5-bf5b-5c93c8025b69	37	37
3	legs	49351:b414796d 49352:f1012467 49353:95839ad0 49354:fdab37dd 49355:ac40965a 49357:2c4ae7a5 49358:f92bb572 49359:50cdb857	-
4	b414796d-14fc-080e-9ce6-a7162e3e562b	15157	9264
4	f1012467-de9d-09a9-8b49-62a43945c24b	10006931	2344
4	95839ad0-b588-0b1d-8475-45fba6ae993c	74	74
4	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	77	77
4	ac40965a-bc99-01e4-a2c9-c26b76db013b	37	37
4	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	37	37
4	f92bb572-e2d4-0d53-b732-5342265bca62	42	101
4	50cdb857-a262-0ae5-bf5b-5c93c8025b69	45	37
4	legs	49351:b414796d 49352:f1012467 49353:95839ad0 49354:fdab37dd 49355:ac40965a 49357:2c4ae7a5 49358:f92bb572 49359:50cdb857	-
5	b414796d-14fc-080e-9ce6-a7162e3e562b	27741	8019179
5	f1012467-de9d-09a9-8b49-62a43945c24b	1844	39986326
