# row	tp	sent_delta	recv_delta
1	b414796d-14fc-080e-9ce6-a7162e3e562b	1413	5938638
1	95839ad0-b588-0b1d-8475-45fba6ae993c	985	4080716
1	f1012467-de9d-09a9-8b49-62a43945c24b	69	69
1	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	108	37
1	50cdb857-a262-0ae5-bf5b-5c93c8025b69	108	4175
1	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	108	197081
1	ac40965a-bc99-01e4-a2c9-c26b76db013b	108	182658
1	59f8374e-c21e-0883-a6c5-44a01248f8b3	37	37
1	legs	49274:b414796d 49275:95839ad0 49276:f1012467 49277:fdab37dd 49278:50cdb857 49279:2c4ae7a5 49280:ac40965a 49282:59f8374e	-
2	b414796d-14fc-080e-9ce6-a7162e3e562b	5526	3963254
2	95839ad0-b588-0b1d-8475-45fba6ae993c	870	3959074
2	f1012467-de9d-09a9-8b49-62a43945c24b	663	2101166
2	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	37	37
2	50cdb857-a262-0ae5-bf5b-5c93c8025b69	37	37
2	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	69	69
2	ac40965a-bc99-01e4-a2c9-c26b76db013b	37	37
2	59f8374e-c21e-0883-a6c5-44a01248f8b3	133	53
2	legs	49274:b414796d 49275:95839ad0 49276:f1012467 49277:fdab37dd 49278:50cdb857 49279:2c4ae7a5 49280:ac40965a 49282:59f8374e	-
3	b414796d-14fc-080e-9ce6-a7162e3e562b	5003793	1599
3	95839ad0-b588-0b1d-8475-45fba6ae993c	5003882	1618
3	f1012467-de9d-09a9-8b49-62a43945c24b	77	77
3	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	50	50
3	50cdb857-a262-0ae5-bf5b-5c93c8025b69	42	42
3	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	37	37
3	ac40965a-bc99-01e4-a2c9-c26b76db013b	37	37
3	59f8374e-c21e-0883-a6c5-44a01248f8b3	104	8
