# row	tp	sent_delta	recv_delta
1	b414796d-14fc-080e-9ce6-a7162e3e562b	8362	4023866
1	95839ad0-b588-0b1d-8475-45fba6ae993c	862	3959061
1	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	37	37
1	f1012467-de9d-09a9-8b49-62a43945c24b	658	2101114
1	ac40965a-bc99-01e4-a2c9-c26b76db013b	108	37
1	legs	49295:b414796d 49296:95839ad0 49297:fdab37dd 49300:f1012467 49301:ac40965a 49303:2c4ae7a5	-
2	b414796d-14fc-080e-9ce6-a7162e3e562b	6301	4144187
2	95839ad0-b588-0b1d-8475-45fba6ae993c	1409	5938894
2	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	69	69
2	f1012467-de9d-09a9-8b49-62a43945c24b	74	74
2	ac40965a-bc99-01e4-a2c9-c26b76db013b	74	90
2	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	74	74
2	50cdb857-a262-0ae5-bf5b-5c93c8025b69	47	74
2	legs	49295:b414796d 49296:95839ad0 49297:fdab37dd 49300:f1012467 49301:ac40965a 49303:2c4ae7a5 49304:50cdb857	-
3	b414796d-14fc-080e-9ce6-a7162e3e562b	5005771	501296
3	95839ad0-b588-0b1d-8475-45fba6ae993c	5003986	459443
3	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	153	161720
3	f1012467-de9d-09a9-8b49-62a43945c24b	293	425194
3	ac40965a-bc99-01e4-a2c9-c26b76db013b	121	186211
3	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	148	195856
3	50cdb857-a262-0ae5-bf5b-5c93c8025b69	148	165550
3	f92bb572-e2d4-0d53-b732-5342265bca62	0	1148
3	legs	49295:b414796d 49296:95839ad0 49297:fdab37dd 49300:f1012467 49301:ac40965a 49303:2c4ae7a5 49304:50cdb857 49305:f92bb572	-
4	b414796d-14fc-080e-9ce6-a7162e3e562b	2504372	3409
4	95839ad0-b588-0b1d-8475-45fba6ae993c	7505243	1647
4	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	69	69
4	f1012467-de9d-09a9-8b49-62a43945c24b	37	37
4	ac40965a-bc99-01e4-a2c9-c26b76db013b	45	45
4	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	32	32
4	50cdb857-a262-0ae5-bf5b-5c93c8025b69	37	37
4	f92bb572-e2d4-0d53-b732-5342265bca62	37	37
4	legs	49295:b414796d 49296:95839ad0 49297:fdab37dd 49300:f1012467 49301:ac40965a 49303:2c4ae7a5 49304:50cdb857 49305:f92bb572	-
5	b414796d-14fc-080e-9ce6-a7162e3e562b	4425	27639592
5	95839ad0-b588-0b1d-8475-45fba6ae993c	3614	23410750
5	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	246	161463
5	f1012467-de9d-09a9-8b49-62a43945c24b	209	424998
5	ac40965a-bc99-01e4-a2c9-c26b76db013b	214	186765
5	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	177	195626
5	50cdb857-a262-0ae5-bf5b-5c93c8025b69	209	167524
5	f92bb572-e2d4-0d53-b732-5342265bca62	106	106
5	legs	49295:b414796d 49296:95839ad0 49297:fdab37dd 49300:f1012467 49301:ac40965a 49303:2c4ae7a5 49304:50cdb857 49305:f92bb572	-
6	b414796d-14fc-080e-9ce6-a7162e3e562b	9297	25058865
6	95839ad0-b588-0b1d-8475-45fba6ae993c	3861	25040100
6	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	122	122
6	f1012467-de9d-09a9-8b49-62a43945c24b	50	114
6	ac40965a-bc99-01e4-a2c9-c26b76db013b	121	4188
6	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	148	4215
6	50cdb857-a262-0ae5-bf5b-5c93c8025b69	116	135253
6	f92bb572-e2d4-0d53-b732-5342265bca62	151	178
6	legs	49295:b414796d 49296:95839ad0 49297:fdab37dd 49300:f1012467 49301:ac40965a 49303:2c4ae7a5 49304:50cdb857 49305:f92bb572	-
7	b414796d-14fc-080e-9ce6-a7162e3e562b	12576299	5058
7	95839ad0-b588-0b1d-8475-45fba6ae993c	37523063	5214
7	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	106	106
7	f1012467-de9d-09a9-8b49-62a43945c24b	214	264
7	ac40965a-bc99-01e4-a2c9-c26b76db013b	82	82
7	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	74	74
7	50cdb857-a262-0ae5-bf5b-5c93c8025b69	42	74
7	f92bb572-e2d4-0d53-b732-5342265bca62	74	138
7	legs	49295:b414796d 49296:95839ad0 49297:fdab37dd 49300:f1012467 49301:ac40965a 49303:2c4ae7a5 49304:50cdb857 49305:f92bb572	-
8	b414796d-14fc-080e-9ce6-a7162e3e562b	16686758	507624
8	95839ad0-b588-0b1d-8475-45fba6ae993c	33354026	464153
8	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	106	156412
8	f1012467-de9d-09a9-8b49-62a43945c24b	138	224796
8	ac40965a-bc99-01e4-a2c9-c26b76db013b	106	54076
8	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	82	114
8	50cdb857-a262-0ae5-bf5b-5c93c8025b69	106	138
8	f92bb572-e2d4-0d53-b732-5342265bca62	69	69
8	legs	49295:b414796d 49296:95839ad0 49297:fdab37dd 49300:f1012467 49301:ac40965a 49303:2c4ae7a5 49304:50cdb857 49305:f92bb572	-
