# paired reference: 0371ab4b (0323272a60895f56aad82cb767fb5c413807adcf7c9fb0578b1b1c5807c7f29d4c>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13@95839ad0-b588-0b1d-8475-45fba6ae993c,0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1@dc5330cf-5d85-0b70-88e9-e4ab169d17fd) via skysocks-client-ref@127.0.0.1:1081 — one reference row of the same cell immediately before every mux row
# row	cell	ref_MBps	mux_MBps	ratio	ref_ok	mux_ok	ref_legs
1	10down	3.87	2.67	0.690	1	1	1
2	10down	3.60	4.81	1.336	1	1	1
3	10down	3.36	4.91	1.461	1	1	1
4	10down	3.67	5.09	1.387	1	1	1
5	10down	4.00	3.59	0.897	1	1	1
6	10up	7.08	4.67	0.660	1	1	1
7	10up	6.61	4.31	0.652	1	1	1
8	10up	7.46	4.74	0.635	1	1	1
9	50down	4.34	4.58	1.055	1	1	1
10	50down	3.90	5.69	1.459	1	1	1
11	50down	4.83	5.15	1.066	1	1	1
12	50down	4.79	6.26	1.307	1	1	1
13	50down	3.61	6.42	1.778	1	1	1
14	50up	10.00	7.28	0.728	1	1	1
15	50up	10.29	9.21	0.895	1	1	1
16	50up	10.31	8.68	0.842	1	1	1
