# row	tp	sent_delta	recv_delta
1	03f0e265-2a83-0173-b7bb-434db346af6f	114	114
1	95839ad0-b588-0b1d-8475-45fba6ae993c	902	4415679
1	97ae541b-540b-0741-90c0-1c1d9fcd592c	106	106
1	a18cfda5-d5ac-0482-bd47-d10ced35c1d7	82	82
1	b414796d-14fc-080e-9ce6-a7162e3e562b	3150	6522225
1	bac92dd4-675b-0587-941c-740a8adf8311	69	69
1	bd6baec7-62f1-07b1-b830-6d5c61f243f9	69	69
1	df4c1852-1fca-048d-af5f-0787758e0d63	69	69
1	e11b656f-7329-0650-b55a-289be7ac38c7	69	69
1	fc2eaf78-f9b3-0ddb-9653-62ca655c1091	69	69
1	legs	49232:b414796d 49233:95839ad0 49234:e11b656f 49235:a18cfda5 49236:97ae541b 49237:bac92dd4 49238:fc2eaf78 49239:bd6baec7 49240:03f0e265 49241:df4c1852 49242:b414796d 49243:b414796d 49244:b414796d 49245:b414796d 49246:b414796d 49247:b414796d 49248:b414796d 49249:b414796d 49250:b414796d 49251:b414796d 49252:b414796d 49253:b414796d 49254:b414796d 49255:b414796d 49256:b414796d 49257:b414796d 49258:b414796d 49259:b414796d 49260:b414796d 49261:b414796d 49262:b414796d 49263:b414796d	-
2	03f0e265-2a83-0173-b7bb-434db346af6f	106	106
2	95839ad0-b588-0b1d-8475-45fba6ae993c	562	1979693
2	97ae541b-540b-0741-90c0-1c1d9fcd592c	106	106
2	a18cfda5-d5ac-0482-bd47-d10ced35c1d7	106	106
2	b414796d-14fc-080e-9ce6-a7162e3e562b	16807	8056425
2	bac92dd4-675b-0587-941c-740a8adf8311	106	106
2	bd6baec7-62f1-07b1-b830-6d5c61f243f9	138	138
2	df4c1852-1fca-048d-af5f-0787758e0d63	151	151
2	e11b656f-7329-0650-b55a-289be7ac38c7	143	143
2	fc2eaf78-f9b3-0ddb-9653-62ca655c1091	143	143
2	legs	49232:b414796d 49233:95839ad0 49234:e11b656f 49235:a18cfda5 49236:97ae541b 49237:bac92dd4 49238:fc2eaf78 49239:bd6baec7 49240:03f0e265 49241:df4c1852 49242:b414796d 49243:b414796d 49244:b414796d 49245:b414796d 49246:b414796d 49247:b414796d 49248:b414796d 49249:b414796d 49250:b414796d 49251:b414796d 49252:b414796d 49253:b414796d 49254:b414796d 49255:b414796d 49256:b414796d 49257:b414796d 49258:b414796d 49259:b414796d 49260:b414796d 49261:b414796d 49262:b414796d 49263:b414796d	-
3	03f0e265-2a83-0173-b7bb-434db346af6f	106	106
3	95839ad0-b588-0b1d-8475-45fba6ae993c	434	1979560
3	97ae541b-540b-0741-90c0-1c1d9fcd592c	106	106
3	a18cfda5-d5ac-0482-bd47-d10ced35c1d7	106	106
3	b414796d-14fc-080e-9ce6-a7162e3e562b	10624	8079083
3	bac92dd4-675b-0587-941c-740a8adf8311	114	114
3	bd6baec7-62f1-07b1-b830-6d5c61f243f9	106	106
3	df4c1852-1fca-048d-af5f-0787758e0d63	106	106
3	e11b656f-7329-0650-b55a-289be7ac38c7	69	69
3	fc2eaf78-f9b3-0ddb-9653-62ca655c1091	69	69
3	legs	49232:b414796d 49233:95839ad0 49234:e11b656f 49235:a18cfda5 49236:97ae541b 49237:bac92dd4 49238:fc2eaf78 49239:bd6baec7 49240:03f0e265 49241:df4c1852 49242:b414796d 49243:b414796d 49244:b414796d 49245:b414796d 49246:b414796d 49247:b414796d 49248:b414796d 49249:b414796d 49250:b414796d 49251:b414796d 49252:b414796d 49253:b414796d 49254:b414796d 49255:b414796d 49256:b414796d 49257:b414796d 49258:b414796d 49259:b414796d 49260:b414796d 49261:b414796d 49262:b414796d 49263:b414796d	-
4	03f0e265-2a83-0173-b7bb-434db346af6f	37	37
4	95839ad0-b588-0b1d-8475-45fba6ae993c	392	1979575
4	97ae541b-540b-0741-90c0-1c1d9fcd592c	69	37
4	a18cfda5-d5ac-0482-bd47-d10ced35c1d7	74	74
4	b414796d-14fc-080e-9ce6-a7162e3e562b	3421	8074111
4	bac92dd4-675b-0587-941c-740a8adf8311	74	74
4	bd6baec7-62f1-07b1-b830-6d5c61f243f9	37	37
4	df4c1852-1fca-048d-af5f-0787758e0d63	37	37
4	e11b656f-7329-0650-b55a-289be7ac38c7	37	37
4	fc2eaf78-f9b3-0ddb-9653-62ca655c1091	45	45
