# row	tp	sent_delta	recv_delta
1	b414796d-14fc-080e-9ce6-a7162e3e562b	3485	2366006
1	95839ad0-b588-0b1d-8475-45fba6ae993c	1312	8489517
1	legs	49166:b414796d 49167:95839ad0	-
2	b414796d-14fc-080e-9ce6-a7162e3e562b	6378	1984679
2	95839ad0-b588-0b1d-8475-45fba6ae993c	1199	8039612
2	legs	49166:b414796d 49167:95839ad0	-
3	b414796d-14fc-080e-9ce6-a7162e3e562b	6326	1984357
3	95839ad0-b588-0b1d-8475-45fba6ae993c	1194	8039664
3	legs	49166:b414796d 49167:95839ad0	-
4	b414796d-14fc-080e-9ce6-a7162e3e562b	11440	1989083
4	95839ad0-b588-0b1d-8475-45fba6ae993c	1236	8039773
4	legs	49166:b414796d 49167:95839ad0	-
5	b414796d-14fc-080e-9ce6-a7162e3e562b	7205	1984712
5	95839ad0-b588-0b1d-8475-45fba6ae993c	1204	8040033
5	legs	49166:b414796d 49167:95839ad0	-
6	b414796d-14fc-080e-9ce6-a7162e3e562b	2508090	6239
6	95839ad0-b588-0b1d-8475-45fba6ae993c	7505337	1802
6	legs	49166:b414796d 49167:95839ad0	-
7	b414796d-14fc-080e-9ce6-a7162e3e562b	2506510	3739
7	95839ad0-b588-0b1d-8475-45fba6ae993c	7505369	1809
7	legs	49166:b414796d 49167:95839ad0	-
8	b414796d-14fc-080e-9ce6-a7162e3e562b	2509518	6235
8	95839ad0-b588-0b1d-8475-45fba6ae993c	7505305	1750
8	legs	49166:b414796d 49167:95839ad0	-
9	b414796d-14fc-080e-9ce6-a7162e3e562b	17128	24711095
9	95839ad0-b588-0b1d-8475-45fba6ae993c	2607	26546917
9	legs	49166:b414796d 49167:95839ad0	-
10	b414796d-14fc-080e-9ce6-a7162e3e562b	7550	27999757
10	95839ad0-b588-0b1d-8475-45fba6ae993c	2083	22095604
10	legs	49166:b414796d 49167:95839ad0	-
11	b414796d-14fc-080e-9ce6-a7162e3e562b	2606	26096554
11	95839ad0-b588-0b1d-8475-45fba6ae993c	2035	23993282
11	legs	49166:b414796d 49167:95839ad0	-
12	b414796d-14fc-080e-9ce6-a7162e3e562b	5758	16394892
12	95839ad0-b588-0b1d-8475-45fba6ae993c	3124	34557709
12	legs	49166:b414796d 49167:95839ad0	-
13	b414796d-14fc-080e-9ce6-a7162e3e562b	6373	22098066
13	95839ad0-b588-0b1d-8475-45fba6ae993c	2556	27993325
13	legs	49166:b414796d 49167:95839ad0	-
14	b414796d-14fc-080e-9ce6-a7162e3e562b	12507789	3479
14	95839ad0-b588-0b1d-8475-45fba6ae993c	37522862	4990
14	legs	49166:b414796d 49167:95839ad0	-
15	b414796d-14fc-080e-9ce6-a7162e3e562b	16677692	2844
15	95839ad0-b588-0b1d-8475-45fba6ae993c	33353755	4439
15	legs	49166:b414796d 49167:95839ad0	-
16	b414796d-14fc-080e-9ce6-a7162e3e562b	25017643	675176
16	95839ad0-b588-0b1d-8475-45fba6ae993c	25015313	456589
16	legs	49166:b414796d 49167:95839ad0	-
