# row	tp	sent_delta	recv_delta
1	b414796d-14fc-080e-9ce6-a7162e3e562b	6951	18588169
1	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	1823	16028882
1	95839ad0-b588-0b1d-8475-45fba6ae993c	299	294
1	f1012467-de9d-09a9-8b49-62a43945c24b	1634	16032313
1	ac40965a-bc99-01e4-a2c9-c26b76db013b	106	74
1	50cdb857-a262-0ae5-bf5b-5c93c8025b69	74	74
1	062c57d2-0c3c-05ac-8df4-d322cd8da1aa	?	?
1	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	210	114
1	f92bb572-e2d4-0d53-b732-5342265bca62	202	106
1	legs	49245:b414796d 49246:fdab37dd 49247:95839ad0 49248:f1012467 49249:ac40965a 49250:50cdb857 49252:2c4ae7a5 49253:f92bb572	-
2	b414796d-14fc-080e-9ce6-a7162e3e562b	7395	22100588
2	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	1944	16048008
2	95839ad0-b588-0b1d-8475-45fba6ae993c	286	286
2	f1012467-de9d-09a9-8b49-62a43945c24b	1617	12001657
2	ac40965a-bc99-01e4-a2c9-c26b76db013b	106	122
2	50cdb857-a262-0ae5-bf5b-5c93c8025b69	146	146
2	062c57d2-0c3c-05ac-8df4-d322cd8da1aa	?	?
2	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	106	106
2	f92bb572-e2d4-0d53-b732-5342265bca62	143	111
2	legs	49245:b414796d 49246:fdab37dd 49247:95839ad0 49248:f1012467 49249:ac40965a 49250:50cdb857 49252:2c4ae7a5 49253:f92bb572	-
3	b414796d-14fc-080e-9ce6-a7162e3e562b	14811	24302531
3	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	2033	16177216
3	95839ad0-b588-0b1d-8475-45fba6ae993c	185	180
3	f1012467-de9d-09a9-8b49-62a43945c24b	1573	12418419
3	ac40965a-bc99-01e4-a2c9-c26b76db013b	242	173853
3	50cdb857-a262-0ae5-bf5b-5c93c8025b69	214	159384
3	062c57d2-0c3c-05ac-8df4-d322cd8da1aa	?	?
3	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	106	175690
3	f92bb572-e2d4-0d53-b732-5342265bca62	106	106
3	legs	49245:b414796d 49246:fdab37dd 49247:95839ad0 49248:f1012467 49249:ac40965a 49250:50cdb857 49252:2c4ae7a5 49253:f92bb572	-
4	b414796d-14fc-080e-9ce6-a7162e3e562b	15373	22620700
4	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	1974	16196707
4	95839ad0-b588-0b1d-8475-45fba6ae993c	321	289
4	f1012467-de9d-09a9-8b49-62a43945c24b	1546	12418064
4	ac40965a-bc99-01e4-a2c9-c26b76db013b	260	174270
4	50cdb857-a262-0ae5-bf5b-5c93c8025b69	222	158741
4	062c57d2-0c3c-05ac-8df4-d322cd8da1aa	8	8
4	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	223	180051
4	f92bb572-e2d4-0d53-b732-5342265bca62	218	122
4	legs	49245:b414796d 49246:fdab37dd 49247:95839ad0 49248:f1012467 49249:ac40965a 49250:50cdb857 49252:2c4ae7a5 49253:f92bb572	-
5	b414796d-14fc-080e-9ce6-a7162e3e562b	17501	20557361
5	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	4148	16183101
5	95839ad0-b588-0b1d-8475-45fba6ae993c	421	447670
5	f1012467-de9d-09a9-8b49-62a43945c24b	2157	14513891
5	ac40965a-bc99-01e4-a2c9-c26b76db013b	223	173246
5	50cdb857-a262-0ae5-bf5b-5c93c8025b69	246	159064
5	062c57d2-0c3c-05ac-8df4-d322cd8da1aa	0	0
5	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	220	180092
