# row	tp	sent_delta	recv_delta
1	b414796d-14fc-080e-9ce6-a7162e3e562b	462	10030125
2	b414796d-14fc-080e-9ce6-a7162e3e562b	578	10030253
3	b414796d-14fc-080e-9ce6-a7162e3e562b	2907	10032201
4	b414796d-14fc-080e-9ce6-a7162e3e562b	10029969	786
5	b414796d-14fc-080e-9ce6-a7162e3e562b	10030791	894
6	b414796d-14fc-080e-9ce6-a7162e3e562b	10030737	786
7	b414796d-14fc-080e-9ce6-a7162e3e562b	840	50147311
8	b414796d-14fc-080e-9ce6-a7162e3e562b	1324	50219976
9	b414796d-14fc-080e-9ce6-a7162e3e562b	17351	50157813
10	b414796d-14fc-080e-9ce6-a7162e3e562b	50151893	6183
11	b414796d-14fc-080e-9ce6-a7162e3e562b	50161139	77343
12	b414796d-14fc-080e-9ce6-a7162e3e562b	50149213	69486
