# mux-standby-32 — per-row leg shares, forward = client->exit, reverse = exit->client
# note	sent_delta was not a number on 2 carrier line(s); those legs read 0 forward
# note	recv_delta was not a number on 2 carrier line(s); those legs read 0 reverse
# note	carrier.tsv counts a TRANSPORT, not a route group: a transport another group or app also rides counts that traffic here too
# note	latency_ms is the end-of-set legs.json snapshot, not the latency measured on the row
# note	shares and verdicts are computed over the legs that carried the payload: every leg of an ACTIVE group, plus any leg holding >= 1 % of the payload-direction bytes of the row (a mid-set promotion the set-start role does not yet show); the rest are listed with their bytes and a "-" share
# note	some legs are in scope on bytes alone: their group reads "standby" in the set-start legs.json but they carried >= 1 % of the payload of a row
# note	rev_bytes/rev_share on 19 row(s) are the EXIT's OWN per-leg sent_bytes deltas (rev_basis exit-sent) — the reverse direction measured at the SENDING end
# note	rev_bytes/rev_share on 1 row(s) are the local recv_delta (rev_basis local-recv): the exit's sent_bytes needs a per-row EXIT_SNAP run against an exit that reports the per-leg byte counters, and either the snapshots or the counters were absent
# row	label	dir	size	leg	rg	role	scope	hops	carrier	latency_ms	remote_pk	fwd_bytes	rev_bytes	fwd_share	rev_share	rev_basis	exit_tp	exit_standby	exit_retx	exit_ack_ms	exit_sent_bytes	exit_recv_bytes
1	mux-standby-32-t1	down	10000000	b414796d	49275,49285,49286,49287,49288,49289,49290,49291,49292,49293,49294,49295,49296,49297,49298,49299,49300,49301,49302,49303,49304,49305,49306	active	in	b414796d>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	142.427	022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	3575	3180936	62.1%	31.7%	local-recv	b414796d	no	0	382.05	480	480
1	mux-standby-32-t1	down	10000000	f1012467	49276	active	in	f1012467>0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb;57c570d9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	135.437	0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb	1103	3684965	19.2%	36.7%	local-recv	57c570d9	no	1	231.6	3886809	2114
1	mux-standby-32-t1	down	10000000	bac92dd4	49277	standby	out	bac92dd4>02db6d6f87e5d6382c827c066514195dfed31f61f07a295caa1b8f4364826921be;11b37300>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	153.208	02db6d6f87e5d6382c827c066514195dfed31f61f07a295caa1b8f4364826921be	114	114	-	-	local-recv	11b37300	no	1	258.58	544	512
1	mux-standby-32-t1	down	10000000	df4c1852	49278	standby	out	df4c1852>035f532aed88e89cb8822a31b71d83a14f63fabd6389e537c2426fe84031c60825;f148d779>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	151.237	035f532aed88e89cb8822a31b71d83a14f63fabd6389e537c2426fe84031c60825	69	69	-	-	local-recv	f148d779	no	1	258.79	544	512
1	mux-standby-32-t1	down	10000000	bd6baec7	49279	standby	out	bd6baec7>02090aec59b40207d8662c82e4ecfc524b740c27f2fb98cfb5582833a66bdcb797;cab03f16>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	150.131	02090aec59b40207d8662c82e4ecfc524b740c27f2fb98cfb5582833a66bdcb797	106	106	-	-	local-recv	cab03f16	no	1	258.48	544	512
1	mux-standby-32-t1	down	10000000	eaddf8ac	49280	standby	out	eaddf8ac>028ce3caf8a1ed3b650b7139aeb854351518149af709cf28fe9bd6376cb3403626;4112d695>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	151.52	028ce3caf8a1ed3b650b7139aeb854351518149af709cf28fe9bd6376cb3403626	69	69	-	-	local-recv	4112d695	no	1	258.86	544	512
1	mux-standby-32-t1	down	10000000	57787a56	49281	standby	in	57787a56>039a6d1e3c237f5f05b78ec19e9f31a007f84835d7ef1e812876102281d1db74c1;505b10aa>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	137.032	039a6d1e3c237f5f05b78ec19e9f31a007f84835d7ef1e812876102281d1db74c1	1081	3167618	18.8%	31.6%	local-recv	505b10aa	no	1	238.67	3369408	2028
1	mux-standby-32-t1	down	10000000	fdab37dd	49282	standby	out	fdab37dd>03f57e7cf26c0764c5ab659a606add056ddf8bfad4f5bc7e8613cad05e5f228adf;7420f415>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	165.418	03f57e7cf26c0764c5ab659a606add056ddf8bfad4f5bc7e8613cad05e5f228adf	69	69	-	-	local-recv	7420f415	no	1	255.61	544	512
1	mux-standby-32-t1	down	10000000	bf9b0de8	49283	standby	out	bf9b0de8>026a913078651938783e19416a2de99c924df209e28512da2a571868c989bf3822;c2793bef>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	156.213	026a913078651938783e19416a2de99c924df209e28512da2a571868c989bf3822	69	69	-	-	local-recv	c2793bef	no	1	259.15	544	512
1	mux-standby-32-t1	down	10000000	c3814fa0	49284	standby	out	c3814fa0>0389c4be4cf7feff79eaecc050b45e038fe026f1a06bc5860e32a9605cabc81d8f;af3b516d>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	152.689	0389c4be4cf7feff79eaecc050b45e038fe026f1a06bc5860e32a9605cabc81d8f	69	69	-	-	local-recv	af3b516d	no	2	251.9	576	544
