# row	tp	sent_delta	recv_delta
1	95839ad0-b588-0b1d-8475-45fba6ae993c	735	10016495
1	f1012467-de9d-09a9-8b49-62a43945c24b	1	1
1	legs	49205:95839ad0,f1012467	-
2	95839ad0-b588-0b1d-8475-45fba6ae993c	495	10035404
2	f1012467-de9d-09a9-8b49-62a43945c24b	1	0
2	legs	49205:95839ad0,f1012467	-
3	95839ad0-b588-0b1d-8475-45fba6ae993c	465	10016394
3	f1012467-de9d-09a9-8b49-62a43945c24b	1	0
3	legs	49205:95839ad0,f1012467	-
4	95839ad0-b588-0b1d-8475-45fba6ae993c	515	10016491
4	f1012467-de9d-09a9-8b49-62a43945c24b	0	0
4	legs	49205:95839ad0,f1012467	-
5	95839ad0-b588-0b1d-8475-45fba6ae993c	524	10016478
5	f1012467-de9d-09a9-8b49-62a43945c24b	1	0
5	legs	49205:95839ad0,f1012467	-
6	95839ad0-b588-0b1d-8475-45fba6ae993c	10016887	726
6	f1012467-de9d-09a9-8b49-62a43945c24b	9	25
6	legs	49205:95839ad0,f1012467	-
7	95839ad0-b588-0b1d-8475-45fba6ae993c	10016878	70314
7	f1012467-de9d-09a9-8b49-62a43945c24b	0	0
7	legs	49205:95839ad0,f1012467	-
8	95839ad0-b588-0b1d-8475-45fba6ae993c	10016371	668
8	f1012467-de9d-09a9-8b49-62a43945c24b	0	0
8	legs	49205:95839ad0,f1012467	-
9	95839ad0-b588-0b1d-8475-45fba6ae993c	1575	50537213
9	f1012467-de9d-09a9-8b49-62a43945c24b	2	3
9	legs	49205:95839ad0,f1012467	-
10	95839ad0-b588-0b1d-8475-45fba6ae993c	1418	50531879
10	f1012467-de9d-09a9-8b49-62a43945c24b	18	35
10	legs	49205:95839ad0,f1012467	-
11	95839ad0-b588-0b1d-8475-45fba6ae993c	1142	50080254
11	f1012467-de9d-09a9-8b49-62a43945c24b	1	0
11	legs	49205:95839ad0,f1012467	-
12	95839ad0-b588-0b1d-8475-45fba6ae993c	1209	50080197
12	f1012467-de9d-09a9-8b49-62a43945c24b	18	0
12	legs	49205:95839ad0,f1012467	-
13	95839ad0-b588-0b1d-8475-45fba6ae993c	1468	50101571
13	f1012467-de9d-09a9-8b49-62a43945c24b	18	28
13	legs	49205:95839ad0,f1012467	-
14	95839ad0-b588-0b1d-8475-45fba6ae993c	50080028	449781
14	f1012467-de9d-09a9-8b49-62a43945c24b	1	1
14	legs	49205:95839ad0,f1012467	-
15	95839ad0-b588-0b1d-8475-45fba6ae993c	50082512	1099
15	f1012467-de9d-09a9-8b49-62a43945c24b	9	9
15	legs	49205:95839ad0,f1012467	-
16	95839ad0-b588-0b1d-8475-45fba6ae993c	50082575	1086
16	f1012467-de9d-09a9-8b49-62a43945c24b	17	17
16	legs	49205:95839ad0,f1012467	-
# rg src_port before=49205 after=49205 constant
