# row	tp	sent_delta	recv_delta
1	afa66373-ac3e-008f-9820-bd68b46268b8	151	151
1	b414796d-14fc-080e-9ce6-a7162e3e562b	6461	3623170
1	b71ddf99-3454-0def-8e91-03c47857d1a8	159	159
1	bd6baec7-62f1-07b1-b830-6d5c61f243f9	151	151
1	bf9b0de8-37e1-09ba-b743-0c529ae98372	151	151
1	d607cd5d-2198-0713-8655-17f9d39034b4	1180	3167569
1	df4c1852-1fca-048d-af5f-0787758e0d63	220	220
1	f1012467-de9d-09a9-8b49-62a43945c24b	1084	4108407
1	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	259	153109
1	legs	49200:b414796d 49201:f1012467 49202:afa66373 49203:df4c1852 49204:fdab37dd 49206:b71ddf99 49207:bd6baec7 49208:d607cd5d 49209:bf9b0de8 49210:b414796d 49211:b414796d 49212:b414796d 49213:b414796d 49214:b414796d 49215:b414796d 49216:b414796d 49217:b414796d 49218:b414796d 49219:b414796d 49220:b414796d 49221:b414796d 49222:b414796d 49223:b414796d 49224:b414796d 49225:b414796d 49226:b414796d 49227:b414796d 49228:b414796d 49229:b414796d 49230:b414796d 49231:b414796d 49232:b414796d	-
2	afa66373-ac3e-008f-9820-bd68b46268b8	146	114
2	b414796d-14fc-080e-9ce6-a7162e3e562b	5806	5199541
2	b71ddf99-3454-0def-8e91-03c47857d1a8	212	175
2	bd6baec7-62f1-07b1-b830-6d5c61f243f9	220	183
2	bf9b0de8-37e1-09ba-b743-0c529ae98372	212	175
2	d607cd5d-2198-0713-8655-17f9d39034b4	574	2101151
2	df4c1852-1fca-048d-af5f-0787758e0d63	151	114
2	f1012467-de9d-09a9-8b49-62a43945c24b	1120	3615443
2	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	283	153112
2	legs	49200:b414796d 49201:f1012467 49202:afa66373 49203:df4c1852 49204:fdab37dd 49206:b71ddf99 49207:bd6baec7 49208:d607cd5d 49209:bf9b0de8 49210:b414796d 49211:b414796d 49212:b414796d 49213:b414796d 49214:b414796d 49215:b414796d 49216:b414796d 49217:b414796d 49218:b414796d 49219:b414796d 49220:b414796d 49221:b414796d 49222:b414796d 49223:b414796d 49224:b414796d 49225:b414796d 49226:b414796d 49227:b414796d 49228:b414796d 49229:b414796d 49230:b414796d 49231:b414796d 49232:b414796d	-
3	afa66373-ac3e-008f-9820-bd68b46268b8	114	114
3	b414796d-14fc-080e-9ce6-a7162e3e562b	5800	5235919
3	b71ddf99-3454-0def-8e91-03c47857d1a8	122	122
3	bd6baec7-62f1-07b1-b830-6d5c61f243f9	114	114
3	bf9b0de8-37e1-09ba-b743-0c529ae98372	146	114
3	d607cd5d-2198-0713-8655-17f9d39034b4	924	3167512
3	df4c1852-1fca-048d-af5f-0787758e0d63	82	82
3	f1012467-de9d-09a9-8b49-62a43945c24b	784	2536044
3	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	153	154966
3	legs	49200:b414796d 49201:f1012467 49202:afa66373 49203:df4c1852 49204:fdab37dd 49206:b71ddf99 49207:bd6baec7 49208:d607cd5d 49209:bf9b0de8 49210:b414796d 49211:b414796d 49212:b414796d 49213:b414796d 49214:b414796d 49215:b414796d 49216:b414796d 49217:b414796d 49218:b414796d 49219:b414796d 49220:b414796d 49221:b414796d 49222:b414796d 49223:b414796d 49224:b414796d 49225:b414796d 49226:b414796d 49227:b414796d 49228:b414796d 49229:b414796d 49230:b414796d 49231:b414796d 49232:b414796d	-
4	afa66373-ac3e-008f-9820-bd68b46268b8	119	119
4	b414796d-14fc-080e-9ce6-a7162e3e562b	4525	4754413
4	b71ddf99-3454-0def-8e91-03c47857d1a8	106	122
4	bd6baec7-62f1-07b1-b830-6d5c61f243f9	106	106
4	bf9b0de8-37e1-09ba-b743-0c529ae98372	114	114
4	d607cd5d-2198-0713-8655-17f9d39034b4	879	3167519
4	df4c1852-1fca-048d-af5f-0787758e0d63	106	106
4	f1012467-de9d-09a9-8b49-62a43945c24b	745	2107117
4	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	151	151
4	legs	49200:b414796d 49201:f1012467 49202:afa66373 49203:df4c1852 49204:fdab37dd 49206:b71ddf99 49207:bd6baec7 49208:d607cd5d 49209:bf9b0de8 49210:b414796d 49211:b414796d 49212:b414796d 49213:b414796d 49214:b414796d 49215:b414796d 49216:b414796d 49217:b414796d 49218:b414796d 49219:b414796d 49220:b414796d 49221:b414796d 49222:b414796d 49223:b414796d 49224:b414796d 49225:b414796d 49226:b414796d 49227:b414796d 49228:b414796d 49229:b414796d 49230:b414796d 49231:b414796d 49232:b414796d	-
5	afa66373-ac3e-008f-9820-bd68b46268b8	175	159
5	b414796d-14fc-080e-9ce6-a7162e3e562b	6995	4789701
5	b71ddf99-3454-0def-8e91-03c47857d1a8	175	175
5	bd6baec7-62f1-07b1-b830-6d5c61f243f9	175	175
5	bf9b0de8-37e1-09ba-b743-0c529ae98372	175	175
5	d607cd5d-2198-0713-8655-17f9d39034b4	887	3167525
5	df4c1852-1fca-048d-af5f-0787758e0d63	106	106
5	f1012467-de9d-09a9-8b49-62a43945c24b	562	2114397
5	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	106	106
5	legs	49200:b414796d 49201:f1012467 49202:afa66373 49203:df4c1852 49204:fdab37dd 49206:b71ddf99 49207:bd6baec7 49208:d607cd5d 49209:bf9b0de8 49210:b414796d 49211:b414796d 49212:b414796d 49213:b414796d 49214:b414796d 49215:b414796d 49216:b414796d 49217:b414796d 49218:b414796d 49219:b414796d 49220:b414796d 49221:b414796d 49222:b414796d 49223:b414796d 49224:b414796d 49225:b414796d 49226:b414796d 49227:b414796d 49228:b414796d 49229:b414796d 49230:b414796d 49231:b414796d 49232:b414796d	-
6	afa66373-ac3e-008f-9820-bd68b46268b8	151	151
6	b414796d-14fc-080e-9ce6-a7162e3e562b	2917372	459073
6	b71ddf99-3454-0def-8e91-03c47857d1a8	151	151
6	bd6baec7-62f1-07b1-b830-6d5c61f243f9	111	111
6	bf9b0de8-37e1-09ba-b743-0c529ae98372	138	138
6	d607cd5d-2198-0713-8655-17f9d39034b4	4289407	1948
6	df4c1852-1fca-048d-af5f-0787758e0d63	175	175
6	f1012467-de9d-09a9-8b49-62a43945c24b	2859823	222116
6	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	175	175
6	legs	49200:b414796d 49201:f1012467 49202:afa66373 49203:df4c1852 49204:fdab37dd 49206:b71ddf99 49207:bd6baec7 49208:d607cd5d 49209:bf9b0de8 49210:b414796d 49211:b414796d 49212:b414796d 49213:b414796d 49214:b414796d 49215:b414796d 49216:b414796d 49217:b414796d 49218:b414796d 49219:b414796d 49220:b414796d 49221:b414796d 49222:b414796d 49223:b414796d 49224:b414796d 49225:b414796d 49226:b414796d 49227:b414796d 49228:b414796d 49229:b414796d 49230:b414796d 49231:b414796d 49232:b414796d	-
7	afa66373-ac3e-008f-9820-bd68b46268b8	77	77
7	b414796d-14fc-080e-9ce6-a7162e3e562b	2861313	2938
7	b71ddf99-3454-0def-8e91-03c47857d1a8	101	101
7	bd6baec7-62f1-07b1-b830-6d5c61f243f9	106	106
7	bf9b0de8-37e1-09ba-b743-0c529ae98372	106	106
7	d607cd5d-2198-0713-8655-17f9d39034b4	2859749	1562
7	df4c1852-1fca-048d-af5f-0787758e0d63	114	114
7	f1012467-de9d-09a9-8b49-62a43945c24b	4289424	422505
7	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	121	158950
7	legs	49200:b414796d 49201:f1012467 49202:afa66373 49203:df4c1852 49204:fdab37dd 49206:b71ddf99 49207:bd6baec7 49208:d607cd5d 49209:bf9b0de8 49210:b414796d 49211:b414796d 49212:b414796d 49213:b414796d 49214:b414796d 49215:b414796d 49216:b414796d 49217:b414796d 49218:b414796d 49219:b414796d 49220:b414796d 49221:b414796d 49222:b414796d 49223:b414796d 49224:b414796d 49225:b414796d 49226:b414796d 49227:b414796d 49228:b414796d 49229:b414796d 49230:b414796d 49231:b414796d 49232:b414796d	-
8	afa66373-ac3e-008f-9820-bd68b46268b8	106	106
8	b414796d-14fc-080e-9ce6-a7162e3e562b	2862119	3734
8	b71ddf99-3454-0def-8e91-03c47857d1a8	138	138
8	bd6baec7-62f1-07b1-b830-6d5c61f243f9	138	138
8	bf9b0de8-37e1-09ba-b743-0c529ae98372	69	69
8	d607cd5d-2198-0713-8655-17f9d39034b4	2859617	1375
8	df4c1852-1fca-048d-af5f-0787758e0d63	106	106
8	f1012467-de9d-09a9-8b49-62a43945c24b	4289451	1848
8	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	106	106
8	legs	49200:b414796d 49201:f1012467 49202:afa66373 49203:df4c1852 49204:fdab37dd 49206:b71ddf99 49207:bd6baec7 49208:d607cd5d 49209:bf9b0de8 49210:b414796d 49211:b414796d 49212:b414796d 49213:b414796d 49214:b414796d 49215:b414796d 49216:b414796d 49217:b414796d 49218:b414796d 49219:b414796d 49220:b414796d 49221:b414796d 49222:b414796d 49223:b414796d 49224:b414796d 49225:b414796d 49226:b414796d 49227:b414796d 49228:b414796d 49229:b414796d 49230:b414796d 49231:b414796d 49232:b414796d	-
9	afa66373-ac3e-008f-9820-bd68b46268b8	151	151
9	b414796d-14fc-080e-9ce6-a7162e3e562b	3099595	466201
9	b71ddf99-3454-0def-8e91-03c47857d1a8	151	151
9	bd6baec7-62f1-07b1-b830-6d5c61f243f9	111	143
9	bf9b0de8-37e1-09ba-b743-0c529ae98372	106	106
9	d607cd5d-2198-0713-8655-17f9d39034b4	2859609	1219
9	df4c1852-1fca-048d-af5f-0787758e0d63	106	106
9	f1012467-de9d-09a9-8b49-62a43945c24b	4289552	353781
9	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	143	143
9	legs	49200:b414796d 49201:f1012467 49202:afa66373 49203:df4c1852 49204:fdab37dd 49206:b71ddf99 49207:bd6baec7 49208:d607cd5d 49209:bf9b0de8 49210:b414796d 49211:b414796d 49212:b414796d 49213:b414796d 49214:b414796d 49215:b414796d 49216:b414796d 49217:b414796d 49218:b414796d 49219:b414796d 49220:b414796d 49221:b414796d 49222:b414796d 49223:b414796d 49224:b414796d 49225:b414796d 49226:b414796d 49227:b414796d 49228:b414796d 49229:b414796d 49230:b414796d 49231:b414796d 49232:b414796d	-
10	afa66373-ac3e-008f-9820-bd68b46268b8	146	146
10	b414796d-14fc-080e-9ce6-a7162e3e562b	2861592	3084
10	b71ddf99-3454-0def-8e91-03c47857d1a8	69	69
10	bd6baec7-62f1-07b1-b830-6d5c61f243f9	69	69
10	bf9b0de8-37e1-09ba-b743-0c529ae98372	69	69
10	d607cd5d-2198-0713-8655-17f9d39034b4	4289311	1845
10	df4c1852-1fca-048d-af5f-0787758e0d63	101	69
10	f1012467-de9d-09a9-8b49-62a43945c24b	2859762	1354
10	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	114	114
10	legs	49200:b414796d 49201:f1012467 49202:afa66373 49203:df4c1852 49204:fdab37dd 49206:b71ddf99 49207:bd6baec7 49208:d607cd5d 49209:bf9b0de8 49210:b414796d 49211:b414796d 49212:b414796d 49213:b414796d 49214:b414796d 49215:b414796d 49216:b414796d 49217:b414796d 49218:b414796d 49219:b414796d 49220:b414796d 49221:b414796d 49222:b414796d 49223:b414796d 49224:b414796d 49225:b414796d 49226:b414796d 49227:b414796d 49228:b414796d 49229:b414796d 49230:b414796d 49231:b414796d 49232:b414796d	-
11	afa66373-ac3e-008f-9820-bd68b46268b8	694	694
11	b414796d-14fc-080e-9ce6-a7162e3e562b	132197	21191402
11	b71ddf99-3454-0def-8e91-03c47857d1a8	689	689
11	bd6baec7-62f1-07b1-b830-6d5c61f243f9	689	689
11	bf9b0de8-37e1-09ba-b743-0c529ae98372	689	689
11	d607cd5d-2198-0713-8655-17f9d39034b4	1970	11997565
11	df4c1852-1fca-048d-af5f-0787758e0d63	689	689
11	f1012467-de9d-09a9-8b49-62a43945c24b	1860	18097260
11	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	863	318429
11	legs	49200:b414796d 49202:afa66373 49203:df4c1852 49204:fdab37dd 49206:b71ddf99 49207:bd6baec7 49208:d607cd5d 49209:bf9b0de8 49210:b414796d 49211:b414796d 49212:b414796d 49213:b414796d 49214:b414796d 49215:b414796d 49216:b414796d 49217:b414796d 49219:b414796d 49220:b414796d 49221:b414796d 49222:b414796d 49223:b414796d 49224:b414796d 49225:b414796d 49226:b414796d 49228:b414796d 49229:b414796d 49230:b414796d 49231:b414796d 49232:b414796d 49237:336d3a3e 49239:fc2eaf78 49240:7c80edb8	-
12	afa66373-ac3e-008f-9820-bd68b46268b8	605	615
12	b414796d-14fc-080e-9ce6-a7162e3e562b	16794	8516606
12	b71ddf99-3454-0def-8e91-03c47857d1a8	615	615
12	bd6baec7-62f1-07b1-b830-6d5c61f243f9	639	639
12	bf9b0de8-37e1-09ba-b743-0c529ae98372	652	652
12	d607cd5d-2198-0713-8655-17f9d39034b4	3481	22129064
12	df4c1852-1fca-048d-af5f-0787758e0d63	2469	19996394
12	f1012467-de9d-09a9-8b49-62a43945c24b	16	21
12	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	725	161714
12	legs	49200:b414796d 49202:afa66373 49203:df4c1852 49204:fdab37dd 49206:b71ddf99 49207:bd6baec7 49208:d607cd5d 49209:bf9b0de8 49210:b414796d 49211:b414796d 49212:b414796d 49213:b414796d 49214:b414796d 49215:b414796d 49216:b414796d 49217:b414796d 49219:b414796d 49220:b414796d 49221:b414796d 49222:b414796d 49223:b414796d 49224:b414796d 49225:b414796d 49226:b414796d 49228:b414796d 49229:b414796d 49230:b414796d 49231:b414796d 49232:b414796d 49237:336d3a3e 49239:fc2eaf78 49240:7c80edb8	-
13	afa66373-ac3e-008f-9820-bd68b46268b8	220	236
13	b414796d-14fc-080e-9ce6-a7162e3e562b	9698	12511815
13	b71ddf99-3454-0def-8e91-03c47857d1a8	265	265
13	bd6baec7-62f1-07b1-b830-6d5c61f243f9	289	289
13	bf9b0de8-37e1-09ba-b743-0c529ae98372	289	289
13	d607cd5d-2198-0713-8655-17f9d39034b4	2572	16172171
13	df4c1852-1fca-048d-af5f-0787758e0d63	2526	22097490
13	f1012467-de9d-09a9-8b49-62a43945c24b	8	8
13	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	360	156887
13	legs	49200:b414796d 49202:afa66373 49203:df4c1852 49204:fdab37dd 49206:b71ddf99 49207:bd6baec7 49208:d607cd5d 49209:bf9b0de8 49210:b414796d 49211:b414796d 49212:b414796d 49213:b414796d 49214:b414796d 49215:b414796d 49216:b414796d 49217:b414796d 49219:b414796d 49220:b414796d 49221:b414796d 49222:b414796d 49223:b414796d 49224:b414796d 49225:b414796d 49226:b414796d 49228:b414796d 49229:b414796d 49230:b414796d 49231:b414796d 49232:b414796d 49237:336d3a3e 49239:fc2eaf78 49240:7c80edb8	-
14	afa66373-ac3e-008f-9820-bd68b46268b8	175	175
14	b414796d-14fc-080e-9ce6-a7162e3e562b	5971	12001085
14	b71ddf99-3454-0def-8e91-03c47857d1a8	175	175
14	bd6baec7-62f1-07b1-b830-6d5c61f243f9	175	175
14	bf9b0de8-37e1-09ba-b743-0c529ae98372	175	175
14	d607cd5d-2198-0713-8655-17f9d39034b4	2035	16019322
14	df4c1852-1fca-048d-af5f-0787758e0d63	2324	22097219
14	f1012467-de9d-09a9-8b49-62a43945c24b	0	0
14	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	175	175
14	legs	49200:b414796d 49202:afa66373 49203:df4c1852 49204:fdab37dd 49206:b71ddf99 49207:bd6baec7 49208:d607cd5d 49209:bf9b0de8 49210:b414796d 49211:b414796d 49212:b414796d 49213:b414796d 49214:b414796d 49215:b414796d 49216:b414796d 49217:b414796d 49219:b414796d 49220:b414796d 49221:b414796d 49222:b414796d 49223:b414796d 49224:b414796d 49225:b414796d 49226:b414796d 49228:b414796d 49229:b414796d 49230:b414796d 49231:b414796d 49232:b414796d 49237:336d3a3e 49239:fc2eaf78 49240:7c80edb8	-
15	afa66373-ac3e-008f-9820-bd68b46268b8	183	183
15	b414796d-14fc-080e-9ce6-a7162e3e562b	6838	10136857
15	b71ddf99-3454-0def-8e91-03c47857d1a8	239	239
15	bd6baec7-62f1-07b1-b830-6d5c61f243f9	244	244
15	bf9b0de8-37e1-09ba-b743-0c529ae98372	183	183
15	d607cd5d-2198-0713-8655-17f9d39034b4	2481	19995061
15	df4c1852-1fca-048d-af5f-0787758e0d63	2258	20053875
15	f1012467-de9d-09a9-8b49-62a43945c24b	8	8
15	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	183	183
15	legs	49200:b414796d 49202:afa66373 49203:df4c1852 49204:fdab37dd 49206:b71ddf99 49207:bd6baec7 49208:d607cd5d 49209:bf9b0de8 49210:b414796d 49211:b414796d 49212:b414796d 49213:b414796d 49214:b414796d 49215:b414796d 49216:b414796d 49217:b414796d 49219:b414796d 49220:b414796d 49221:b414796d 49222:b414796d 49223:b414796d 49224:b414796d 49225:b414796d 49226:b414796d 49228:b414796d 49229:b414796d 49230:b414796d 49231:b414796d 49232:b414796d 49237:336d3a3e 49239:fc2eaf78 49240:7c80edb8	-
16	afa66373-ac3e-008f-9820-bd68b46268b8	180	180
16	b414796d-14fc-080e-9ce6-a7162e3e562b	20851744	8651
16	b71ddf99-3454-0def-8e91-03c47857d1a8	180	180
16	bd6baec7-62f1-07b1-b830-6d5c61f243f9	180	180
16	bf9b0de8-37e1-09ba-b743-0c529ae98372	180	180
16	d607cd5d-2198-0713-8655-17f9d39034b4	16677012	2608
16	df4c1852-1fca-048d-af5f-0787758e0d63	12507947	2270
16	f1012467-de9d-09a9-8b49-62a43945c24b	0	0
16	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	180	180
16	legs	49200:b414796d 49202:afa66373 49203:df4c1852 49204:fdab37dd 49206:b71ddf99 49207:bd6baec7 49208:d607cd5d 49209:bf9b0de8 49210:b414796d 49211:b414796d 49212:b414796d 49213:b414796d 49214:b414796d 49215:b414796d 49216:b414796d 49217:b414796d 49219:b414796d 49220:b414796d 49221:b414796d 49222:b414796d 49223:b414796d 49224:b414796d 49225:b414796d 49226:b414796d 49228:b414796d 49229:b414796d 49230:b414796d 49231:b414796d 49232:b414796d 49237:336d3a3e 49239:fc2eaf78 49240:7c80edb8	-
17	afa66373-ac3e-008f-9820-bd68b46268b8	138	106
17	b414796d-14fc-080e-9ce6-a7162e3e562b	20849638	6403
17	b71ddf99-3454-0def-8e91-03c47857d1a8	175	175
17	bd6baec7-62f1-07b1-b830-6d5c61f243f9	175	175
17	bf9b0de8-37e1-09ba-b743-0c529ae98372	183	183
17	d607cd5d-2198-0713-8655-17f9d39034b4	12507786	1988
17	df4c1852-1fca-048d-af5f-0787758e0d63	16677153	2844
17	f1012467-de9d-09a9-8b49-62a43945c24b	0	0
17	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	106	106
17	legs	49200:b414796d 49202:afa66373 49203:df4c1852 49204:fdab37dd 49206:b71ddf99 49207:bd6baec7 49208:d607cd5d 49209:bf9b0de8 49210:b414796d 49211:b414796d 49212:b414796d 49213:b414796d 49214:b414796d 49215:b414796d 49216:b414796d 49217:b414796d 49219:b414796d 49220:b414796d 49221:b414796d 49222:b414796d 49223:b414796d 49224:b414796d 49225:b414796d 49226:b414796d 49228:b414796d 49229:b414796d 49230:b414796d 49231:b414796d 49232:b414796d 49237:336d3a3e 49239:fc2eaf78 49240:7c80edb8	-
18	afa66373-ac3e-008f-9820-bd68b46268b8	106	106
18	b414796d-14fc-080e-9ce6-a7162e3e562b	20848461	5290
18	b71ddf99-3454-0def-8e91-03c47857d1a8	106	106
18	bd6baec7-62f1-07b1-b830-6d5c61f243f9	114	114
18	bf9b0de8-37e1-09ba-b743-0c529ae98372	106	106
18	d607cd5d-2198-0713-8655-17f9d39034b4	12507849	2190
18	df4c1852-1fca-048d-af5f-0787758e0d63	16676943	2411
18	f1012467-de9d-09a9-8b49-62a43945c24b	0	0
18	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	106	106
18	legs	49200:b414796d 49202:afa66373 49203:df4c1852 49204:fdab37dd 49206:b71ddf99 49207:bd6baec7 49208:d607cd5d 49209:bf9b0de8 49210:b414796d 49211:b414796d 49212:b414796d 49213:b414796d 49214:b414796d 49215:b414796d 49216:b414796d 49217:b414796d 49219:b414796d 49220:b414796d 49221:b414796d 49222:b414796d 49223:b414796d 49224:b414796d 49225:b414796d 49226:b414796d 49228:b414796d 49229:b414796d 49230:b414796d 49231:b414796d 49232:b414796d 49237:336d3a3e 49239:fc2eaf78 49240:7c80edb8	-
19	afa66373-ac3e-008f-9820-bd68b46268b8	220	220
19	b414796d-14fc-080e-9ce6-a7162e3e562b	16747913	484039
19	b71ddf99-3454-0def-8e91-03c47857d1a8	228	228
19	bd6baec7-62f1-07b1-b830-6d5c61f243f9	220	220
19	bf9b0de8-37e1-09ba-b743-0c529ae98372	156	220
19	d607cd5d-2198-0713-8655-17f9d39034b4	12507913	2231
19	df4c1852-1fca-048d-af5f-0787758e0d63	20846180	2866
19	f1012467-de9d-09a9-8b49-62a43945c24b	79	420409
19	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	222	155647
19	legs	49200:b414796d 49202:afa66373 49203:df4c1852 49204:fdab37dd 49206:b71ddf99 49207:bd6baec7 49208:d607cd5d 49209:bf9b0de8 49210:b414796d 49211:b414796d 49212:b414796d 49213:b414796d 49214:b414796d 49215:b414796d 49216:b414796d 49217:b414796d 49219:b414796d 49220:b414796d 49221:b414796d 49222:b414796d 49223:b414796d 49224:b414796d 49225:b414796d 49226:b414796d 49228:b414796d 49229:b414796d 49230:b414796d 49231:b414796d 49232:b414796d 49237:336d3a3e 49239:fc2eaf78 49240:7c80edb8	-
20	afa66373-ac3e-008f-9820-bd68b46268b8	114	114
20	b414796d-14fc-080e-9ce6-a7162e3e562b	16680380	485126
20	b71ddf99-3454-0def-8e91-03c47857d1a8	106	106
20	bd6baec7-62f1-07b1-b830-6d5c61f243f9	106	106
20	bf9b0de8-37e1-09ba-b743-0c529ae98372	106	106
20	d607cd5d-2198-0713-8655-17f9d39034b4	12507895	2239
20	df4c1852-1fca-048d-af5f-0787758e0d63	20846115	2870
20	f1012467-de9d-09a9-8b49-62a43945c24b	71	420049
20	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	153	155577
20	legs	49200:b414796d 49202:afa66373 49203:df4c1852 49204:fdab37dd 49206:b71ddf99 49207:bd6baec7 49208:d607cd5d 49209:bf9b0de8 49210:b414796d 49211:b414796d 49212:b414796d 49213:b414796d 49214:b414796d 49215:b414796d 49216:b414796d 49217:b414796d 49219:b414796d 49220:b414796d 49221:b414796d 49222:b414796d 49223:b414796d 49224:b414796d 49225:b414796d 49226:b414796d 49228:b414796d 49229:b414796d 49230:b414796d 49231:b414796d 49232:b414796d 49237:336d3a3e 49239:fc2eaf78 49240:7c80edb8	-
# rg dst_ports settled=49200,49201,49202,49203,49204,49206,49207,49208,49209,49210,49211,49212,49213,49214,49215,49216,49217,49218,49219,49220,49221,49222,49223,49224,49225,49226,49227,49228,49229,49230,49231,49232 after_cut=49200,49202,49203,49204,49206,49207,49208,49209,49210,49211,49212,49213,49214,49215,49216,49217,49218,49219,49220,49221,49222,49223,49224,49225,49226,49227,49228,49229,49230,49231,49232,49237,49243 end=49200,49202,49203,49204,49206,49207,49208,49209,49210,49211,49212,49213,49214,49215,49216,49217,49219,49220,49221,49222,49223,49224,49225,49226,49228,49229,49230,49231,49232,49237,49239,49240
