# transports mux-tunnels-2 was measured over; first_seen_row 0 = held at set start
# tp	type	remote_pk	first_seen_row
b414796d-14fc-080e-9ce6-a7162e3e562b	stcpr	022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	0
95839ad0-b588-0b1d-8475-45fba6ae993c	stcpr	0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13	0
fdab37dd-c35e-05bc-9e51-cd6b024e3eec	stcpr	03f57e7cf26c0764c5ab659a606add056ddf8bfad4f5bc7e8613cad05e5f228adf	0
c7cd6a61-1247-093a-85e8-eac68f65e1ef	stcpr	032cff1d9701c64c8e5ee998873e6b2e5c80e148e06fad01e4f6223b6e74f1be5e	0
50cdb857-a262-0ae5-bf5b-5c93c8025b69	stcpr	0255117bf8d4687dacd5f7ac4c241f008060f1972911552a5b67b76f0e7922f5c7	0
fb936dd9-fea5-0583-b602-7c69cf0ff899	stcpr	0218e6e66fea9454c8e3aacf45b213560c2bf46e6615c3c70ea5ef08a3de8288ab	0
ac40965a-bc99-01e4-a2c9-c26b76db013b	stcpr	02c483938539bd7820f72e48ed6056bab68e221e1108d23965a2903221495e4af7	0
f1012467-de9d-09a9-8b49-62a43945c24b	stcpr	0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb	0
337672ba-7854-0ecc-94db-dc6c10734630	stcpr	029a5ebc690fed2bc6028be23b2463e123ad02ca56c3c054023525662c3b3df4b8	0
2e4640ff-4c1a-031e-84c8-822f6ec1675b	stcpr	03ba4b42e9e711c393da9ed10c78cf945b8acced616961ede743355f0a5076b0fe	0
69960a17-0b92-0898-9513-1a5a205c5879	sudph	0216c811bccbba1804f24c0530233daf37e9fd81677b7969b9dcf2c2a9b87ec6a2	0
e5f21ca4-61f5-093d-9a97-275a78a6126e	stcpr	02115db30f3c4625307295fa5afc1a4e60443a59b527e283579ea92cd35674e919	0
76903505-2ee1-06eb-9387-53bca222577a	sudph	02dba022ac63ef188b8c07faa7e80dbe056803bc87d7f9f6afdf67906b825d27df	0
