# mux-compose-T2xL2 — per-row leg shares, forward = client->exit, reverse = exit->client
# note	the exit snapshots only set start and end, so exit_standby/exit_retx/exit_ack are the set-end values repeated on every row, not per-row deltas
# note	carrier.tsv counts a TRANSPORT, not a route group: a transport another group or app also rides counts that traffic here too
# note	latency_ms is the end-of-set legs.json snapshot, not the latency measured on the row
# note	shares and verdicts are computed over the legs that carried the payload: every leg of an ACTIVE group, plus any leg holding >= 1 % of the payload-direction bytes of the row (a mid-set promotion the set-start role does not yet show); the rest are listed with their bytes and a "-" share
# note	some legs are in scope on bytes alone: their group reads "standby" in the set-start legs.json but they carried >= 1 % of the payload of a row
# note	rev_bytes/rev_share on 21 row(s) are the local recv_delta (rev_basis local-recv): the exit's sent_bytes needs a per-row EXIT_SNAP run against an exit that reports the per-leg byte counters, and either the snapshots or the counters were absent
# row	label	dir	size	leg	rg	role	scope	hops	carrier	latency_ms	remote_pk	fwd_bytes	rev_bytes	fwd_share	rev_share	rev_basis	exit_tp	exit_standby	exit_retx	exit_ack_ms	exit_sent_bytes	exit_recv_bytes
1	mux-compose-T2xL2-t1	down	10000000	95839ad0	49210,49222,49223,49226,49228,49229,49237,49243,49245,49247	active	in	95839ad0>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13;dc5330cf>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	57.518967	0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13	1726	7495768	7.5%	58.3%	local-recv	dc5330cf	no	18	240.82	9982694	2935
1	mux-compose-T2xL2-t1	down	10000000	f1012467	49210,49245	active	in	f1012467>0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb;57c570d9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	156.367891	0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb	91	1975028	0.4%	15.4%	local-recv	57c570d9	no	24	231.99	1624181	0
1	mux-compose-T2xL2-t1	down	10000000	ac40965a	49211	active	in	ac40965a>02c483938539bd7820f72e48ed6056bab68e221e1108d23965a2903221495e4af7;3de424e0>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	284.99225	02c483938539bd7820f72e48ed6056bab68e221e1108d23965a2903221495e4af7	240	176593	1.0%	1.4%	local-recv	3de424e0	no	0	548.5	103034	7434
1	mux-compose-T2xL2-t1	down	10000000	2c4ae7a5	49211	active	in	2c4ae7a5>02a2d4c346dabd165fd555dfdba4a7f4d18786fe7e055e562397cd5102bdd7f8dd;d0b47ec2>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	279.89015	02a2d4c346dabd165fd555dfdba4a7f4d18786fe7e055e562397cd5102bdd7f8dd	7590	8175	33.1%	0.1%	local-recv	d0b47ec2	no	11	0	103339	0
1	mux-compose-T2xL2-t1	down	10000000	77674aa7	49212	standby	out	77674aa7>0269fcc9891752f41850fd345affd7fb133522567f433658142fbefe1d6446d8cd;b7caa06d>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	224.529347	0269fcc9891752f41850fd345affd7fb133522567f433658142fbefe1d6446d8cd	202	170	-	-	local-recv	b7caa06d	no	3	288.2	7424	7392
1	mux-compose-T2xL2-t1	down	10000000	b6e61452	49212,49227	standby	out	b6e61452>02d92e70b9dd358112ebd266e641a6a928397edfda54c213f7b37dd5cd57eca17a;835a2121>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	69.899588	02d92e70b9dd358112ebd266e641a6a928397edfda54c213f7b37dd5cd57eca17a	18	52	-	-	local-recv	835a2121	yes	0	0	0	0
1	mux-compose-T2xL2-t1	down	10000000	37b0c730	49213	standby	out	37b0c730>03ade1da341f54ce1200036dbfb48be64574ba2d72a8cb99420b1935950802a673;272a1123>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	223.770941	03ade1da341f54ce1200036dbfb48be64574ba2d72a8cb99420b1935950802a673	199	199	-	-	local-recv	272a1123	no	3	254.16	7424	7392
1	mux-compose-T2xL2-t1	down	10000000	b250c046	49213	standby	out	b250c046>02956775f345d7328128678c0ced40a3e3e3f91bbf431ef886f41df31d93ee1661;3164901a>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	72.667214	02956775f345d7328128678c0ced40a3e3e3f91bbf431ef886f41df31d93ee1661	0	1	-	-	local-recv	3164901a	yes	0	0	0	0
1	mux-compose-T2xL2-t1	down	10000000	57787a56	49214	standby	out	57787a56>039a6d1e3c237f5f05b78ec19e9f31a007f84835d7ef1e812876102281d1db74c1;505b10aa>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	158.292674	039a6d1e3c237f5f05b78ec19e9f31a007f84835d7ef1e812876102281d1db74c1	270	15553	-	-	local-recv	505b10aa	no	5	219.33	7993	4176580
1	mux-compose-T2xL2-t1	down	10000000	35766599	49214	standby	out	35766599>03a4a29d19804bd98d9a8197a327d53d0d00865815ee7d0a320cd0da4250102cdb;a6830d6d>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	71.330033	03a4a29d19804bd98d9a8197a327d53d0d00865815ee7d0a320cd0da4250102cdb	32	35	-	-	local-recv	a6830d6d	yes	0	0	0	0
