# paired reference: 0371ab4b (0323272a60895f56aad82cb767fb5c413807adcf7c9fb0578b1b1c5807c7f29d4c>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13@95839ad0-b588-0b1d-8475-45fba6ae993c,0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1@dc5330cf-5d85-0b70-88e9-e4ab169d17fd) via skysocks-client-ref@127.0.0.1:1081 — one reference row of the same cell immediately before every mux row
# row	cell	ref_MBps	mux_MBps	ratio	ref_ok	mux_ok	ref_legs
1	10down	4.56	5.18	1.136	1	1	1
2	10down	5.32	0.86	0.162	1	1	1
3	10down	5.21	5.66	1.086	1	1	1
4	10down	5.29	6.03	1.140	1	1	1
5	10down	5.73	6.11	1.066	1	1	1
6	10up	2.22	4.47	2.014	1	1	1
7	10up	6.53	5.03	0.770	1	1	1
8	10up	7.03	5.11	0.727	1	1	1
9	50down	7.84	7.89	1.006	1	1	1
10	50down	7.66	7.34	0.958	1	1	1
11	50down	8.05	9.36	1.163	1	1	1
12	50down	8.48	9.84	1.160	1	1	1
13	50down	8.38	9.42	1.124	1	1	1
14	50up	9.82	8.87	0.903	1	1	1
15	50up	9.79	7.10	0.725	1	1	1
16	50up	5.44	1.89	0.347	1	1	1
