# paired reference: 0371ab4b (0323272a60895f56aad82cb767fb5c413807adcf7c9fb0578b1b1c5807c7f29d4c>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13@95839ad0-b588-0b1d-8475-45fba6ae993c,0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1@dc5330cf-5d85-0b70-88e9-e4ab169d17fd) via skysocks-client-ref@127.0.0.1:1081 — one reference row of the same cell immediately before every mux row
# row	cell	ref_MBps	mux_MBps	ratio	ref_ok	mux_ok	ref_legs
1	10down	4.56	5.55	1.217	1	1	1
2	10down	2.93	5.10	1.741	1	1	1
3	10down	4.23	4.90	1.158	1	1	1
4	10down	3.77	3.09	0.820	1	1	1
5	10down	3.04	4.40	1.447	1	1	1
6	10up	4.89	5.63	1.151	1	1	1
7	10up	7.09	6.68	0.942	1	1	1
8	10up	6.81	6.94	1.019	1	1	1
9	50down	4.43	6.92	1.562	1	1	1
10	50down	4.77	6.37	1.335	1	1	1
11	50down	5.20	7.26	1.396	1	1	1
12	50down	3.88	3.71	0.956	1	1	1
13	50down	4.43	6.31	1.424	1	1	1
14	50up	10.24	10.57	1.032	1	1	1
15	50up	10.26	10.44	1.018	1	1	1
16	50up	10.24	10.40	1.016	1	1	1
