# row	tp	sent_delta	recv_delta
1	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	1126	4979143
1	95839ad0-b588-0b1d-8475-45fba6ae993c	5813	5951151
1	legs	49157:fdab37dd,95839ad0	-
2	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	1378	4691623
2	95839ad0-b588-0b1d-8475-45fba6ae993c	409	7498439
2	legs	49157:fdab37dd,95839ad0	-
3	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	519	2726511
3	95839ad0-b588-0b1d-8475-45fba6ae993c	340	7289930
3	legs	49157:fdab37dd,95839ad0	-
4	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	733	3318753
4	95839ad0-b588-0b1d-8475-45fba6ae993c	489	6730678
4	legs	49157:fdab37dd,95839ad0	-
5	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	703	4105570
5	95839ad0-b588-0b1d-8475-45fba6ae993c	345	6203504
5	legs	49157:fdab37dd,95839ad0	-
6	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	30	172
6	95839ad0-b588-0b1d-8475-45fba6ae993c	10016347	552
6	legs	49157:fdab37dd,95839ad0	-
7	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	78	396
7	95839ad0-b588-0b1d-8475-45fba6ae993c	10016459	473
7	legs	49157:fdab37dd,95839ad0	-
8	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	43	176
8	95839ad0-b588-0b1d-8475-45fba6ae993c	10016489	608
8	legs	49157:fdab37dd,95839ad0	-
9	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	3446	23026793
9	95839ad0-b588-0b1d-8475-45fba6ae993c	724	29317916
9	legs	49157:fdab37dd,95839ad0	-
10	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	12445	28435588
10	95839ad0-b588-0b1d-8475-45fba6ae993c	570	24269964
10	legs	49157:fdab37dd,95839ad0	-
11	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	4796	18499194
11	95839ad0-b588-0b1d-8475-45fba6ae993c	667	37204824
11	legs	49157:fdab37dd,95839ad0	-
12	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	4676	10724386
12	95839ad0-b588-0b1d-8475-45fba6ae993c	506	39355662
12	legs	49157:fdab37dd,95839ad0	-
13	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	7177	33726468
13	95839ad0-b588-0b1d-8475-45fba6ae993c	1383	18036375
13	legs	49157:fdab37dd,95839ad0	-
14	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	58	663
14	95839ad0-b588-0b1d-8475-45fba6ae993c	50079934	505
14	legs	49157:fdab37dd,95839ad0	-
15	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	68	373
15	95839ad0-b588-0b1d-8475-45fba6ae993c	50079972	789
15	legs	49157:fdab37dd,95839ad0	-
16	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	119	389
16	95839ad0-b588-0b1d-8475-45fba6ae993c	50079988	795
16	legs	49157:fdab37dd,95839ad0	-
# rg src_port before=49157 after=49157 constant
