# mux-standby-7 — per-row leg shares, forward = client->exit, reverse = exit->client
# note	carrier.tsv counts a TRANSPORT, not a route group: a transport another group or app also rides counts that traffic here too
# note	latency_ms is the end-of-set legs.json snapshot, not the latency measured on the row
# note	shares and verdicts are computed over the legs that carried the payload: every leg of an ACTIVE group, plus any leg holding >= 1 % of the payload-direction bytes of the row (a mid-set promotion the set-start role does not yet show); the rest are listed with their bytes and a "-" share
# note	some transports are in carrier.tsv but not in legs.json or tps.tsv (a group dialled after the snapshot); their carrier/latency/hops/remote_pk read "-"
# note	some legs are in scope on bytes alone: their group reads "standby" in the set-start legs.json but they carried >= 1 % of the payload of a row
# note	rev_bytes/rev_share on 17 row(s) are the EXIT's OWN per-leg sent_bytes deltas (rev_basis exit-sent) — the reverse direction measured at the SENDING end
# note	rev_bytes/rev_share on 3 row(s) are the local recv_delta (rev_basis local-recv): the exit's sent_bytes needs a per-row EXIT_SNAP run against an exit that reports the per-leg byte counters, and either the snapshots or the counters were absent
# row	label	dir	size	leg	rg	role	scope	hops	carrier	latency_ms	remote_pk	fwd_bytes	rev_bytes	fwd_share	rev_share	rev_basis	exit_tp	exit_standby	exit_retx	exit_ack_ms	exit_sent_bytes	exit_recv_bytes
1	mux-standby-7-t1	down	10000000	b414796d	49174	active	in	b414796d>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	135.684	022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	1244	6064257	55.9%	59.6%	local-recv	b414796d	no	0	583.37	6262174	2402
1	mux-standby-7-t1	down	10000000	fdab37dd	49175	active	in	fdab37dd>03f57e7cf26c0764c5ab659a606add056ddf8bfad4f5bc7e8613cad05e5f228adf;7420f415>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	159.967	03f57e7cf26c0764c5ab659a606add056ddf8bfad4f5bc7e8613cad05e5f228adf	981	4107426	44.1%	40.4%	local-recv	7420f415	no	2	1807.14	4161048	2006
1	mux-standby-7-t1	down	10000000	95839ad0	49177	standby	out	95839ad0>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13;dc5330cf>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	4930.766	0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13	45	45	-	-	local-recv	dc5330cf	no	0	228.25	448	576
1	mux-standby-7-t1	down	10000000	f1012467	49178	standby	out	f1012467>0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb;57c570d9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	140.269	0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb	116	4183	-	-	local-recv	57c570d9	no	1	255.06	512	480
1	mux-standby-7-t1	down	10000000	ac40965a	49179	standby	out	ac40965a>02c483938539bd7820f72e48ed6056bab68e221e1108d23965a2903221495e4af7;3de424e0>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	392.549	02c483938539bd7820f72e48ed6056bab68e221e1108d23965a2903221495e4af7	45	45	-	-	local-recv	3de424e0	no	1	488.97	480	448
1	mux-standby-7-t1	down	10000000	2c4ae7a5	49180	standby	out	2c4ae7a5>02a2d4c346dabd165fd555dfdba4a7f4d18786fe7e055e562397cd5102bdd7f8dd;d0b47ec2>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	257.116123	02a2d4c346dabd165fd555dfdba4a7f4d18786fe7e055e562397cd5102bdd7f8dd	50	77	-	-	local-recv	d0b47ec2	no	2	520.19	448	416
1	mux-standby-7-t1	down	10000000	50cdb857	49181	standby	out	50cdb857>0255117bf8d4687dacd5f7ac4c241f008060f1972911552a5b67b76f0e7922f5c7;38288b5a>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	211.302548	0255117bf8d4687dacd5f7ac4c241f008060f1972911552a5b67b76f0e7922f5c7	77	77	-	-	local-recv	38288b5a	no	0	593.93	352	384
2	mux-standby-7-t2	down	10000000	b414796d	49174	active	in	b414796d>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	135.684	022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	1276	8039567	77.4%	80.2%	exit-sent	b414796d	no	0	793.83	14301741	3568
2	mux-standby-7-t2	down	10000000	fdab37dd	49175	active	in	fdab37dd>03f57e7cf26c0764c5ab659a606add056ddf8bfad4f5bc7e8613cad05e5f228adf;7420f415>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	159.967	03f57e7cf26c0764c5ab659a606add056ddf8bfad4f5bc7e8613cad05e5f228adf	373	1979471	22.6%	19.8%	exit-sent	7420f415	no	2	1471.58	6140519	2316
2	mux-standby-7-t2	down	10000000	95839ad0	49177	standby	out	95839ad0>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13;dc5330cf>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	4930.766	0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13	69	0	-	-	exit-sent	dc5330cf	no	0	376.54	480	640
2	mux-standby-7-t2	down	10000000	f1012467	49178	standby	out	f1012467>0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb;57c570d9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	140.269	0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb	77	0	-	-	exit-sent	57c570d9	no	1	386.61	544	512
2	mux-standby-7-t2	down	10000000	ac40965a	49179	standby	out	ac40965a>02c483938539bd7820f72e48ed6056bab68e221e1108d23965a2903221495e4af7;3de424e0>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	392.549	02c483938539bd7820f72e48ed6056bab68e221e1108d23965a2903221495e4af7	37	0	-	-	exit-sent	3de424e0	no	1	596.03	512	480
2	mux-standby-7-t2	down	10000000	2c4ae7a5	49180	standby	out	2c4ae7a5>02a2d4c346dabd165fd555dfdba4a7f4d18786fe7e055e562397cd5102bdd7f8dd;d0b47ec2>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	257.116123	02a2d4c346dabd165fd555dfdba4a7f4d18786fe7e055e562397cd5102bdd7f8dd	2457	0	-	-	exit-sent	d0b47ec2	no	2	615.46	480	448
2	mux-standby-7-t2	down	10000000	50cdb857	49181	standby	out	50cdb857>0255117bf8d4687dacd5f7ac4c241f008060f1972911552a5b67b76f0e7922f5c7;38288b5a>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	211.302548	0255117bf8d4687dacd5f7ac4c241f008060f1972911552a5b67b76f0e7922f5c7	37	0	-	-	exit-sent	38288b5a	no	0	737.24	384	416
2	mux-standby-7-t2	down	10000000	6cb2bbf7	49182	-	out	-	-	-	-	0	0	-	-	exit-sent	-	-	-	-	-	-
3	mux-standby-7-t3	down	10000000	b414796d	49174	active	in	b414796d>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	135.684	022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	995	6060140	44.8%	60.5%	exit-sent	b414796d	no	0	695.11	20361881	4520
3	mux-standby-7-t3	down	10000000	fdab37dd	49175	active	in	fdab37dd>03f57e7cf26c0764c5ab659a606add056ddf8bfad4f5bc7e8613cad05e5f228adf;7420f415>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	159.967	03f57e7cf26c0764c5ab659a606add056ddf8bfad4f5bc7e8613cad05e5f228adf	424	1979535	19.1%	19.8%	exit-sent	7420f415	no	2	1216.13	8120054	2690
3	mux-standby-7-t3	down	10000000	95839ad0	49177	standby	in	95839ad0>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13;dc5330cf>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	4930.766	0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13	801	1980631	36.1%	19.8%	exit-sent	dc5330cf	no	1	1829.99	1981111	1378
3	mux-standby-7-t3	down	10000000	f1012467	49178	standby	out	f1012467>0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb;57c570d9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	140.269	0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb	69	0	-	-	exit-sent	57c570d9	no	1	326.75	640	608
3	mux-standby-7-t3	down	10000000	ac40965a	49179	standby	out	ac40965a>02c483938539bd7820f72e48ed6056bab68e221e1108d23965a2903221495e4af7;3de424e0>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	392.549	02c483938539bd7820f72e48ed6056bab68e221e1108d23965a2903221495e4af7	101	0	-	-	exit-sent	3de424e0	no	1	570.11	608	576
3	mux-standby-7-t3	down	10000000	2c4ae7a5	49180	standby	out	2c4ae7a5>02a2d4c346dabd165fd555dfdba4a7f4d18786fe7e055e562397cd5102bdd7f8dd;d0b47ec2>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	257.116123	02a2d4c346dabd165fd555dfdba4a7f4d18786fe7e055e562397cd5102bdd7f8dd	79	0	-	-	exit-sent	d0b47ec2	no	2	591.55	576	544
3	mux-standby-7-t3	down	10000000	50cdb857	49181	standby	out	50cdb857>0255117bf8d4687dacd5f7ac4c241f008060f1972911552a5b67b76f0e7922f5c7;38288b5a>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	211.302548	0255117bf8d4687dacd5f7ac4c241f008060f1972911552a5b67b76f0e7922f5c7	69	0	-	-	exit-sent	38288b5a	no	0	608.18	480	512
3	mux-standby-7-t3	down	10000000	6cb2bbf7	49182	-	out	-	-	-	-	0	0	-	-	exit-sent	-	-	-	-	-	-
4	mux-standby-7-t4	down	10000000	b414796d	49174	active	in	b414796d>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	135.684	022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	1246	8039807	63.2%	80.1%	exit-sent	b414796d	no	0	572.19	28401688	5718
4	mux-standby-7-t4	down	10000000	fdab37dd	49175	active	in	fdab37dd>03f57e7cf26c0764c5ab659a606add056ddf8bfad4f5bc7e8613cad05e5f228adf;7420f415>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	159.967	03f57e7cf26c0764c5ab659a606add056ddf8bfad4f5bc7e8613cad05e5f228adf	724	2002435	36.8%	19.9%	exit-sent	7420f415	no	3	1086.82	10122489	3396
4	mux-standby-7-t4	down	10000000	95839ad0	49177	standby	out	95839ad0>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13;dc5330cf>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	4930.766	0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13	0	0	-	-	exit-sent	dc5330cf	no	1	219.9	1981175	1442
