# paired reference: 0371ab4b (0323272a60895f56aad82cb767fb5c413807adcf7c9fb0578b1b1c5807c7f29d4c>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13@95839ad0-b588-0b1d-8475-45fba6ae993c,0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1@dc5330cf-5d85-0b70-88e9-e4ab169d17fd) via skysocks-client-ref@127.0.0.1:1081 — one reference row of the same cell immediately before every mux row
# row	cell	ref_MBps	mux_MBps	ratio	ref_ok	mux_ok	ref_legs
1	10down	3.25	1.79	0.551	1	1	1
2	10down	3.50	2.07	0.591	1	1	1
3	10down	4.26	2.58	0.606	1	1	1
4	10down	3.46	2.26	0.653	1	1	1
5	10down	3.32	2.97	0.895	1	1	1
6	10up	6.84	3.88	0.567	1	1	1
7	10up	7.06	3.66	0.518	1	1	1
8	10up	7.14	4.95	0.693	1	1	1
9	50down	7.92	7.06	0.891	1	1	1
10	50down	6.98	1.90	0.272	1	1	1
11	50down	4.73	5.25	1.110	1	1	1
12	50down	4.37	4.88	1.117	1	1	1
13	50down	4.44	5.89	1.327	1	1	1
14	50up	10.25	9.05	0.883	1	1	1
15	50up	10.30	8.75	0.850	1	1	1
16	50up	10.22	9.09	0.889	1	1	1
17	100down	4.42	4.90	1.109	1	1	1
18	100down	4.82	7.36	1.527	1	1	1
19	100down	4.32	6.15	1.424	1	1	1
20	100down	3.45	6.09	1.765	1	1	1
21	100down	4.60	6.44	1.400	1	1	1
