# mux-legs-2 — per-row leg shares, forward = client->exit, reverse = exit->client
# note	the exit snapshots only set start and end, so exit_standby/exit_retx/exit_ack are the set-end values repeated on every row, not per-row deltas
# note	carrier.tsv counts a TRANSPORT, not a route group: a transport another group or app also rides counts that traffic here too
# note	latency_ms is the end-of-set legs.json snapshot, not the latency measured on the row
# note	rev_bytes/rev_share on 16 row(s) are the local recv_delta (rev_basis local-recv): the exit's sent_bytes needs a per-row EXIT_SNAP run against an exit that reports the per-leg byte counters, and either the snapshots or the counters were absent
# row	label	dir	size	leg	rg	role	scope	hops	carrier	latency_ms	remote_pk	fwd_bytes	rev_bytes	fwd_share	rev_share	rev_basis	exit_tp	exit_standby	exit_retx	exit_ack_ms	exit_sent_bytes	exit_recv_bytes
1	mux-legs-2-t1	down	10000000	95839ad0	49178	active	in	95839ad0>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13;dc5330cf>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	60.709755	0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13	2290	11592002	99.7%	78.6%	local-recv	dc5330cf	no	1422	334.31	314294090	10020537
1	mux-legs-2-t1	down	10000000	f1012467	49178	active	in	f1012467>0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb;57c570d9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	731.835821	0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb	8	3158320	0.3%	21.4%	local-recv	57c570d9	no	635	0	18918238	170276873
2	mux-legs-2-t2	down	10000000	95839ad0	49178	active	in	95839ad0>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13;dc5330cf>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	60.709755	0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13	21395	10064734	99.7%	100.0%	local-recv	dc5330cf	no	1422	334.31	314294090	10020537
2	mux-legs-2-t2	down	10000000	f1012467	49178	active	in	f1012467>0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb;57c570d9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	731.835821	0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb	70	75	0.3%	0.0%	local-recv	57c570d9	no	635	0	18918238	170276873
3	mux-legs-2-t3	down	10000000	95839ad0	49178	active	in	95839ad0>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13;dc5330cf>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	60.709755	0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13	752	10035490	99.9%	100.0%	local-recv	dc5330cf	no	1422	334.31	314294090	10020537
3	mux-legs-2-t3	down	10000000	f1012467	49178	active	in	f1012467>0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb;57c570d9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	731.835821	0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb	1	1	0.1%	0.0%	local-recv	57c570d9	no	635	0	18918238	170276873
4	mux-legs-2-t4	down	10000000	95839ad0	49178	active	in	95839ad0>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13;dc5330cf>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	60.709755	0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13	8646	10775287	52.6%	96.1%	local-recv	dc5330cf	no	1422	334.31	314294090	10020537
4	mux-legs-2-t4	down	10000000	f1012467	49178	active	in	f1012467>0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb;57c570d9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	731.835821	0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb	7789	435059	47.4%	3.9%	local-recv	57c570d9	no	635	0	18918238	170276873
5	mux-legs-2-t5	down	10000000	95839ad0	49178	active	in	95839ad0>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13;dc5330cf>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	60.709755	0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13	704	10016638	95.0%	100.0%	local-recv	dc5330cf	no	1422	334.31	314294090	10020537
5	mux-legs-2-t5	down	10000000	f1012467	49178	active	in	f1012467>0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb;57c570d9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	731.835821	0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb	37	37	5.0%	0.0%	local-recv	57c570d9	no	635	0	18918238	170276873
6	mux-legs-2-t1	up	10000000	95839ad0	49178	active	in	95839ad0>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13;dc5330cf>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	60.709755	0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13	10016914	790	100.0%	97.9%	local-recv	dc5330cf	no	1422	334.31	314294090	10020537
6	mux-legs-2-t1	up	10000000	f1012467	49178	active	in	f1012467>0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb;57c570d9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	731.835821	0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb	49	17	0.0%	2.1%	local-recv	57c570d9	no	635	0	18918238	170276873
7	mux-legs-2-t2	up	10000000	95839ad0	49178	active	in	95839ad0>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13;dc5330cf>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	60.709755	0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13	965	452523	0.0%	51.5%	local-recv	dc5330cf	no	1422	334.31	314294090	10020537
7	mux-legs-2-t2	up	10000000	f1012467	49178	active	in	f1012467>0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb;57c570d9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	731.835821	0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb	10019770	426174	100.0%	48.5%	local-recv	57c570d9	no	635	0	18918238	170276873
8	mux-legs-2-t3	up	10000000	95839ad0	49178	active	in	95839ad0>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13;dc5330cf>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	60.709755	0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13	1223	1906	0.0%	100.0%	local-recv	dc5330cf	no	1422	334.31	314294090	10020537
8	mux-legs-2-t3	up	10000000	f1012467	49178	active	in	f1012467>0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb;57c570d9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	731.835821	0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb	10016341	0	100.0%	0.0%	local-recv	57c570d9	no	635	0	18918238	170276873
9	mux-legs-2-t1	down	50000000	95839ad0	49178	active	in	95839ad0>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13;dc5330cf>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	60.709755	0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13	14401	63002614	52.8%	80.0%	local-recv	dc5330cf	no	1422	334.31	314294090	10020537
9	mux-legs-2-t1	down	50000000	f1012467	49178	active	in	f1012467>0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb;57c570d9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	731.835821	0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb	12876	15796502	47.2%	20.0%	local-recv	57c570d9	no	635	0	18918238	170276873
10	mux-legs-2-t2	down	50000000	95839ad0	49178	active	in	95839ad0>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13;dc5330cf>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	60.709755	0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13	1989	50081502	73.5%	100.0%	local-recv	dc5330cf	no	1422	334.31	314294090	10020537
10	mux-legs-2-t2	down	50000000	f1012467	49178	active	in	f1012467>0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb;57c570d9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	731.835821	0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb	716	83	26.5%	0.0%	local-recv	57c570d9	no	635	0	18918238	170276873
11	mux-legs-2-t3	down	50000000	95839ad0	49178	active	in	95839ad0>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13;dc5330cf>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	60.709755	0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13	1161	50081232	22.7%	100.0%	local-recv	dc5330cf	no	1422	334.31	314294090	10020537
11	mux-legs-2-t3	down	50000000	f1012467	49178	active	in	f1012467>0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb;57c570d9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	731.835821	0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb	3963	3340	77.3%	0.0%	local-recv	57c570d9	no	635	0	18918238	170276873
