# row	tp	sent_delta	recv_delta
1	b414796d-14fc-080e-9ce6-a7162e3e562b	862	4080511
1	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	1325	5978699
1	f1012467-de9d-09a9-8b49-62a43945c24b	1745	3151
1	95839ad0-b588-0b1d-8475-45fba6ae993c	170	170
1	50cdb857-a262-0ae5-bf5b-5c93c8025b69	74	74
1	ac40965a-bc99-01e4-a2c9-c26b76db013b	119	114
1	9e11e844-052b-056f-9506-1ebc09d4a2e4	74	74
1	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	74	74
1	legs	49164:b414796d 49165:fdab37dd 49167:f1012467 49168:95839ad0 49169:50cdb857 49170:ac40965a 49172:9e11e844 49173:2c4ae7a5	-
2	b414796d-14fc-080e-9ce6-a7162e3e562b	939	4080613
2	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	926	3958993
2	f1012467-de9d-09a9-8b49-62a43945c24b	22015	174370
2	95839ad0-b588-0b1d-8475-45fba6ae993c	2028	1986922
2	50cdb857-a262-0ae5-bf5b-5c93c8025b69	106	106
2	ac40965a-bc99-01e4-a2c9-c26b76db013b	106	106
2	9e11e844-052b-056f-9506-1ebc09d4a2e4	101	101
2	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	77	77
2	legs	49164:b414796d 49165:fdab37dd 49167:f1012467 49168:95839ad0 49169:50cdb857 49170:ac40965a 49172:9e11e844 49173:2c4ae7a5	-
3	b414796d-14fc-080e-9ce6-a7162e3e562b	965	4296911
3	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	1390	6001004
3	f1012467-de9d-09a9-8b49-62a43945c24b	41072	90371
3	95839ad0-b588-0b1d-8475-45fba6ae993c	11414	7967
3	50cdb857-a262-0ae5-bf5b-5c93c8025b69	114	114
3	ac40965a-bc99-01e4-a2c9-c26b76db013b	138	138
3	9e11e844-052b-056f-9506-1ebc09d4a2e4	42	106
3	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	69	69
3	legs	49164:b414796d 49165:fdab37dd 49167:f1012467 49168:95839ad0 49169:50cdb857 49170:ac40965a 49172:9e11e844 49173:2c4ae7a5	-
4	b414796d-14fc-080e-9ce6-a7162e3e562b	1208	4080693
4	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	1357	5962361
4	f1012467-de9d-09a9-8b49-62a43945c24b	38912	107195
4	95839ad0-b588-0b1d-8475-45fba6ae993c	2169	1366
4	50cdb857-a262-0ae5-bf5b-5c93c8025b69	111	111
4	ac40965a-bc99-01e4-a2c9-c26b76db013b	37	37
4	9e11e844-052b-056f-9506-1ebc09d4a2e4	37	37
4	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	106	106
4	legs	49164:b414796d 49165:fdab37dd 49167:f1012467 49168:95839ad0 49169:50cdb857 49170:ac40965a 49172:9e11e844 49173:2c4ae7a5	-
5	b414796d-14fc-080e-9ce6-a7162e3e562b	968	4080669
5	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	1746	4133563
5	f1012467-de9d-09a9-8b49-62a43945c24b	845	427995
5	95839ad0-b588-0b1d-8475-45fba6ae993c	9290	2443263
5	50cdb857-a262-0ae5-bf5b-5c93c8025b69	69	69
5	ac40965a-bc99-01e4-a2c9-c26b76db013b	697	182336
5	9e11e844-052b-056f-9506-1ebc09d4a2e4	69	85
5	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	114	114
5	legs	49164:b414796d 49165:fdab37dd 49167:f1012467 49168:95839ad0 49169:50cdb857 49170:ac40965a 49172:9e11e844 49173:2c4ae7a5	-
6	b414796d-14fc-080e-9ce6-a7162e3e562b	7505455	275962
6	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	2502181	153252
6	f1012467-de9d-09a9-8b49-62a43945c24b	5119	428907
6	95839ad0-b588-0b1d-8475-45fba6ae993c	2349	452649
6	50cdb857-a262-0ae5-bf5b-5c93c8025b69	114	114
6	ac40965a-bc99-01e4-a2c9-c26b76db013b	211	179025
6	9e11e844-052b-056f-9506-1ebc09d4a2e4	42	106
6	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	147	186591
