# mux-standby-32 — per-row leg shares, forward = client->exit, reverse = exit->client
# note	carrier.tsv counts a TRANSPORT, not a route group: a transport another group or app also rides counts that traffic here too
# note	latency_ms is the end-of-set legs.json snapshot, not the latency measured on the row
# note	shares and verdicts are computed over the legs that carried the payload: every leg of an ACTIVE group, plus any leg holding >= 1 % of the payload-direction bytes of the row (a mid-set promotion the set-start role does not yet show); the rest are listed with their bytes and a "-" share
# note	some legs are in scope on bytes alone: their group reads "standby" in the set-start legs.json but they carried >= 1 % of the payload of a row
# note	rev_bytes/rev_share on 19 row(s) are the EXIT's OWN per-leg sent_bytes deltas (rev_basis exit-sent) — the reverse direction measured at the SENDING end
# note	rev_bytes/rev_share on 1 row(s) are the local recv_delta (rev_basis local-recv): the exit's sent_bytes needs a per-row EXIT_SNAP run against an exit that reports the per-leg byte counters, and either the snapshots or the counters were absent
# row	label	dir	size	leg	rg	role	scope	hops	carrier	latency_ms	remote_pk	fwd_bytes	rev_bytes	fwd_share	rev_share	rev_basis	exit_tp	exit_standby	exit_retx	exit_ack_ms	exit_sent_bytes	exit_recv_bytes
1	mux-standby-32-t1	down	10000000	b414796d	49211,49221,49222,49223,49224,49225,49226,49227,49228,49230,49231,49233,49234,49235,49236,49237,49238,49239,49240,49241,49242,49243	active	in	b414796d>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	137.437	022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	3823	3170298	62.5%	31.0%	local-recv	b414796d	no	0	241.98	544	544
1	mux-standby-32-t1	down	10000000	c3814fa0	49212	active	in	c3814fa0>0389c4be4cf7feff79eaecc050b45e038fe026f1a06bc5860e32a9605cabc81d8f;af3b516d>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	143.878	0389c4be4cf7feff79eaecc050b45e038fe026f1a06bc5860e32a9605cabc81d8f	961	3167589	15.7%	30.9%	local-recv	af3b516d	no	1	248.49	3369398	1942
1	mux-standby-32-t1	down	10000000	ea69bc13	49213	standby	out	ea69bc13>03dd3a272482055da08828fafffe0cb537915a52e71c92bfc9bf3140ab0153cd7c;ce4708f1>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	157.072	03dd3a272482055da08828fafffe0cb537915a52e71c92bfc9bf3140ab0153cd7c	146	146	-	-	local-recv	ce4708f1	no	1	253.71	640	608
1	mux-standby-32-t1	down	10000000	a18cfda5	49214	standby	out	a18cfda5>032fe1b4b0bf0207c10bc99cf64be4fdc15464981554e0cd58bf66f06960cd5fcc;0601bd31>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	151.217	032fe1b4b0bf0207c10bc99cf64be4fdc15464981554e0cd58bf66f06960cd5fcc	138	138	-	-	local-recv	0601bd31	no	1	255.96	640	608
1	mux-standby-32-t1	down	10000000	97ae541b	49215	standby	out	97ae541b>03c3278fa753b5e942c8b1bfe028219520b8b713f370796e442a4d416a41e08b17;b70493f1>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	150.223	03c3278fa753b5e942c8b1bfe028219520b8b713f370796e442a4d416a41e08b17	138	138	-	-	local-recv	b70493f1	no	1	256.15	640	608
1	mux-standby-32-t1	down	10000000	eaddf8ac	49216	standby	out	eaddf8ac>028ce3caf8a1ed3b650b7139aeb854351518149af709cf28fe9bd6376cb3403626;4112d695>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	152.417	028ce3caf8a1ed3b650b7139aeb854351518149af709cf28fe9bd6376cb3403626	146	146	-	-	local-recv	4112d695	no	1	256.25	640	608
1	mux-standby-32-t1	down	10000000	bf9b0de8	49217	standby	out	bf9b0de8>026a913078651938783e19416a2de99c924df209e28512da2a571868c989bf3822;c2793bef>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	152.839	026a913078651938783e19416a2de99c924df209e28512da2a571868c989bf3822	178	146	-	-	local-recv	c2793bef	no	2	250.33	672	608
1	mux-standby-32-t1	down	10000000	fdab37dd	49219	standby	in	fdab37dd>03f57e7cf26c0764c5ab659a606add056ddf8bfad4f5bc7e8613cad05e5f228adf;7420f415>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	144.861	03f57e7cf26c0764c5ab659a606add056ddf8bfad4f5bc7e8613cad05e5f228adf	1329	3899833	21.7%	38.1%	local-recv	7420f415	no	3	1756.44	3944613	2146
1	mux-standby-32-t1	down	10000000	df4c1852	49220	standby	out	df4c1852>035f532aed88e89cb8822a31b71d83a14f63fabd6389e537c2426fe84031c60825;f148d779>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	164.043	035f532aed88e89cb8822a31b71d83a14f63fabd6389e537c2426fe84031c60825	151	183	-	-	local-recv	f148d779	no	2	250.47	672	608
1	mux-standby-32-t1	down	10000000	30f42c30	49229	standby	out	30f42c30>03eba64189c636ab77c2da630bf2a0c77061bc783e59f80fd39015a42f9ae6ce01;0d8257e2>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	155.128	03eba64189c636ab77c2da630bf2a0c77061bc783e59f80fd39015a42f9ae6ce01	106	106	-	-	local-recv	0d8257e2	no	1	270.45	608	576
