# paired reference: 0371ab4b (0323272a60895f56aad82cb767fb5c413807adcf7c9fb0578b1b1c5807c7f29d4c>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13@95839ad0-b588-0b1d-8475-45fba6ae993c,0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1@dc5330cf-5d85-0b70-88e9-e4ab169d17fd) via skysocks-client-ref@127.0.0.1:1081 — one reference row of the same cell immediately before every mux row
# row	cell	ref_MBps	mux_MBps	ratio	ref_ok	mux_ok	ref_legs
1	10down	4.82	2.30	0.477	1	1	1
2	10down	3.32	3.39	1.021	1	1	1
3	10down	3.14	4.41	1.404	1	1	1
4	10down	0.44	4.60	10.455	1	1	1
5	10down	3.83	4.93	1.287	1	1	1
6	10up	7.11	1.13	0.159	1	1	1
7	10up	7.18	4.49	0.625	1	1	1
8	10up	6.29	5.63	0.895	1	1	1
9	10up	6.65	5.30	0.797	1	1	1
10	10up	6.97	5.63	0.808	1	1	1
11	50down	3.81	2.15	0.564	1	1	1
12	50down	4.92	2.97	0.604	1	1	1
13	50down	3.68	3.37	0.916	1	1	1
14	50down	5.39	3.68	0.683	1	1	1
15	50down	7.58	7.28	0.960	1	1	1
16	50up	10.21	8.76	0.858	1	1	1
17	50up	10.02	9.19	0.917	1	1	1
18	50up	9.51	9.48	0.997	1	1	1
19	50up	9.55	7.28	0.762	1	1	1
20	50up	10.34	9.56	0.925	1	1	1
