# paired reference: 0371ab4b (0323272a60895f56aad82cb767fb5c413807adcf7c9fb0578b1b1c5807c7f29d4c>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13@95839ad0-b588-0b1d-8475-45fba6ae993c,0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1@dc5330cf-5d85-0b70-88e9-e4ab169d17fd) via skysocks-client-ref@127.0.0.1:1081 — one reference row of the same cell immediately before every mux row
# row	cell	ref_MBps	mux_MBps	ratio	ref_ok	mux_ok	ref_legs
1	10down	5.59	5.04	0.902	1	1	1
2	10down	3.79	3.97	1.047	1	1	1
3	10down	3.01	4.50	1.495	1	1	1
4	10down	2.83	3.17	1.120	1	1	1
5	10down	3.20	4.61	1.441	1	1	1
6	10up	5.03	2.19	0.435	1	1	1
7	10up	5.34	3.90	0.730	1	1	1
8	10up	6.51	4.92	0.756	1	1	1
9	50down	5.29	6.31	1.193	1	1	1
10	50down	4.06	5.51	1.357	1	1	1
11	50down	4.45	6.87	1.544	1	1	1
12	50down	5.74	5.80	1.010	1	1	1
13	50down	3.92	6.43	1.640	1	1	1
14	50up	4.20	4.16	0.990	1	1	1
15	50up	8.55	3.31	0.387	1	1	1
16	50up	9.90	9.82	0.992	1	1	1
