# row	tp	sent_delta	recv_delta
1	95839ad0-b588-0b1d-8475-45fba6ae993c	18788	4719110
1	f1012467-de9d-09a9-8b49-62a43945c24b	26	11356227
1	legs	49169:95839ad0,f1012467	-
2	95839ad0-b588-0b1d-8475-45fba6ae993c	1279	8798283
2	f1012467-de9d-09a9-8b49-62a43945c24b	9	1218551
2	legs	49169:95839ad0,f1012467	-
3	95839ad0-b588-0b1d-8475-45fba6ae993c	3082	8218755
3	f1012467-de9d-09a9-8b49-62a43945c24b	17	1930966
3	legs	49169:95839ad0,f1012467	-
4	95839ad0-b588-0b1d-8475-45fba6ae993c	1216	7392666
4	f1012467-de9d-09a9-8b49-62a43945c24b	0	2689501
4	legs	49169:95839ad0,f1012467	-
5	95839ad0-b588-0b1d-8475-45fba6ae993c	1201	9249410
5	f1012467-de9d-09a9-8b49-62a43945c24b	72	1641255
5	legs	49169:95839ad0,f1012467	-
6	95839ad0-b588-0b1d-8475-45fba6ae993c	10017562	342
6	f1012467-de9d-09a9-8b49-62a43945c24b	0	287
6	legs	49169:95839ad0,f1012467	-
7	95839ad0-b588-0b1d-8475-45fba6ae993c	10016879	589
7	f1012467-de9d-09a9-8b49-62a43945c24b	1	110
7	legs	49169:95839ad0,f1012467	-
8	95839ad0-b588-0b1d-8475-45fba6ae993c	10017426	604
8	f1012467-de9d-09a9-8b49-62a43945c24b	0	62
8	legs	49169:95839ad0,f1012467	-
9	95839ad0-b588-0b1d-8475-45fba6ae993c	9486	42744468
9	f1012467-de9d-09a9-8b49-62a43945c24b	1	7338933
9	legs	49169:95839ad0,f1012467	-
10	95839ad0-b588-0b1d-8475-45fba6ae993c	18191	31858437
10	f1012467-de9d-09a9-8b49-62a43945c24b	26	45873636
10	legs	49169:95839ad0,f1012467	-
11	95839ad0-b588-0b1d-8475-45fba6ae993c	19241	23885920
11	f1012467-de9d-09a9-8b49-62a43945c24b	19	61385693
11	legs	49169:95839ad0,f1012467	-
12	95839ad0-b588-0b1d-8475-45fba6ae993c	17507	30786070
12	f1012467-de9d-09a9-8b49-62a43945c24b	25	19298271
12	legs	49169:95839ad0,f1012467	-
13	95839ad0-b588-0b1d-8475-45fba6ae993c	12986	33346746
13	f1012467-de9d-09a9-8b49-62a43945c24b	18	17985464
13	legs	49169:95839ad0,f1012467	-
14	95839ad0-b588-0b1d-8475-45fba6ae993c	50082712	974
14	f1012467-de9d-09a9-8b49-62a43945c24b	72	69943
14	legs	49169:95839ad0,f1012467	-
15	95839ad0-b588-0b1d-8475-45fba6ae993c	50082488	998
15	f1012467-de9d-09a9-8b49-62a43945c24b	1	95
15	legs	49169:95839ad0,f1012467	-
16	95839ad0-b588-0b1d-8475-45fba6ae993c	50082835	456421
16	f1012467-de9d-09a9-8b49-62a43945c24b	72	428879
16	legs	49169:95839ad0,f1012467	-
# rg src_port before=49169 after=49169 constant
