# ts	label	rss_anon_kb	cpu_s	load1	idle_cps	sys_mb	heap_alloc_mb	num_gc	goroutines
1789741593	warmup	364488	10.74	0.24	0.054	349.4	201.7	22	2110
1789741599	mux-tunnels-2-pre	364488	11.03	0.22	0.050	349.4	212.5	22	2161
1789742160	mux-tunnels-2-post	442544	58.42	0.16	0.054	451.6	320.9	105	4647
1789742196	mux-tunnels-2-settled	435672	60.77	0.16	0.050	451.6	313.0	107	4692
1789742246	mux-legs-2-pre	421780	63.86	0.21	0.058	451.8	254.5	110	4623
1789742459	mux-legs-2-post	447508	88.08	0.48	0.038	459.9	286.3	173	4694
1789742495	mux-legs-2-settled	448020	90.17	0.27	0.046	460.6	202.0	175	4727
1789742579	mux-compose-T2xL2-pre	421644	95.57	0.18	0.068	460.6	266.3	181	4901
1789743062	mux-compose-T2xL2-post	424264	149.46	0.23	0.108	489.1	191.9	305	5220
1789743097	mux-compose-T2xL2-settled	435912	151.84	0.46	0.070	489.1	317.9	307	5255
