# row	tp	sent_delta	recv_delta
1	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	117	1596053
1	3e59e96d-95fb-0e0e-beaf-e18630d8a8a7	126	56
1	50cdb857-a262-0ae5-bf5b-5c93c8025b69	76	154456
1	82eb4cb2-6ef7-0bad-bcf1-83d5d190a887	?	?
1	95839ad0-b588-0b1d-8475-45fba6ae993c	1976	5925644
1	ac40965a-bc99-01e4-a2c9-c26b76db013b	6935	1105187
1	f1012467-de9d-09a9-8b49-62a43945c24b	88	3122991
1	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	113	147642
1	legs	49182:95839ad0,f1012467 49183:ac40965a,2c4ae7a5 49184:fdab37dd,3e59e96d 49185:95839ad0,3e59e96d 49186:82eb4cb2,3e59e96d 49187:ac40965a,3e59e96d 49188:2c4ae7a5,3e59e96d 49189:50cdb857,3e59e96d	-
2	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	38	929257
2	3e59e96d-95fb-0e0e-beaf-e18630d8a8a7	117	48
2	50cdb857-a262-0ae5-bf5b-5c93c8025b69	5	37
2	82eb4cb2-6ef7-0bad-bcf1-83d5d190a887	?	?
2	95839ad0-b588-0b1d-8475-45fba6ae993c	1680	6408888
2	ac40965a-bc99-01e4-a2c9-c26b76db013b	3019	1286493
2	f1012467-de9d-09a9-8b49-62a43945c24b	1	2484136
2	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	130	130
2	legs	49182:95839ad0,f1012467 49183:ac40965a,2c4ae7a5 49184:fdab37dd,3e59e96d 49185:95839ad0,3e59e96d 49186:82eb4cb2,3e59e96d 49187:ac40965a,3e59e96d 49188:2c4ae7a5,3e59e96d 49189:50cdb857,3e59e96d	-
3	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	115	394051
3	3e59e96d-95fb-0e0e-beaf-e18630d8a8a7	140	136
3	50cdb857-a262-0ae5-bf5b-5c93c8025b69	84	69718
3	82eb4cb2-6ef7-0bad-bcf1-83d5d190a887	?	?
3	95839ad0-b588-0b1d-8475-45fba6ae993c	1691	6909087
3	ac40965a-bc99-01e4-a2c9-c26b76db013b	921	2332243
3	f1012467-de9d-09a9-8b49-62a43945c24b	80	1992633
3	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	116	147592
3	legs	49182:95839ad0,f1012467 49183:ac40965a,2c4ae7a5 49184:fdab37dd,3e59e96d 49185:95839ad0,3e59e96d 49186:82eb4cb2,3e59e96d 49187:ac40965a,3e59e96d 49188:2c4ae7a5,3e59e96d 49189:50cdb857,3e59e96d	-
4	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	86	1120176
4	3e59e96d-95fb-0e0e-beaf-e18630d8a8a7	492	80
4	50cdb857-a262-0ae5-bf5b-5c93c8025b69	53	117
4	82eb4cb2-6ef7-0bad-bcf1-83d5d190a887	?	?
4	95839ad0-b588-0b1d-8475-45fba6ae993c	1469	5669349
4	ac40965a-bc99-01e4-a2c9-c26b76db013b	752	990867
4	f1012467-de9d-09a9-8b49-62a43945c24b	1	2895448
4	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	106	106
4	legs	49182:95839ad0,f1012467 49183:ac40965a,2c4ae7a5 49184:fdab37dd,3e59e96d 49185:95839ad0,3e59e96d 49186:82eb4cb2,3e59e96d 49187:ac40965a,3e59e96d 49188:2c4ae7a5,3e59e96d 49189:50cdb857,3e59e96d	-
5	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	75	107
5	3e59e96d-95fb-0e0e-beaf-e18630d8a8a7	769	80
5	50cdb857-a262-0ae5-bf5b-5c93c8025b69	5	69
5	82eb4cb2-6ef7-0bad-bcf1-83d5d190a887	?	?
5	95839ad0-b588-0b1d-8475-45fba6ae993c	1466	6952928
5	ac40965a-bc99-01e4-a2c9-c26b76db013b	170	170
5	f1012467-de9d-09a9-8b49-62a43945c24b	1	3799948
5	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	69	69
5	legs	49182:95839ad0,f1012467 49183:ac40965a,2c4ae7a5 49184:fdab37dd,3e59e96d 49185:95839ad0,3e59e96d 49186:82eb4cb2,3e59e96d 49187:ac40965a,3e59e96d 49188:2c4ae7a5,3e59e96d 49189:50cdb857,3e59e96d	-
6	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	86	86
6	3e59e96d-95fb-0e0e-beaf-e18630d8a8a7	5003613	16
6	50cdb857-a262-0ae5-bf5b-5c93c8025b69	21	37
