# paired reference: 0371ab4b (0323272a60895f56aad82cb767fb5c413807adcf7c9fb0578b1b1c5807c7f29d4c>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13@95839ad0-b588-0b1d-8475-45fba6ae993c,0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1@dc5330cf-5d85-0b70-88e9-e4ab169d17fd) via skysocks-client-ref@127.0.0.1:1081 — one reference row of the same cell immediately before every mux row
# row	cell	ref_MBps	mux_MBps	ratio	ref_ok	mux_ok	ref_legs
1	10down	4.44	5.14	1.158	1	1	1
2	10down	4.59	5.52	1.203	1	1	1
3	10down	4.92	5.51	1.120	1	1	1
4	10down	5.37	1.67	0.311	1	1	1
5	10down	4.72	2.77	0.587	1	1	1
6	10up	4.55	3.94	0.866	1	1	1
7	10up	7.47	5.93	0.794	1	1	1
8	10up	7.49	5.49	0.733	1	1	1
9	50down	4.37	5.97	1.366	1	1	1
10	50down	4.97	7.23	1.455	1	1	1
11	50down	7.52	7.39	0.983	1	1	1
12	50down	5.30	6.52	1.230	1	1	1
13	50down	6.02	8.56	1.422	1	1	1
14	50up	10.31	9.30	0.902	1	1	1
15	50up	10.35	9.45	0.913	1	1	1
16	50up	9.27	9.57	1.032	1	1	1
