# paired reference: 0371ab4b (0323272a60895f56aad82cb767fb5c413807adcf7c9fb0578b1b1c5807c7f29d4c>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13@95839ad0-b588-0b1d-8475-45fba6ae993c,0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1@dc5330cf-5d85-0b70-88e9-e4ab169d17fd) via skysocks-client-ref@127.0.0.1:1081 — one reference row of the same cell immediately before every mux row
# row	cell	ref_MBps	mux_MBps	ratio	ref_ok	mux_ok	ref_legs
1	10down	6.20	2.61	0.421	1	1	1
2	10down	5.81	3.98	0.685	1	1	1
3	10down	5.42	4.88	0.900	1	1	1
4	10down	5.46	4.82	0.883	1	1	1
5	10down	5.60	4.72	0.843	1	1	1
6	10up	7.22	5.13	0.711	1	1	1
7	10up	6.64	5.64	0.849	1	1	1
8	10up	7.18	5.49	0.765	1	1	1
9	10up	6.91	5.47	0.792	1	1	1
10	10up	1.92	5.52	2.875	1	1	1
11	50down	6.88	6.92	1.006	1	1	1
12	50down	6.07	5.21	0.858	1	1	1
13	50down	5.23	5.53	1.057	1	1	1
14	50down	4.72	3.80	0.805	1	1	1
15	50down	5.40	4.44	0.822	1	1	1
16	50up	10.18	9.52	0.935	1	1	1
17	50up	10.26	9.20	0.897	1	1	1
18	50up	10.27	9.09	0.885	1	1	1
19	50up	10.30	9.02	0.876	1	1	1
20	50up	10.36	9.19	0.887	1	1	1
