# paired reference: 0371ab4b (0323272a60895f56aad82cb767fb5c413807adcf7c9fb0578b1b1c5807c7f29d4c>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13@95839ad0-b588-0b1d-8475-45fba6ae993c,0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1@dc5330cf-5d85-0b70-88e9-e4ab169d17fd) via skysocks-client-ref@127.0.0.1:1081 — one reference row of the same cell immediately before every mux row
# row	cell	ref_MBps	mux_MBps	ratio	ref_ok	mux_ok	ref_legs
1	10down	5.08	3.54	0.697	1	1	1
2	10down	4.18	3.91	0.935	1	1	1
3	10down	5.38	3.95	0.734	1	1	1
4	10down	5.45	3.34	0.613	1	1	1
5	10down	5.60	3.30	0.589	1	1	1
6	10up	2.47	2.94	1.190	1	1	1
7	10up	4.01	4.83	1.204	1	1	1
8	10up	5.03	5.20	1.034	1	1	1
9	50down	5.74	6.18	1.077	1	1	1
10	50down	5.43	5.48	1.009	1	1	1
11	50down	7.54	3.78	0.501	1	1	1
12	50down	8.17	5.34	0.654	1	1	1
13	50down	7.91	5.94	0.751	1	1	1
14	50up	9.71	9.27	0.955	1	1	1
15	50up	9.39	9.20	0.980	1	1	1
16	50up	9.49	10.14	1.068	1	1	1
