# row	tp	sent_delta	recv_delta
1	03f0e265-2a83-0173-b7bb-434db346af6f	294	326
1	0585f299-63de-0cbb-879d-51ad3ecf42d4	297	297
1	062c57d2-0c3c-05ac-8df4-d322cd8da1aa	297	297
1	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	400	192629
1	30f42c30-4c30-067a-ab12-3fda8d1e3c26	366	334
1	336d3a3e-72da-0609-973f-7ebb0cd46460	366	334
1	582c8788-2d1c-06e6-933a-f5e6d5fd323b	366	334
1	60c8d7d1-7cbe-0046-aaa2-d671a09be2c9	334	334
1	770b2d43-c597-0d51-ab0a-ce8c69399b6b	339	366
1	77fb43c0-d6e1-0a49-83b9-78e339e43e0f	334	334
1	95839ad0-b588-0b1d-8475-45fba6ae993c	44016	2044779
1	a58835c2-e31e-002b-a73b-31700a6ff81b	326	326
1	a6d5bfb2-2dbb-0f8d-8801-e5817bd47a0f	326	326
1	a7063a96-d795-0d85-8ba4-98e0f3996757	395	422
1	a94550f5-5ffd-06af-a17b-d337af066557	403	403
1	ac40965a-bc99-01e4-a2c9-c26b76db013b	?	?
1	afd1fc37-633f-0573-911e-c2219324d28a	1660	4751620
1	b414796d-14fc-080e-9ce6-a7162e3e562b	1112	4172305
1	bac92dd4-675b-0587-941c-740a8adf8311	339	403
1	c2ee64dc-2e0e-098e-b60d-27bc36a5d24d	397	152979
1	d652e2b5-ba67-013d-8d2b-552d71d08194	326	326
1	df4c1852-1fca-048d-af5f-0787758e0d63	334	334
1	e5faa6e0-11ed-0add-93c0-3aa6062247a4	326	326
1	ea69bc13-e8f1-0186-934c-13d2dea78583	371	371
1	eaddf8ac-591a-0570-861a-ea1f23b1c038	363	363
1	ee5902d2-3332-0649-9f1b-8a2891df65c1	371	371
1	f1012467-de9d-09a9-8b49-62a43945c24b	422	2070991
1	fc2eaf78-f9b3-0ddb-9653-62ca655c1091	435	371
1	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	442	149214
1	legs	49190:95839ad0,f1012467 49191:2c4ae7a5 49192:fdab37dd 49193:f1012467 49194:bac92dd4 49195:df4c1852 49196:ea69bc13 49197:77fb43c0 49198:c2ee64dc 49199:e5faa6e0 49200:ee5902d2 49201:a94550f5 49202:770b2d43 49203:a7063a96 49204:fc2eaf78 49205:a58835c2 49206:afd1fc37 49207:03f0e265 49208:582c8788 49209:336d3a3e 49210:30f42c30 49211:eaddf8ac 49212:bbe8f904 49213:d652e2b5 49214:0585f299 49216:a6d5bfb2 49218:062c57d2 49219:60c8d7d1 49220:b414796d 49221:f84bf1ce 49222:fd0e2acf 49224:d6763c0c	-
2	03f0e265-2a83-0173-b7bb-434db346af6f	175	175
2	0585f299-63de-0cbb-879d-51ad3ecf42d4	175	159
2	062c57d2-0c3c-05ac-8df4-d322cd8da1aa	175	175
2	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	571	193849
2	30f42c30-4c30-067a-ab12-3fda8d1e3c26	244	244
2	336d3a3e-72da-0609-973f-7ebb0cd46460	252	252
2	582c8788-2d1c-06e6-933a-f5e6d5fd323b	252	252
2	60c8d7d1-7cbe-0046-aaa2-d671a09be2c9	244	244
2	770b2d43-c597-0d51-ab0a-ce8c69399b6b	257	257
2	77fb43c0-d6e1-0a49-83b9-78e339e43e0f	249	249
2	95839ad0-b588-0b1d-8475-45fba6ae993c	30444	1789369
2	a58835c2-e31e-002b-a73b-31700a6ff81b	151	151
2	a6d5bfb2-2dbb-0f8d-8801-e5817bd47a0f	183	183
2	a7063a96-d795-0d85-8ba4-98e0f3996757	183	151
2	a94550f5-5ffd-06af-a17b-d337af066557	217	217
2	ac40965a-bc99-01e4-a2c9-c26b76db013b	0	803
2	afd1fc37-633f-0573-911e-c2219324d28a	1588	4751517
2	b414796d-14fc-080e-9ce6-a7162e3e562b	1121	4175538
2	bac92dd4-675b-0587-941c-740a8adf8311	217	217
2	c2ee64dc-2e0e-098e-b60d-27bc36a5d24d	296	152880
2	d652e2b5-ba67-013d-8d2b-552d71d08194	220	220
2	df4c1852-1fca-048d-af5f-0787758e0d63	185	185
2	e5faa6e0-11ed-0add-93c0-3aa6062247a4	175	159
2	ea69bc13-e8f1-0186-934c-13d2dea78583	180	180
2	eaddf8ac-591a-0570-861a-ea1f23b1c038	180	180
2	ee5902d2-3332-0649-9f1b-8a2891df65c1	225	225
2	f1012467-de9d-09a9-8b49-62a43945c24b	199	788748
2	fc2eaf78-f9b3-0ddb-9653-62ca655c1091	188	188
2	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	188	188
2	legs	49190:95839ad0,f1012467 49191:2c4ae7a5 49192:fdab37dd 49193:f1012467 49194:bac92dd4 49195:df4c1852 49196:ea69bc13 49197:77fb43c0 49198:c2ee64dc 49199:e5faa6e0 49200:ee5902d2 49201:a94550f5 49202:770b2d43 49203:a7063a96 49204:fc2eaf78 49205:a58835c2 49206:afd1fc37 49207:03f0e265 49208:582c8788 49209:336d3a3e 49210:30f42c30 49211:eaddf8ac 49212:bbe8f904 49213:d652e2b5 49214:0585f299 49216:a6d5bfb2 49218:062c57d2 49219:60c8d7d1 49220:b414796d 49221:f84bf1ce 49222:fd0e2acf 49224:d6763c0c	-
3	03f0e265-2a83-0173-b7bb-434db346af6f	196	196
3	0585f299-63de-0cbb-879d-51ad3ecf42d4	225	225
3	062c57d2-0c3c-05ac-8df4-d322cd8da1aa	217	217
3	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	296	194448
3	30f42c30-4c30-067a-ab12-3fda8d1e3c26	217	217
3	336d3a3e-72da-0609-973f-7ebb0cd46460	180	180
3	582c8788-2d1c-06e6-933a-f5e6d5fd323b	180	180
3	60c8d7d1-7cbe-0046-aaa2-d671a09be2c9	217	217
3	770b2d43-c597-0d51-ab0a-ce8c69399b6b	212	212
3	77fb43c0-d6e1-0a49-83b9-78e339e43e0f	180	196
3	95839ad0-b588-0b1d-8475-45fba6ae993c	2956	794440
3	a58835c2-e31e-002b-a73b-31700a6ff81b	180	180
3	a6d5bfb2-2dbb-0f8d-8801-e5817bd47a0f	217	217
3	a7063a96-d795-0d85-8ba4-98e0f3996757	276	212
3	a94550f5-5ffd-06af-a17b-d337af066557	217	217
3	ac40965a-bc99-01e4-a2c9-c26b76db013b	8	8
3	afd1fc37-633f-0573-911e-c2219324d28a	1634	4751308
3	b414796d-14fc-080e-9ce6-a7162e3e562b	1074	3684962
3	bac92dd4-675b-0587-941c-740a8adf8311	212	212
3	c2ee64dc-2e0e-098e-b60d-27bc36a5d24d	212	212
3	d652e2b5-ba67-013d-8d2b-552d71d08194	212	212
3	df4c1852-1fca-048d-af5f-0787758e0d63	212	212
