# paired reference: 0371ab4b (0323272a60895f56aad82cb767fb5c413807adcf7c9fb0578b1b1c5807c7f29d4c>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13@95839ad0-b588-0b1d-8475-45fba6ae993c,0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1@dc5330cf-5d85-0b70-88e9-e4ab169d17fd) via skysocks-client-ref@127.0.0.1:1081 — one reference row of the same cell immediately before every mux row
# row	cell	ref_MBps	mux_MBps	ratio	ref_ok	mux_ok	ref_legs
1	10down	3.93	0.50	0.127	1	1	1
2	10down	4.49	2.23	0.497	1	1	1
3	10down	4.18	2.37	0.567	1	1	1
4	10down	3.11	2.41	0.775	1	1	1
5	10down	3.14	2.67	0.850	1	1	1
6	10up	4.79	4.97	1.038	1	1	1
7	10up	5.26	6.89	1.310	1	1	1
8	10up	7.13	6.82	0.957	1	1	1
9	50down	4.60	0.90	0.196	1	1	1
10	50down	4.74	1.42	0.300	1	1	1
11	50down	7.11	4.54	0.639	1	1	1
12	50down	6.83	5.34	0.782	1	1	1
13	50down	5.60	5.24	0.936	1	1	1
14	50up	4.79	5.19	1.084	1	1	1
15	50up	10.31	2.75	0.267	1	1	1
16	50up	10.18	7.12	0.699	1	1	1
17	100down	7.57	5.58	0.737	1	1	1
18	100down	5.00	6.40	1.280	1	1	1
19	100down	5.12	7.26	1.418	1	1	1
20	100down	7.40	6.89	0.931	1	1	1
21	100down	7.54	4.81	0.638	1	1	1
