# ts	label	rss_anon_kb	cpu_s	load1	idle_cps	sys_mb	heap_alloc_mb	num_gc	goroutines
1790106384	warmup	403676	21.98	0.28	0.064	395.4	238.5	47	4172
1790106390	mux-legs-2-pre	403676	22.52	0.24	0.094	395.4	181.1	48	4233
1790106612	mux-legs-2-post	438604	48.18	0.41	0.056	436.5	303.1	124	4610
1790106648	mux-legs-2-settled	420332	50.47	0.29	0.032	436.5	198.7	128	4674
1790106736	mux-compose-T2xL2-pre	424392	57.49	0.12	0.088	436.7	188.4	139	5311
1790108411	mux-compose-T2xL2-post	505404	225.55	0.14	0.070	612.6	343.6	379	6645
1790108447	mux-compose-T2xL2-settled	493320	229.13	0.13	0.058	612.6	313.6	383	6666
1790108501	mux-spread-3-pre	495316	234.40	0.21	0.074	612.6	316.5	390	6378
1790108858	mux-spread-3-post	566008	278.66	1.00	0.112	661.2	254.8	454	6934
1790108894	mux-spread-3-settled	525132	281.82	0.96	0.062	661.2	389.3	456	6894
