# row	tp	sent_delta	recv_delta
1	b414796d-14fc-080e-9ce6-a7162e3e562b	3353	28268406
1	bf9b0de8-37e1-09ba-b743-0c529ae98372	2804	16944460
1	a94550f5-5ffd-06af-a17b-d337af066557	257	257
1	f1012467-de9d-09a9-8b49-62a43945c24b	257	257
1	e5f24143-49cd-0bc6-b5d3-6087f8ac969e	265	265
1	57787a56-5159-011c-a8fa-e0864daf8710	1422	4060533
1	0585f299-63de-0cbb-879d-51ad3ecf42d4	257	257
1	b71ddf99-3454-0def-8e91-03c47857d1a8	?	?
1	95839ad0-b588-0b1d-8475-45fba6ae993c	898	492745
1	54999ec3-58fa-008e-ae0d-1c4f66a6c837	546	546
1	c2ee64dc-2e0e-098e-b60d-27bc36a5d24d	397	144392
1	5e54c3c1-a1f8-0d29-ab8c-622323915925	334	334
1	d652e2b5-ba67-013d-8d2b-552d71d08194	334	334
1	ac8a230e-85fc-06bf-a585-d6d7e6625690	326	326
1	94729aa0-2229-0e60-bfd2-a4eb264ac393	334	334
1	5157fdc8-9f58-0f34-8fc4-dd61cad4c892	334	334
1	a58835c2-e31e-002b-a73b-31700a6ff81b	334	334
1	c15f0beb-8c76-0b97-96eb-76dd431e432f	326	326
1	a6d5bfb2-2dbb-0f8d-8801-e5817bd47a0f	334	334
1	977b7c08-0d61-07e8-bf62-dda7f83ee199	326	326
1	77674aa7-3e6e-0637-ab10-68c38313960f	275	366
1	7c80edb8-937a-0f0e-a1a0-5fa00db9c22a	302	302
1	475d59a5-ead9-0a4e-9914-bcd0c59eaba6	257	257
1	c920a2a1-00f3-0579-8fc5-1ea8b9776d7e	321	257
1	ebbe12da-5e6c-0a5f-9e08-5a130089fb89	334	329
1	582c8788-2d1c-06e6-933a-f5e6d5fd323b	371	366
1	fc2eaf78-f9b3-0ddb-9653-62ca655c1091	363	358
1	0d53f7b1-a4ed-07aa-b759-1e8d9b65a388	363	358
1	6235595f-352f-0c63-b64e-e69236801e58	371	366
1	c98cd4de-a817-03d5-b8ad-cf23d929e569	16	16
1	legs	49263:b414796d 49264:bf9b0de8 49265:a94550f5 49266:f1012467 49267:e5f24143 49268:57787a56 49269:0585f299 49271:95839ad0 49272:54999ec3 49273:95839ad0 49274:54999ec3 49275:57787a56 49276:c2ee64dc 49277:5e54c3c1 49278:d652e2b5 49279:ac8a230e 49280:94729aa0 49282:5157fdc8 49283:a58835c2 49284:c15f0beb 49285:a6d5bfb2 49286:977b7c08 49287:77674aa7 49288:7c80edb8 49289:475d59a5 49290:c920a2a1 49292:ebbe12da 49293:582c8788 49294:fc2eaf78 49295:0d53f7b1 49296:6235595f 49302:a18cfda5	-
2	b414796d-14fc-080e-9ce6-a7162e3e562b	2811	20614560
2	bf9b0de8-37e1-09ba-b743-0c529ae98372	3128	20557470
2	a94550f5-5ffd-06af-a17b-d337af066557	289	289
2	f1012467-de9d-09a9-8b49-62a43945c24b	289	289
2	e5f24143-49cd-0bc6-b5d3-6087f8ac969e	289	289
2	57787a56-5159-011c-a8fa-e0864daf8710	2413	10111975
2	0585f299-63de-0cbb-879d-51ad3ecf42d4	321	289
2	b71ddf99-3454-0def-8e91-03c47857d1a8	?	?
2	95839ad0-b588-0b1d-8475-45fba6ae993c	1004	497204
2	54999ec3-58fa-008e-ae0d-1c4f66a6c837	652	652
2	c2ee64dc-2e0e-098e-b60d-27bc36a5d24d	397	144421
2	5e54c3c1-a1f8-0d29-ab8c-622323915925	334	334
2	d652e2b5-ba67-013d-8d2b-552d71d08194	334	334
2	ac8a230e-85fc-06bf-a585-d6d7e6625690	334	334
2	94729aa0-2229-0e60-bfd2-a4eb264ac393	334	334
2	5157fdc8-9f58-0f34-8fc4-dd61cad4c892	334	334
2	a58835c2-e31e-002b-a73b-31700a6ff81b	334	334
2	c15f0beb-8c76-0b97-96eb-76dd431e432f	294	326
2	a6d5bfb2-2dbb-0f8d-8801-e5817bd47a0f	302	302
2	977b7c08-0d61-07e8-bf62-dda7f83ee199	289	289
2	77674aa7-3e6e-0637-ab10-68c38313960f	297	297
2	7c80edb8-937a-0f0e-a1a0-5fa00db9c22a	289	289
2	475d59a5-ead9-0a4e-9914-bcd0c59eaba6	289	289
