# row	tp	sent_delta	recv_delta
1	03f0e265-2a83-0173-b7bb-434db346af6f	?	?
1	0585f299-63de-0cbb-879d-51ad3ecf42d4	284	252
1	1bda3d87-bc80-0a7d-af88-bf3b9a6894c4	257	284
1	23e4154b-0e25-04c6-af27-15e2a1c61b60	294	321
1	25b03079-29d6-0ddd-bb94-3d927300fb85	289	289
1	2d551308-d713-03ba-8c5d-0b696076a9e2	188	188
1	336d3a3e-72da-0609-973f-7ebb0cd46460	228	228
1	4aa23edc-03de-040b-948e-3a8aad0b10ba	228	228
1	54999ec3-58fa-008e-ae0d-1c4f66a6c837	220	220
1	57787a56-5159-011c-a8fa-e0864daf8710	?	?
1	625849be-c9fb-0608-9fbe-57d069a9b637	188	188
1	94729aa0-2229-0e60-bfd2-a4eb264ac393	212	212
1	97ae541b-540b-0741-90c0-1c1d9fcd592c	180	180
1	a58835c2-e31e-002b-a73b-31700a6ff81b	188	188
1	a94550f5-5ffd-06af-a17b-d337af066557	488	488
1	b250c046-0c75-0a23-87f4-8bbd934afe9a	249	249
1	b414796d-14fc-080e-9ce6-a7162e3e562b	1318	3911763
1	b71ddf99-3454-0def-8e91-03c47857d1a8	188	188
1	bac92dd4-675b-0587-941c-740a8adf8311	220	220
1	bbed733f-4bfc-0f00-aaf7-640b4d9768f1	220	220
1	bd6baec7-62f1-07b1-b830-6d5c61f243f9	188	188
1	bf9b0de8-37e1-09ba-b743-0c529ae98372	212	212
1	c2ee64dc-2e0e-098e-b60d-27bc36a5d24d	220	220
1	df4c1852-1fca-048d-af5f-0787758e0d63	220	220
1	e11b656f-7329-0650-b55a-289be7ac38c7	180	180
1	e5f24143-49cd-0bc6-b5d3-6087f8ac969e	212	212
1	e5faa6e0-11ed-0add-93c0-3aa6062247a4	180	180
1	ea69bc13-e8f1-0186-934c-13d2dea78583	675	426026
1	eaddf8ac-591a-0570-861a-ea1f23b1c038	175	175
1	ebbe12da-5e6c-0a5f-9e08-5a130089fb89	180	175
1	f1012467-de9d-09a9-8b49-62a43945c24b	1244	3188570
