# mux-standby-32 — per-row leg shares, forward = client->exit, reverse = exit->client
# note	sent_delta was not a number on 32 carrier line(s); those legs read 0 forward
# note	recv_delta was not a number on 32 carrier line(s); those legs read 0 reverse
# note	carrier.tsv counts a TRANSPORT, not a route group: a transport another group or app also rides counts that traffic here too
# note	latency_ms is the end-of-set legs.json snapshot, not the latency measured on the row
# note	shares and verdicts are computed over the legs that carried the payload: every leg of an ACTIVE group, plus any leg holding >= 1 % of the payload-direction bytes of the row (a mid-set promotion the set-start role does not yet show); the rest are listed with their bytes and a "-" share
# note	some legs are in scope on bytes alone: their group reads "standby" in the set-start legs.json but they carried >= 1 % of the payload of a row
# note	some transports are in carrier.tsv but not in legs.json or tps.tsv (a group dialled after the snapshot); their carrier/latency/hops/remote_pk read "-"
# note	rev_bytes/rev_share on 19 row(s) are the EXIT's OWN per-leg sent_bytes deltas (rev_basis exit-sent) — the reverse direction measured at the SENDING end
# note	rev_bytes/rev_share on 1 row(s) are the local recv_delta (rev_basis local-recv): the exit's sent_bytes needs a per-row EXIT_SNAP run against an exit that reports the per-leg byte counters, and either the snapshots or the counters were absent
# row	label	dir	size	leg	rg	role	scope	hops	carrier	latency_ms	remote_pk	fwd_bytes	rev_bytes	fwd_share	rev_share	rev_basis	exit_tp	exit_standby	exit_retx	exit_ack_ms	exit_sent_bytes	exit_recv_bytes
1	mux-standby-32-t1	down	10000000	b414796d	49305	active	in	b414796d>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	163.731625	022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	1318	3911763	40.7%	52.0%	local-recv	b414796d	no	4	223.38	4114372	3106
1	mux-standby-32-t1	down	10000000	eaddf8ac	49307	standby	out	eaddf8ac>028ce3caf8a1ed3b650b7139aeb854351518149af709cf28fe9bd6376cb3403626;4112d695>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	154.009	028ce3caf8a1ed3b650b7139aeb854351518149af709cf28fe9bd6376cb3403626	175	175	-	-	local-recv	4112d695	no	4	271.99	1280	1216
1	mux-standby-32-t1	down	10000000	e5f24143	49308	standby	out	e5f24143>024a37bae69d6be2ec51eeb9d2b7e99073c30153d06896032f5bd3c09ca843bdb9;a214890d>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	154.011	024a37bae69d6be2ec51eeb9d2b7e99073c30153d06896032f5bd3c09ca843bdb9	212	212	-	-	local-recv	a214890d	no	2	250.28	1216	1248
1	mux-standby-32-t1	down	10000000	bac92dd4	49309	standby	out	bac92dd4>02db6d6f87e5d6382c827c066514195dfed31f61f07a295caa1b8f4364826921be;11b37300>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	145.768	02db6d6f87e5d6382c827c066514195dfed31f61f07a295caa1b8f4364826921be	220	220	-	-	local-recv	11b37300	no	4	248.39	1280	1216
1	mux-standby-32-t1	down	10000000	f1012467	49310	standby	in	f1012467>0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb;57c570d9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	132.126	0281a102c82820e811368c8d028cf11b1a985043b726b1bcdb8fce89b27384b2cb	1244	3188570	38.4%	42.4%	local-recv	57c570d9	no	4	223.25	3189623	2136
1	mux-standby-32-t1	down	10000000	bf9b0de8	49311	standby	out	bf9b0de8>026a913078651938783e19416a2de99c924df209e28512da2a571868c989bf3822;c2793bef>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	290.093	026a913078651938783e19416a2de99c924df209e28512da2a571868c989bf3822	212	212	-	-	local-recv	c2793bef	no	3	250.37	1248	1216
1	mux-standby-32-t1	down	10000000	c2ee64dc	49312	standby	out	c2ee64dc>02ea1b80411ef28514056466bf11d8a7b7fcdcf4a964ebd874f8bd9fd74e81eda2;1483d7b9>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	159.205	02ea1b80411ef28514056466bf11d8a7b7fcdcf4a964ebd874f8bd9fd74e81eda2	220	220	-	-	local-recv	1483d7b9	no	3	260.02	1248	1248
1	mux-standby-32-t1	down	10000000	94729aa0	49313	standby	out	94729aa0>022d2e9ff0ab2b5ad03851b07a61c32b403570423a2b5a4567e2f4d2aabcd1119d;fa5763f3>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	151.767	022d2e9ff0ab2b5ad03851b07a61c32b403570423a2b5a4567e2f4d2aabcd1119d	212	212	-	-	local-recv	fa5763f3	no	3	249.45	1248	1248
1	mux-standby-32-t1	down	10000000	df4c1852	49314	standby	out	df4c1852>035f532aed88e89cb8822a31b71d83a14f63fabd6389e537c2426fe84031c60825;f148d779>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	152.793	035f532aed88e89cb8822a31b71d83a14f63fabd6389e537c2426fe84031c60825	220	220	-	-	local-recv	f148d779	no	4	249.82	1280	1216
1	mux-standby-32-t1	down	10000000	2d551308	49315	standby	out	2d551308>03e977a4fb802e9ed2a618bf21497a1ff6a3385212b575deba39a0e419d9025494;a7457b04>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1	stcpr	497.479367	03e977a4fb802e9ed2a618bf21497a1ff6a3385212b575deba39a0e419d9025494	188	188	-	-	local-recv	a7457b04	no	3	249.46	1184	1152
