# paired reference: 0371ab4b (0323272a60895f56aad82cb767fb5c413807adcf7c9fb0578b1b1c5807c7f29d4c>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13@95839ad0-b588-0b1d-8475-45fba6ae993c,0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1@dc5330cf-5d85-0b70-88e9-e4ab169d17fd) via skysocks-client-ref@127.0.0.1:1081 — one reference row of the same cell immediately before every mux row
# row	cell	ref_MBps	mux_MBps	ratio	ref_ok	mux_ok	ref_legs
1	10down	4.43	1.51	0.341	1	1	1
2	10down	3.62	1.92	0.530	1	1	1
3	10down	3.95	2.16	0.547	1	1	1
4	10down	4.10	4.41	1.076	1	1	1
5	10down	4.52	4.29	0.949	1	1	1
6	10up	1.92	0.91	0.474	1	1	1
7	10up	3.80	1.77	0.466	1	1	1
8	10up	1.82	1.06	0.582	1	1	1
9	10up	3.67	5.05	1.376	1	1	1
10	10up	4.16	4.97	1.195	1	1	1
11	50down	4.10	4.12	1.005	1	1	1
12	50down	4.86	5.81	1.195	1	1	1
13	50down	5.20	8.30	1.596	1	1	1
14	50down	6.08	7.97	1.311	1	1	1
15	50down	6.23	7.32	1.175	1	1	1
16	50up	4.16	6.54	1.572	1	1	1
17	50up	9.55	7.67	0.803	1	1	1
18	50up	7.45	6.11	0.820	1	1	1
19	50up	4.05	6.47	1.598	1	1	1
20	50up	mux-standby-32	7.74	-	row	1	-
