# row	tp	sent_delta	recv_delta
1	2d551308-d713-03ba-8c5d-0b696076a9e2	158	158
1	40c0897c-4f56-0716-a527-ec97a8ef678a	126	121
1	52f67a0c-bd42-052b-b225-6aea25828413	158	158
1	57787a56-5159-011c-a8fa-e0864daf8710	229	14576
1	770b2d43-c597-0d51-ab0a-ce8c69399b6b	126	126
1	94729aa0-2229-0e60-bfd2-a4eb264ac393	158	142
1	95839ad0-b588-0b1d-8475-45fba6ae993c	1156	3763051
1	a7063a96-d795-0d85-8ba4-98e0f3996757	9020	12100
1	b250c046-0c75-0a23-87f4-8bbd934afe9a	81	81
1	b414796d-14fc-080e-9ce6-a7162e3e562b	775	2606736
1	bac92dd4-675b-0587-941c-740a8adf8311	73	73
1	e11b656f-7329-0650-b55a-289be7ac38c7	81	81
1	e5faa6e0-11ed-0add-93c0-3aa6062247a4	81	81
1	f1012467-de9d-09a9-8b49-62a43945c24b	1431	5350168
1	fc2eaf78-f9b3-0ddb-9653-62ca655c1091	16	0
1	legs	49205:b414796d 49206:f1012467 49207:2d551308 49208:e5faa6e0 49209:52f67a0c 49210:bac92dd4 49211:95839ad0 49212:24082c1a 49213:57787a56 49214:fc2eaf78 49215:770b2d43 49216:a7063a96 49217:b250c046 49218:94729aa0 49219:a58835c2 49220:40c0897c 49221:e11b656f 49222:3e214e29 49223:f84bf1ce 49224:062c57d2 49225:fdab37dd 49226:c2ee64dc 49227:0585f299 49228:bbed733f 49230:5d6c2f17 49231:ca42696c 49232:c920a2a1 49233:c13c5a2b 49234:8a54bfd2 49235:88737946 49236:690554b9 49237:9739d411	-
2	2d551308-d713-03ba-8c5d-0b696076a9e2	118	118
2	40c0897c-4f56-0716-a527-ec97a8ef678a	118	118
2	52f67a0c-bd42-052b-b225-6aea25828413	118	118
2	57787a56-5159-011c-a8fa-e0864daf8710	126	126
2	770b2d43-c597-0d51-ab0a-ce8c69399b6b	54	54
2	94729aa0-2229-0e60-bfd2-a4eb264ac393	41	41
2	95839ad0-b588-0b1d-8475-45fba6ae993c	814	3168393
2	a7063a96-d795-0d85-8ba4-98e0f3996757	3864	2402
2	b250c046-0c75-0a23-87f4-8bbd934afe9a	41	41
2	b414796d-14fc-080e-9ce6-a7162e3e562b	575	2114933
2	bac92dd4-675b-0587-941c-740a8adf8311	41	41
2	e11b656f-7329-0650-b55a-289be7ac38c7	41	41
2	e5faa6e0-11ed-0add-93c0-3aa6062247a4	41	41
2	f1012467-de9d-09a9-8b49-62a43945c24b	1169	4752697
2	fc2eaf78-f9b3-0ddb-9653-62ca655c1091	62	166
2	legs	49205:b414796d 49206:f1012467 49207:2d551308 49208:e5faa6e0 49209:52f67a0c 49210:bac92dd4 49211:95839ad0 49212:24082c1a 49213:57787a56 49214:fc2eaf78 49215:770b2d43 49216:a7063a96 49217:b250c046 49218:94729aa0 49219:a58835c2 49220:40c0897c 49221:e11b656f 49222:3e214e29 49223:f84bf1ce 49224:062c57d2 49225:fdab37dd 49226:c2ee64dc 49227:0585f299 49228:bbed733f 49230:5d6c2f17 49231:ca42696c 49232:c920a2a1 49233:c13c5a2b 49234:8a54bfd2 49235:88737946 49236:690554b9 49237:9739d411	-
3	2d551308-d713-03ba-8c5d-0b696076a9e2	114	114
3	40c0897c-4f56-0716-a527-ec97a8ef678a	118	82
3	52f67a0c-bd42-052b-b225-6aea25828413	150	150
3	57787a56-5159-011c-a8fa-e0864daf8710	226	14585
3	770b2d43-c597-0d51-ab0a-ce8c69399b6b	123	123
3	94729aa0-2229-0e60-bfd2-a4eb264ac393	123	123
3	95839ad0-b588-0b1d-8475-45fba6ae993c	1218	3786263
3	a7063a96-d795-0d85-8ba4-98e0f3996757	2065	1838
3	b250c046-0c75-0a23-87f4-8bbd934afe9a	81	65
3	b414796d-14fc-080e-9ce6-a7162e3e562b	780	2637275
3	bac92dd4-675b-0587-941c-740a8adf8311	73	73
3	e11b656f-7329-0650-b55a-289be7ac38c7	41	41
3	e5faa6e0-11ed-0add-93c0-3aa6062247a4	73	73
3	f1012467-de9d-09a9-8b49-62a43945c24b	1436	5352899
3	fc2eaf78-f9b3-0ddb-9653-62ca655c1091	73	73
3	legs	49205:b414796d 49206:f1012467 49207:2d551308 49208:e5faa6e0 49209:52f67a0c 49210:bac92dd4 49211:95839ad0 49212:24082c1a 49213:57787a56 49214:fc2eaf78 49215:770b2d43 49216:a7063a96 49217:b250c046 49218:94729aa0 49219:a58835c2 49220:40c0897c 49221:e11b656f 49222:3e214e29 49223:f84bf1ce 49224:062c57d2 49225:fdab37dd 49226:c2ee64dc 49227:0585f299 49228:bbed733f 49230:5d6c2f17 49231:ca42696c 49232:c920a2a1 49233:c13c5a2b 49234:8a54bfd2 49235:88737946 49236:690554b9 49237:9739d411	-
4	2d551308-d713-03ba-8c5d-0b696076a9e2	85	85
4	40c0897c-4f56-0716-a527-ec97a8ef678a	85	85
4	52f67a0c-bd42-052b-b225-6aea25828413	77	77
4	57787a56-5159-011c-a8fa-e0864daf8710	77	77
4	770b2d43-c597-0d51-ab0a-ce8c69399b6b	77	77
4	94729aa0-2229-0e60-bfd2-a4eb264ac393	77	77
4	95839ad0-b588-0b1d-8475-45fba6ae993c	777	3168675
4	a7063a96-d795-0d85-8ba4-98e0f3996757	898	1006
4	b250c046-0c75-0a23-87f4-8bbd934afe9a	77	77
4	b414796d-14fc-080e-9ce6-a7162e3e562b	482	2101651
4	bac92dd4-675b-0587-941c-740a8adf8311	77	77
4	e11b656f-7329-0650-b55a-289be7ac38c7	77	77
4	e5faa6e0-11ed-0add-93c0-3aa6062247a4	77	77
4	f1012467-de9d-09a9-8b49-62a43945c24b	1094	4753161
4	fc2eaf78-f9b3-0ddb-9653-62ca655c1091	77	77
