# row	tp	sent_delta	recv_delta
1	54999ec3-58fa-008e-ae0d-1c4f66a6c837	571	1584241
1	b414796d-14fc-080e-9ce6-a7162e3e562b	1143	3685754
1	e5faa6e0-11ed-0add-93c0-3aa6062247a4	41	41
1	bf9b0de8-37e1-09ba-b743-0c529ae98372	1480	4770810
1	a18cfda5-d5ac-0482-bd47-d10ced35c1d7	41	41
1	legs	49181:54999ec3 49182:b414796d 49183:e5faa6e0 49184:bf9b0de8 49190:a18cfda5
49181:54999ec3 49182:b414796d 49183:e5faa6e0 49184:bf9b0de8 49190:a18cfda5	-
2	54999ec3-58fa-008e-ae0d-1c4f66a6c837	592	1584184
2	b414796d-14fc-080e-9ce6-a7162e3e562b	961	3685758
2	e5faa6e0-11ed-0add-93c0-3aa6062247a4	1313	2357
2	bf9b0de8-37e1-09ba-b743-0c529ae98372	2582	4761039
2	a18cfda5-d5ac-0482-bd47-d10ced35c1d7	1313	2357
2	legs	49181:54999ec3 49182:b414796d 49183:e5faa6e0 49184:bf9b0de8 49185:a18cfda5 49186:bf9b0de8 49187:c49541dd 49188:e5faa6e0 49189:8888d9ea 49190:a18cfda5 49191:40c0897c 49192:95839ad0 49193:a58835c2
49181:54999ec3 49182:b414796d 49183:e5faa6e0 49184:bf9b0de8 49185:a18cfda5 49186:bf9b0de8 49187:c49541dd 49188:e5faa6e0 49189:8888d9ea 49190:a18cfda5 49191:40c0897c 49192:95839ad0 49193:a58835c2	-
3	54999ec3-58fa-008e-ae0d-1c4f66a6c837	678	1584265
3	b414796d-14fc-080e-9ce6-a7162e3e562b	1000	3685867
3	e5faa6e0-11ed-0add-93c0-3aa6062247a4	244	244
3	bf9b0de8-37e1-09ba-b743-0c529ae98372	1553	4764837
3	a18cfda5-d5ac-0482-bd47-d10ced35c1d7	244	244
3	c49541dd-4e0f-01c4-bc27-90d01cb60ff5	95	126
3	8888d9ea-9cfa-086e-8805-4a2ea12cc69d	95	90
3	40c0897c-4f56-0716-a527-ec97a8ef678a	85	85
3	95839ad0-b588-0b1d-8475-45fba6ae993c	177	208
3	a58835c2-e31e-002b-a73b-31700a6ff81b	85	85
3	legs	49181:54999ec3 49182:b414796d 49183:e5faa6e0 49184:bf9b0de8 49185:a18cfda5 49186:bf9b0de8 49187:c49541dd 49188:e5faa6e0 49189:8888d9ea 49190:a18cfda5 49191:40c0897c 49192:95839ad0 49193:a58835c2 49195:57787a56 49196:475d59a5 49197:ebbe12da 49198:a94550f5 49199:23e4154b 49200:25b03079 49201:fdab37dd 49202:e5f24143
49181:54999ec3 49182:b414796d 49183:e5faa6e0 49184:bf9b0de8 49185:a18cfda5 49186:bf9b0de8 49187:c49541dd 49188:e5faa6e0 49189:8888d9ea 49190:a18cfda5 49191:40c0897c 49192:95839ad0 49193:a58835c2 49195:57787a56 49196:475d59a5 49197:ebbe12da 49198:a94550f5 49199:23e4154b 49200:25b03079 49201:fdab37dd 49202:e5f24143	-
4	54999ec3-58fa-008e-ae0d-1c4f66a6c837	460	1584238
4	b414796d-14fc-080e-9ce6-a7162e3e562b	806	3685739
4	e5faa6e0-11ed-0add-93c0-3aa6062247a4	318	318
4	bf9b0de8-37e1-09ba-b743-0c529ae98372	1865	4752754
4	a18cfda5-d5ac-0482-bd47-d10ced35c1d7	318	318
4	c49541dd-4e0f-01c4-bc27-90d01cb60ff5	155	155
4	8888d9ea-9cfa-086e-8805-4a2ea12cc69d	163	163
4	40c0897c-4f56-0716-a527-ec97a8ef678a	155	155
4	95839ad0-b588-0b1d-8475-45fba6ae993c	245	245
4	a58835c2-e31e-002b-a73b-31700a6ff81b	199	199
4	57787a56-5159-011c-a8fa-e0864daf8710	123	123
4	475d59a5-ead9-0a4e-9914-bcd0c59eaba6	123	123
4	ebbe12da-5e6c-0a5f-9e08-5a130089fb89	123	123
4	a94550f5-5ffd-06af-a17b-d337af066557	123	123
4	23e4154b-0e25-04c6-af27-15e2a1c61b60	123	123
4	25b03079-29d6-0ddd-bb94-3d927300fb85	123	123
4	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	123	123
4	e5f24143-49cd-0bc6-b5d3-6087f8ac969e	131	131
4	legs	49181:54999ec3 49182:b414796d 49183:e5faa6e0 49184:bf9b0de8 49185:a18cfda5 49186:bf9b0de8 49187:c49541dd 49188:e5faa6e0 49189:8888d9ea 49190:a18cfda5 49191:40c0897c 49192:95839ad0 49193:a58835c2 49195:57787a56 49196:475d59a5 49197:ebbe12da 49198:a94550f5 49199:23e4154b 49200:25b03079 49201:fdab37dd 49202:e5f24143 49203:690554b9 49204:ce65325b 49205:52f67a0c 49206:fd0e2acf 49207:35766599 49208:6397566b 49209:f84bf1ce 49210:696629b6 49215:8a54bfd2 49216:0e0393f2 49218:337672ba
