# row	tp	sent_delta	recv_delta
1	0585f299-63de-0cbb-879d-51ad3ecf42d4	118	118
1	062c57d2-0c3c-05ac-8df4-d322cd8da1aa	162	126
1	0a7c4812-81a8-08fa-b9d9-2cf88f42b6a3	154	154
1	0e60793c-ff58-082c-8121-17099498ea93	123	159
1	1566250d-8d6d-0bec-a5f2-fabd0ed4ddd5	118	118
1	17d9d992-2189-0e30-8df1-5535585d6ee0	118	118
1	1b5fc618-46a2-0d65-a223-e0e028e9ca50	118	118
1	23e4154b-0e25-04c6-af27-15e2a1c61b60	126	126
1	287b1d97-fa6b-0fc8-b6ea-1c3986ce7b10	155	155
1	2c4ae7a5-de55-0e09-bd14-7febf7d9f972	?	?
1	54999ec3-58fa-008e-ae0d-1c4f66a6c837	118	118
1	5d6c2f17-828b-08be-95b8-fa8f14e9a160	118	118
1	5e54c3c1-a1f8-0d29-ab8c-622323915925	118	118
1	65fe27ea-5740-0a4d-ba8e-efbac1e61969	118	118
1	690554b9-1d58-04c8-ab20-ff3607e69827	155	155
1	6a442220-8abc-00b8-9483-63d558b7173c	281	281
1	6bcb6117-192c-02f9-8f8a-1addd2f302c5	118	118
1	82aaa034-a066-0349-9880-5aac71fea524	155	155
1	95839ad0-b588-0b1d-8475-45fba6ae993c	1749	6330413
1	a7063a96-d795-0d85-8ba4-98e0f3996757	155	155
1	ac40965a-bc99-01e4-a2c9-c26b76db013b	336	45
1	bbed733f-4bfc-0f00-aaf7-640b4d9768f1	126	126
1	bd6baec7-62f1-07b1-b830-6d5c61f243f9	150	150
1	be3f2768-78d6-0a10-a7ed-4ca9120dc034	54	126
1	ca42696c-cc9d-0d66-b651-4b6d5f192b69	77	41
1	cdf1d610-c4fb-0d63-b155-c140fac016bf	0	0
1	db124c5a-17cb-04a9-bbe2-fa3a2904b457	82	82
1	e11b656f-7329-0650-b55a-289be7ac38c7	114	114
1	e5f24143-49cd-0bc6-b5d3-6087f8ac969e	122	122
1	f1012467-de9d-09a9-8b49-62a43945c24b	855	2217169
1	fb021902-66a2-0ed5-9aa9-8a1e412c8376	90	90
1	fc2eaf78-f9b3-0ddb-9653-62ca655c1091	8	8
1	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	748	2101719
