# paired reference: 0371ab4b (0323272a60895f56aad82cb767fb5c413807adcf7c9fb0578b1b1c5807c7f29d4c>0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13@95839ad0-b588-0b1d-8475-45fba6ae993c,0371ab4bcff7b121f4b91f6856d6740c6f9dc1fe716977850aeb5d84378b300a13>022716fba0f9a5d46ae7b8a4412296847d63d96c763d49068e851e9be7542080b1@dc5330cf-5d85-0b70-88e9-e4ab169d17fd) via skysocks-client-ref@127.0.0.1:1081 — one reference row of the same cell immediately before every mux row
# row	cell	ref_MBps	mux_MBps	ratio	ref_ok	mux_ok	ref_legs
1	10down	4.87	3.68	0.756	1	1	1
2	10down	4.72	2.52	0.534	1	1	1
3	10down	5.14	3.86	0.751	1	1	1
4	10down	5.72	3.18	0.556	1	1	1
5	10down	5.33	4.22	0.792	1	1	1
6	10up	3.25	0.41	0.126	1	1	1
7	10up	2.09	1.37	0.656	1	1	1
8	10up	2.81	2.39	0.851	1	1	1
9	50down	7.65	6.65	0.869	1	1	1
10	50down	7.84	6.58	0.839	1	1	1
11	50down	7.03	4.86	0.691	1	1	1
12	50down	6.69	7.99	1.194	1	1	1
13	50down	6.44	7.39	1.148	1	1	1
14	50up	4.84	3.58	0.740	1	1	1
15	50up	7.58	2.13	0.281	1	1	1
16	50up	10.25	3.50	0.341	1	1	1
17	100down	8.46	3.20	0.378	1	1	1
18	100down	7.18	0.01	-	1	0	1
19	100down	8.12	9.79	1.206	1	1	1
20	100down	8.17	7.53	0.922	1	1	1
21	100down	7.05	8.40	1.191	1	1	1
