# ts	label	rss_anon_kb	cpu_s	load1	idle_cps	sys_mb	heap_alloc_mb	num_gc	goroutines
1790125485	warmup	503588	31.34	0.45	0.038	485.3	248.4	52	5228
1790125491	mux-tunnels-2-pre	481112	31.92	0.41	0.082	485.3	322.4	53	5242
1790125951	mux-tunnels-2-post	448212	80.49	0.29	0.098	529.6	285.9	155	5803
1790125986	mux-tunnels-2-settled	446496	82.71	0.27	0.062	529.6	302.5	157	5821
1790126050	mux-legs-2-pre	424384	86.94	0.25	0.042	529.6	195.3	164	5446
1790126344	mux-legs-2-post	518720	119.41	0.54	0.048	530.4	307.2	234	5753
1790126379	mux-legs-2-settled	515104	122.21	0.37	0.130	530.4	300.0	237	5813
1790126696	mux-spread-3-pre	590204	156.62	0.13	0.084	584.5	340.6	270	7279
1790127015	mux-spread-3-post	653332	201.69	0.25	0.130	701.7	401.6	318	7608
1790127051	mux-spread-3-settled	607808	205.58	0.50	0.106	701.7	281.4	321	7585
