# row	tp	sent_delta	recv_delta
1	b414796d-14fc-080e-9ce6-a7162e3e562b	1500	4753035
1	95839ad0-b588-0b1d-8475-45fba6ae993c	752	2102132
1	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	159	159
1	f1012467-de9d-09a9-8b49-62a43945c24b	159	159
1	bf9b0de8-37e1-09ba-b743-0c529ae98372	123	123
1	03f0e265-2a83-0173-b7bb-434db346af6f	118	118
1	57787a56-5159-011c-a8fa-e0864daf8710	1143	3168442
1	e9e5b101-2dfc-0035-a951-ae7481a503f1	118	118
1	ea69bc13-e8f1-0186-934c-13d2dea78583	118	118
1	94729aa0-2229-0e60-bfd2-a4eb264ac393	126	126
1	c2ee64dc-2e0e-098e-b60d-27bc36a5d24d	118	118
1	a18cfda5-d5ac-0482-bd47-d10ced35c1d7	118	118
1	e11b656f-7329-0650-b55a-289be7ac38c7	126	126
1	e5faa6e0-11ed-0add-93c0-3aa6062247a4	126	126
1	b71ddf99-3454-0def-8e91-03c47857d1a8	118	118
1	e5f24143-49cd-0bc6-b5d3-6087f8ac969e	118	118
1	97ae541b-540b-0741-90c0-1c1d9fcd592c	118	118
1	df4c1852-1fca-048d-af5f-0787758e0d63	118	118
1	1bb37806-77dc-04d4-ac91-b2fde43dafb3	118	118
1	770b2d43-c597-0d51-ab0a-ce8c69399b6b	118	118
1	ee5902d2-3332-0649-9f1b-8a2891df65c1	46	118
1	977b7c08-0d61-07e8-bf62-dda7f83ee199	41	41
1	7a64a71c-87c2-0f76-abec-2c76e8cb35b2	77	41
1	062c57d2-0c3c-05ac-8df4-d322cd8da1aa	82	82
1	eaddf8ac-591a-0570-861a-ea1f23b1c038	82	82
1	25b03079-29d6-0ddd-bb94-3d927300fb85	82	82
1	88737946-d62e-0e57-bfeb-33d28895bc54	82	82
1	5157fdc8-9f58-0f34-8fc4-dd61cad4c892	90	90
1	475d59a5-ead9-0a4e-9914-bcd0c59eaba6	82	82
1	696629b6-c362-0f0c-addf-1dbaacc9a0cd	82	82
1	a58835c2-e31e-002b-a73b-31700a6ff81b	90	90
1	4aa23edc-03de-040b-948e-3a8aad0b10ba	90	90
1	legs	49189:b414796d 49190:95839ad0 49191:fdab37dd 49192:f1012467 49193:bf9b0de8 49194:03f0e265 49195:57787a56 49196:e9e5b101 49197:ea69bc13 49198:94729aa0 49199:c2ee64dc 49200:a18cfda5 49201:e11b656f 49202:e5faa6e0 49203:b71ddf99 49204:e5f24143 49205:97ae541b 49206:df4c1852 49207:1bb37806 49208:770b2d43 49209:ee5902d2 49210:977b7c08 49211:7a64a71c 49212:062c57d2 49213:eaddf8ac 49214:25b03079 49216:88737946 49217:5157fdc8 49219:475d59a5 49220:696629b6 49221:a58835c2 49222:4aa23edc	-
2	b414796d-14fc-080e-9ce6-a7162e3e562b	1519	5220694
2	95839ad0-b588-0b1d-8475-45fba6ae993c	754	2704784
2	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	120	152195
2	f1012467-de9d-09a9-8b49-62a43945c24b	192	598660
2	bf9b0de8-37e1-09ba-b743-0c529ae98372	49	49
2	03f0e265-2a83-0173-b7bb-434db346af6f	49	49
2	57787a56-5159-011c-a8fa-e0864daf8710	1160	3200417
2	e9e5b101-2dfc-0035-a951-ae7481a503f1	49	49
2	ea69bc13-e8f1-0186-934c-13d2dea78583	85	85
2	94729aa0-2229-0e60-bfd2-a4eb264ac393	90	90
2	c2ee64dc-2e0e-098e-b60d-27bc36a5d24d	161	153098
2	a18cfda5-d5ac-0482-bd47-d10ced35c1d7	82	90
2	e11b656f-7329-0650-b55a-289be7ac38c7	82	82
2	e5faa6e0-11ed-0add-93c0-3aa6062247a4	82	82
2	b71ddf99-3454-0def-8e91-03c47857d1a8	82	82
2	e5f24143-49cd-0bc6-b5d3-6087f8ac969e	82	82
2	97ae541b-540b-0741-90c0-1c1d9fcd592c	82	82
2	df4c1852-1fca-048d-af5f-0787758e0d63	82	82
2	1bb37806-77dc-04d4-ac91-b2fde43dafb3	90	90
2	770b2d43-c597-0d51-ab0a-ce8c69399b6b	82	82
2	ee5902d2-3332-0649-9f1b-8a2891df65c1	90	90
2	977b7c08-0d61-07e8-bf62-dda7f83ee199	82	82
2	7a64a71c-87c2-0f76-abec-2c76e8cb35b2	90	90
2	062c57d2-0c3c-05ac-8df4-d322cd8da1aa	90	90
2	eaddf8ac-591a-0570-861a-ea1f23b1c038	82	82
2	25b03079-29d6-0ddd-bb94-3d927300fb85	82	82
2	88737946-d62e-0e57-bfeb-33d28895bc54	78	114
2	5157fdc8-9f58-0f34-8fc4-dd61cad4c892	73	73
2	475d59a5-ead9-0a4e-9914-bcd0c59eaba6	73	73
2	696629b6-c362-0f0c-addf-1dbaacc9a0cd	81	81
2	a58835c2-e31e-002b-a73b-31700a6ff81b	73	73
2	4aa23edc-03de-040b-948e-3a8aad0b10ba	73	73
2	legs	49189:b414796d 49190:95839ad0 49191:fdab37dd 49192:f1012467 49193:bf9b0de8 49194:03f0e265 49195:57787a56 49196:e9e5b101 49197:ea69bc13 49198:94729aa0 49199:c2ee64dc 49200:a18cfda5 49201:e11b656f 49202:e5faa6e0 49203:b71ddf99 49204:e5f24143 49205:97ae541b 49206:df4c1852 49207:1bb37806 49208:770b2d43 49209:ee5902d2 49210:977b7c08 49211:7a64a71c 49212:062c57d2 49213:eaddf8ac 49214:25b03079 49216:88737946 49217:5157fdc8 49219:475d59a5 49220:696629b6 49221:a58835c2 49222:4aa23edc	-
3	b414796d-14fc-080e-9ce6-a7162e3e562b	1386	4753046
3	95839ad0-b588-0b1d-8475-45fba6ae993c	734	2101852
3	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	114	114
3	f1012467-de9d-09a9-8b49-62a43945c24b	114	114
3	bf9b0de8-37e1-09ba-b743-0c529ae98372	114	114
3	03f0e265-2a83-0173-b7bb-434db346af6f	114	114
3	57787a56-5159-011c-a8fa-e0864daf8710	1154	3175707
3	e9e5b101-2dfc-0035-a951-ae7481a503f1	114	114
3	ea69bc13-e8f1-0186-934c-13d2dea78583	114	114
3	94729aa0-2229-0e60-bfd2-a4eb264ac393	114	114
3	c2ee64dc-2e0e-098e-b60d-27bc36a5d24d	82	82
3	a18cfda5-d5ac-0482-bd47-d10ced35c1d7	82	82
3	e11b656f-7329-0650-b55a-289be7ac38c7	82	82
3	e5faa6e0-11ed-0add-93c0-3aa6062247a4	82	82
3	b71ddf99-3454-0def-8e91-03c47857d1a8	82	82
3	e5f24143-49cd-0bc6-b5d3-6087f8ac969e	46	82
3	97ae541b-540b-0741-90c0-1c1d9fcd592c	41	41
3	df4c1852-1fca-048d-af5f-0787758e0d63	73	57
3	1bb37806-77dc-04d4-ac91-b2fde43dafb3	41	41
3	770b2d43-c597-0d51-ab0a-ce8c69399b6b	41	41
3	ee5902d2-3332-0649-9f1b-8a2891df65c1	41	41
3	977b7c08-0d61-07e8-bf62-dda7f83ee199	41	41
3	7a64a71c-87c2-0f76-abec-2c76e8cb35b2	41	41
3	062c57d2-0c3c-05ac-8df4-d322cd8da1aa	113	41
3	eaddf8ac-591a-0570-861a-ea1f23b1c038	118	118
3	25b03079-29d6-0ddd-bb94-3d927300fb85	126	126
3	88737946-d62e-0e57-bfeb-33d28895bc54	118	118
3	5157fdc8-9f58-0f34-8fc4-dd61cad4c892	118	118
3	475d59a5-ead9-0a4e-9914-bcd0c59eaba6	118	118
3	696629b6-c362-0f0c-addf-1dbaacc9a0cd	118	118
3	a58835c2-e31e-002b-a73b-31700a6ff81b	118	118
3	4aa23edc-03de-040b-948e-3a8aad0b10ba	118	118
3	legs	49189:b414796d 49190:95839ad0 49191:fdab37dd 49192:f1012467 49193:bf9b0de8 49194:03f0e265 49195:57787a56 49196:e9e5b101 49197:ea69bc13 49198:94729aa0 49199:c2ee64dc 49200:a18cfda5 49201:e11b656f 49202:e5faa6e0 49203:b71ddf99 49204:e5f24143 49205:97ae541b 49206:df4c1852 49207:1bb37806 49208:770b2d43 49209:ee5902d2 49210:977b7c08 49211:7a64a71c 49212:062c57d2 49213:eaddf8ac 49214:25b03079 49216:88737946 49217:5157fdc8 49219:475d59a5 49220:696629b6 49221:a58835c2 49222:4aa23edc	-
4	b414796d-14fc-080e-9ce6-a7162e3e562b	1029	4753101
4	95839ad0-b588-0b1d-8475-45fba6ae993c	716	2115079
4	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	41	41
4	f1012467-de9d-09a9-8b49-62a43945c24b	41	41
4	bf9b0de8-37e1-09ba-b743-0c529ae98372	113	41
4	03f0e265-2a83-0173-b7bb-434db346af6f	118	118
4	57787a56-5159-011c-a8fa-e0864daf8710	1148	3168922
4	e9e5b101-2dfc-0035-a951-ae7481a503f1	118	118
4	ea69bc13-e8f1-0186-934c-13d2dea78583	118	118
4	94729aa0-2229-0e60-bfd2-a4eb264ac393	118	118
4	c2ee64dc-2e0e-098e-b60d-27bc36a5d24d	118	118
4	a18cfda5-d5ac-0482-bd47-d10ced35c1d7	118	118
4	e11b656f-7329-0650-b55a-289be7ac38c7	118	118
4	e5faa6e0-11ed-0add-93c0-3aa6062247a4	118	118
4	b71ddf99-3454-0def-8e91-03c47857d1a8	118	118
4	e5f24143-49cd-0bc6-b5d3-6087f8ac969e	118	118
4	97ae541b-540b-0741-90c0-1c1d9fcd592c	118	118
4	df4c1852-1fca-048d-af5f-0787758e0d63	118	118
4	1bb37806-77dc-04d4-ac91-b2fde43dafb3	118	118
4	770b2d43-c597-0d51-ab0a-ce8c69399b6b	118	118
4	ee5902d2-3332-0649-9f1b-8a2891df65c1	118	118
4	977b7c08-0d61-07e8-bf62-dda7f83ee199	118	118
4	7a64a71c-87c2-0f76-abec-2c76e8cb35b2	118	118
4	062c57d2-0c3c-05ac-8df4-d322cd8da1aa	118	118
4	eaddf8ac-591a-0570-861a-ea1f23b1c038	162	126
4	25b03079-29d6-0ddd-bb94-3d927300fb85	118	154
4	88737946-d62e-0e57-bfeb-33d28895bc54	131	131
4	5157fdc8-9f58-0f34-8fc4-dd61cad4c892	126	126
4	475d59a5-ead9-0a4e-9914-bcd0c59eaba6	118	118
4	696629b6-c362-0f0c-addf-1dbaacc9a0cd	118	118
4	a58835c2-e31e-002b-a73b-31700a6ff81b	118	118
4	4aa23edc-03de-040b-948e-3a8aad0b10ba	118	118
4	legs	49189:b414796d 49190:95839ad0 49191:fdab37dd 49192:f1012467 49193:bf9b0de8 49194:03f0e265 49195:57787a56 49196:e9e5b101 49197:ea69bc13 49198:94729aa0 49199:c2ee64dc 49200:a18cfda5 49201:e11b656f 49202:e5faa6e0 49203:b71ddf99 49204:e5f24143 49205:97ae541b 49206:df4c1852 49207:1bb37806 49208:770b2d43 49209:ee5902d2 49210:977b7c08 49211:7a64a71c 49212:062c57d2 49213:eaddf8ac 49214:25b03079 49216:88737946 49217:5157fdc8 49219:475d59a5 49220:696629b6 49221:a58835c2 49222:4aa23edc	-
5	b414796d-14fc-080e-9ce6-a7162e3e562b	2073	5225667
5	95839ad0-b588-0b1d-8475-45fba6ae993c	844	2690754
5	fdab37dd-c35e-05bc-9e51-cd6b024e3eec	275	152521
5	f1012467-de9d-09a9-8b49-62a43945c24b	275	599575
5	bf9b0de8-37e1-09ba-b743-0c529ae98372	168	204
5	03f0e265-2a83-0173-b7bb-434db346af6f	163	163
5	57787a56-5159-011c-a8fa-e0864daf8710	1264	3183654
5	e9e5b101-2dfc-0035-a951-ae7481a503f1	126	142
5	ea69bc13-e8f1-0186-934c-13d2dea78583	126	126
5	94729aa0-2229-0e60-bfd2-a4eb264ac393	126	126
5	c2ee64dc-2e0e-098e-b60d-27bc36a5d24d	234	153300
5	a18cfda5-d5ac-0482-bd47-d10ced35c1d7	163	163
5	e11b656f-7329-0650-b55a-289be7ac38c7	163	163
5	e5faa6e0-11ed-0add-93c0-3aa6062247a4	163	163
5	b71ddf99-3454-0def-8e91-03c47857d1a8	171	171
5	e5f24143-49cd-0bc6-b5d3-6087f8ac969e	171	171
5	97ae541b-540b-0741-90c0-1c1d9fcd592c	163	163
5	df4c1852-1fca-048d-af5f-0787758e0d63	163	163
5	1bb37806-77dc-04d4-ac91-b2fde43dafb3	163	163
5	770b2d43-c597-0d51-ab0a-ce8c69399b6b	99	171
5	ee5902d2-3332-0649-9f1b-8a2891df65c1	99	99
5	977b7c08-0d61-07e8-bf62-dda7f83ee199	86	122
5	7a64a71c-87c2-0f76-abec-2c76e8cb35b2	94	94
5	062c57d2-0c3c-05ac-8df4-d322cd8da1aa	94	94
